id,tecPlace,lightenNum,tecLevel,consumes-type-1,consumes-id-1,consumes-value-1,consumes-type-2,consumes-id-2,consumes-value-2,
81,2,2,3,1,8,20000,1,17,35,
82,2,3,4,1,8,30000,1,17,49,
83,2,4,5,1,8,40000,1,17,63,
84,2,5,6,1,8,50000,1,17,77,
85,2,6,7,1,8,60000,1,17,92,
86,2,7,8,1,8,70000,1,17,106,
87,2,8,9,1,8,80000,1,17,120,
88,2,9,10,1,8,90000,1,17,134,
89,2,10,11,1,8,100000,1,17,148,
90,2,11,12,1,8,110000,1,17,162,
91,2,12,13,1,8,120000,1,17,177,
92,2,13,14,1,8,160000,1,17,191,
93,2,14,15,1,8,180000,1,17,205,
94,2,15,16,1,8,210000,1,17,219,
95,2,16,17,1,8,240000,1,17,233,
96,2,17,18,1,8,270000,1,17,247,
97,2,18,19,1,8,300000,1,17,261,
98,2,19,20,1,8,330000,1,17,276,
99,2,20,21,1,8,360000,1,17,290,
100,2,21,22,1,8,390000,1,17,316,
101,2,22,23,1,8,420000,1,17,382,
102,2,23,24,1,8,450000,1,17,449,
103,2,24,25,1,8,480000,1,17,515,
104,2,25,26,1,8,510000,1,17,582,
105,2,26,27,1,8,540000,1,17,649,
106,2,27,28,1,8,570000,1,17,715,
107,2,28,29,1,8,600000,1,17,782,
108,2,29,30,1,8,630000,1,17,848,
109,2,30,31,1,8,660000,1,17,915,
110,2,31,32,1,8,690000,1,17,981,
111,2,32,33,1,8,720000,1,17,1047,
112,2,33,34,1,8,750000,1,17,1115,
113,2,34,35,1,8,780000,1,17,1181,
114,2,35,36,1,8,810000,1,17,1248,
115,2,36,37,1,8,840000,1,17,1314,
116,2,37,38,1,8,870000,1,17,1380,
117,2,38,39,1,8,890000,1,17,1447,
118,2,39,40,1,8,920000,1,17,1513,
119,2,40,41,1,8,950000,1,17,1581,
120,2,41,42,1,8,980000,1,17,1647,
121,2,42,43,1,8,1010000,1,17,1714,
122,2,43,44,1,8,1040000,1,17,1780,
123,2,44,45,1,8,1070000,1,17,1846,
124,2,45,46,1,8,1100000,1,17,1913,
125,2,46,47,1,8,1130000,1,17,1980,
126,2,47,48,1,8,1160000,1,17,2047,
127,2,48,49,1,8,1190000,1,17,2113,
128,2,49,50,1,8,1220000,1,17,2179,
129,2,50,51,1,8,1250000,1,17,2246,
130,2,51,52,1,8,1280000,1,17,2312,
131,2,52,53,1,8,1310000,1,17,2380,
132,2,53,54,1,8,1340000,1,17,2446,
133,2,54,55,1,8,1370000,1,17,2512,
134,2,55,56,1,8,1400000,1,17,2579,
135,2,56,57,1,8,1430000,1,17,2645,
136,2,57,58,1,8,1460000,1,17,2712,
137,2,58,59,1,8,1490000,1,17,2778,
138,2,59,60,1,8,1520000,1,17,2844,
139,2,60,61,1,8,1550000,1,17,2912,
140,2,61,62,1,8,1580000,1,17,2978,
141,2,62,63,1,8,1600000,1,17,3045,
142,2,63,64,1,8,1630000,1,17,3111,
143,2,64,65,1,8,1660000,1,17,3177,
144,2,65,66,1,8,1690000,1,17,3245,
145,2,66,67,1,8,1720000,1,17,3311,
146,2,67,68,1,8,1750000,1,17,3378,
147,2,68,69,1,8,1780000,1,17,3444,
148,2,69,70,1,8,1810000,1,17,3511,
149,2,70,71,1,8,1840000,1,17,3577,
150,2,71,72,1,8,1870000,1,17,3643,
151,2,72,73,1,8,1900000,1,17,3711,
152,2,73,74,1,8,1930000,1,17,3777,
153,2,74,75,1,8,1960000,1,17,3844,
154,2,75,76,1,8,1990000,1,17,3910,
155,2,76,77,1,8,2020000,1,17,3976,
156,2,77,78,1,8,2050000,1,17,4043,
157,3,0,1,1,8,5054,1,17,8,
158,3,1,2,1,8,10000,1,17,25,
159,3,2,3,1,8,20000,1,17,42,
160,3,3,4,1,8,30000,1,17,59,
161,3,4,5,1,8,40000,1,17,76,
162,3,5,6,1,8,50000,1,17,93,
163,3,6,7,1,8,60000,1,17,127,
164,3,7,8,1,8,70000,1,17,161,
165,3,8,9,1,8,80000,1,17,195,
166,3,9,10,1,8,90000,1,17,229,
167,3,10,11,1,8,100000,1,17,263,
168,3,11,12,1,8,110000,1,17,341,
169,3,12,13,1,8,120000,1,17,355,
170,3,13,14,1,8,130000,1,17,370,
171,3,14,15,1,8,140000,1,17,384,
172,3,15,16,1,8,150000,1,17,398,
173,3,16,17,1,8,160000,1,17,412,
174,3,17,18,1,8,170000,1,17,427,
175,3,18,19,1,8,180000,1,17,441,
176,3,19,20,1,8,220000,1,17,455,
177,3,20,21,1,8,260000,1,17,469,
178,3,21,22,1,8,300000,1,17,484,
179,3,22,23,1,8,340000,1,17,498,
180,3,23,24,1,8,380000,1,17,512,
181,3,24,25,1,8,430000,1,17,526,
182,3,25,26,1,8,470000,1,17,541,
183,3,26,27,1,8,510000,1,17,555,
184,3,27,28,1,8,550000,1,17,569,
185,3,28,29,1,8,590000,1,17,983,
186,3,29,30,1,8,630000,1,17,1051,
187,3,30,31,1,8,670000,1,17,1118,
188,3,31,32,1,8,710000,1,17,1185,
189,3,32,33,1,8,750000,1,17,1252,
190,3,33,34,1,8,790000,1,17,1319,
191,3,34,35,1,8,830000,1,17,1386,
192,3,35,36,1,8,880000,1,17,1454,
193,3,36,37,1,8,920000,1,17,1521,
194,3,37,38,1,8,960000,1,17,1588,
195,3,38,39,1,8,1000000,1,17,1655,
196,3,39,40,1,8,1040000,1,17,1722,
197,3,40,41,1,8,1080000,1,17,1789,
198,3,41,42,1,8,1120000,1,17,1857,
199,3,42,43,1,8,1160000,1,17,1924,
200,3,43,44,1,8,1200000,1,17,1991,
201,3,44,45,1,8,1240000,1,17,2058,
202,3,45,46,1,8,1280000,1,17,2125,
203,3,46,47,1,8,1330000,1,17,2192,
204,3,47,48,1,8,1370000,1,17,2260,
205,3,48,49,1,8,1410000,1,17,2327,
206,3,49,50,1,8,1450000,1,17,2394,
207,3,50,51,1,8,1490000,1,17,2461,
208,3,51,52,1,8,1530000,1,17,2528,
209,3,52,53,1,8,1570000,1,17,2595,
210,3,53,54,1,8,1610000,1,17,2663,
211,3,54,55,1,8,1650000,1,17,2730,
212,3,55,56,1,8,1690000,1,17,2797,
213,3,56,57,1,8,1740000,1,17,2864,
214,3,57,58,1,8,1780000,1,17,2931,
215,3,58,59,1,8,1820000,1,17,2998,
216,3,59,60,1,8,1860000,1,17,3066,
217,3,60,61,1,8,1900000,1,17,3133,
218,3,61,62,1,8,1940000,1,17,3200,
219,3,62,63,1,8,1980000,1,17,3267,
220,3,63,64,1,8,2020000,1,17,3334,
221,3,64,65,1,8,2060000,1,17,3401,
222,3,65,66,1,8,2100000,1,17,3469,
223,3,66,67,1,8,2140000,1,17,3536,
224,3,67,68,1,8,2190000,1,17,3603,
225,3,68,69,1,8,2230000,1,17,3670,
226,3,69,70,1,8,2270000,1,17,3737,
227,3,70,71,1,8,2310000,1,17,3804,
228,3,71,72,1,8,2350000,1,17,3872,
229,3,72,73,1,8,2390000,1,17,3939,
230,3,73,74,1,8,2430000,1,17,4006,
231,3,74,75,1,8,2470000,1,17,4073,
232,3,75,76,1,8,2510000,1,17,4140,
233,3,76,77,1,8,2550000,1,17,4207,
234,3,77,78,1,8,2590000,1,17,4275,
235,4,0,1,1,8,5760,1,17,10,
236,4,1,2,1,8,10000,1,17,29,
237,4,2,3,1,8,20000,1,17,48,
238,4,3,4,1,8,40000,1,17,67,
239,4,4,5,1,8,50000,1,17,86,
240,4,5,6,1,8,60000,1,17,105,
241,4,6,7,1,8,70000,1,17,124,
242,4,7,8,1,8,80000,1,17,143,
243,4,8,9,1,8,90000,1,17,162,
244,4,9,10,1,8,100000,1,17,181,
245,4,10,11,1,8,110000,1,17,200,
246,4,11,12,1,8,120000,1,17,219,
247,4,12,13,1,8,130000,1,17,238,
248,4,13,14,1,8,140000,1,17,257,
249,4,14,15,1,8,150000,1,17,276,
250,4,15,16,1,8,160000,1,17,295,
251,4,16,17,1,8,170000,1,17,314,
252,4,17,18,1,8,180000,1,17,333,
253,4,18,19,1,8,190000,1,17,352,
254,4,19,20,1,8,210000,1,17,371,
255,4,20,21,1,8,260000,1,17,442,
256,4,21,22,1,8,310000,1,17,526,
257,4,22,23,1,8,360000,1,17,610,
258,4,23,24,1,8,410000,1,17,694,
259,4,24,25,1,8,460000,1,17,778,
260,4,25,26,1,8,510000,1,17,863,
261,4,26,27,1,8,560000,1,17,947,
262,4,27,28,1,8,610000,1,17,1031,
263,4,28,29,1,8,660000,1,17,1115,
264,4,29,30,1,8,710000,1,17,1199,
265,4,30,31,1,8,770000,1,17,1283,
266,4,31,32,1,8,820000,1,17,1367,
267,4,32,33,1,8,870000,1,17,1451,
268,4,33,34,1,8,920000,1,17,1535,
269,4,34,35,1,8,970000,1,17,1620,
270,4,35,36,1,8,1020000,1,17,1704,
271,4,36,37,1,8,1070000,1,17,1788,
272,4,37,38,1,8,1120000,1,17,1872,
273,4,38,39,1,8,1170000,1,17,1956,
274,4,39,40,1,8,1220000,1,17,2040,
275,4,40,41,1,8,1270000,1,17,2124,
276,4,41,42,1,8,1320000,1,17,2208,
277,4,42,43,1,8,1370000,1,17,2292,
278,4,43,44,1,8,1420000,1,17,2377,
279,4,44,45,1,8,1470000,1,17,2461,
280,4,45,46,1,8,1520000,1,17,2545,
281,4,46,47,1,8,1570000,1,17,2629,
282,4,47,48,1,8,1620000,1,17,2713,
283,4,48,49,1,8,1670000,1,17,2797,
284,4,49,50,1,8,1720000,1,17,2881,
285,4,50,51,1,8,1770000,1,17,2965,
286,4,51,52,1,8,1820000,1,17,3049,
287,4,52,53,1,8,1870000,1,17,3134,
288,4,53,54,1,8,1920000,1,17,3218,
289,4,54,55,1,8,1970000,1,17,3302,
290,4,55,56,1,8,2020000,1,17,3386,
291,4,56,57,1,8,2070000,1,17,3470,
292,4,57,58,1,8,2130000,1,17,3554,
293,4,58,59,1,8,2180000,1,17,3638,
294,4,59,60,1,8,2230000,1,17,3722,
295,4,60,61,1,8,2280000,1,17,3806,
296,4,61,62,1,8,2330000,1,17,3891,
297,4,62,63,1,8,2380000,1,17,3975,
298,4,63,64,1,8,2430000,1,17,4059,
299,4,64,65,1,8,2480000,1,17,4143,
300,4,65,66,1,8,2530000,1,17,4227,
301,4,66,67,1,8,2580000,1,17,4311,
302,4,67,68,1,8,2630000,1,17,4395,
303,4,68,69,1,8,2680000,1,17,4479,
304,4,69,70,1,8,2730000,1,17,4563,
305,4,70,71,1,8,2780000,1,17,4648,
306,4,71,72,1,8,2830000,1,17,4732,
307,4,72,73,1,8,2880000,1,17,4816,
308,4,73,74,1,8,2930000,1,17,4900,
309,4,74,75,1,8,2980000,1,17,4984,
310,4,75,76,1,8,3030000,1,17,5068,
311,4,76,77,1,8,3080000,1,17,5152,
312,4,77,78,1,8,3130000,1,17,5236,
313,5,0,1,1,8,6480,1,17,11,
314,5,1,2,1,8,10000,1,17,29,
315,5,2,3,1,8,30000,1,17,54,
316,5,3,4,1,8,40000,1,17,76,
317,5,4,5,1,8,50000,1,17,98,
318,5,5,6,1,8,70000,1,17,120,
319,5,6,7,1,8,80000,1,17,142,
320,5,7,8,1,8,90000,1,17,164,
321,5,8,9,1,8,100000,1,17,186,
322,5,9,10,1,8,110000,1,17,208,
323,5,10,11,1,8,120000,1,17,230,
324,5,11,12,1,8,130000,1,17,252,
325,5,12,13,1,8,140000,1,17,274,
326,5,13,14,1,8,150000,1,17,296,
327,5,14,15,1,8,160000,1,17,318,
328,5,15,16,1,8,170000,1,17,340,
329,5,16,17,1,8,180000,1,17,362,
330,5,17,18,1,8,190000,1,17,384,
331,5,18,19,1,8,200000,1,17,406,
332,5,19,20,1,8,230000,1,17,428,
333,5,20,21,1,8,290000,1,17,470,
334,5,21,22,1,8,350000,1,17,565,
335,5,22,23,1,8,400000,1,17,661,
336,5,23,24,1,8,460000,1,17,756,
337,5,24,25,1,8,520000,1,17,852,
338,5,25,26,1,8,570000,1,17,947,
339,5,26,27,1,8,630000,1,17,1043,
340,5,27,28,1,8,690000,1,17,1139,
341,5,28,29,1,8,750000,1,17,1234,
342,5,29,30,1,8,800000,1,17,1330,
343,5,30,31,1,8,860000,1,17,1425,
344,5,31,32,1,8,920000,1,17,1521,
345,5,32,33,1,8,970000,1,17,1616,
346,5,33,34,1,8,1030000,1,17,1712,
347,5,34,35,1,8,1090000,1,17,1808,
348,5,35,36,1,8,1150000,1,17,1903,
349,5,36,37,1,8,1200000,1,17,1999,
350,5,37,38,1,8,1260000,1,17,2094,
351,5,38,39,1,8,1320000,1,17,2190,
352,5,39,40,1,8,1370000,1,17,2285,
353,5,40,41,1,8,1430000,1,17,2381,
354,5,41,42,1,8,1490000,1,17,2477,
355,5,42,43,1,8,1550000,1,17,2572,
356,5,43,44,1,8,1600000,1,17,2668,
357,5,44,45,1,8,1660000,1,17,2763,
358,5,45,46,1,8,1720000,1,17,2859,
359,5,46,47,1,8,1770000,1,17,2954,
360,5,47,48,1,8,1830000,1,17,3050,
361,5,48,49,1,8,1890000,1,17,3146,
362,5,49,50,1,8,1940000,1,17,3241,
363,5,50,51,1,8,2000000,1,17,3337,
364,5,51,52,1,8,2060000,1,17,3432,
365,5,52,53,1,8,2120000,1,17,3528,
366,5,53,54,1,8,2170000,1,17,3623,
367,5,54,55,1,8,2230000,1,17,3719,
368,5,55,56,1,8,2290000,1,17,3815,
369,5,56,57,1,8,2340000,1,17,3910,
370,5,57,58,1,8,2400000,1,17,4006,
371,5,58,59,1,8,2460000,1,17,4101,
372,5,59,60,1,8,2520000,1,17,4197,
373,5,60,61,1,8,2570000,1,17,4292,
374,5,61,62,1,8,2630000,1,17,4388,
375,5,62,63,1,8,2690000,1,17,4484,
376,5,63,64,1,8,2740000,1,17,4579,
377,5,64,65,1,8,2800000,1,17,4675,
378,5,65,66,1,8,2860000,1,17,4770,
379,5,66,67,1,8,2920000,1,17,4866,
380,5,67,68,1,8,2970000,1,17,4961,
381,5,68,69,1,8,3030000,1,17,5057,
382,5,69,70,1,8,3090000,1,17,5153,
383,5,70,71,1,8,3140000,1,17,5248,
384,5,71,72,1,8,3200000,1,17,5344,
385,5,72,73,1,8,3260000,1,17,5439,
386,5,73,74,1,8,3320000,1,17,5535,
387,5,74,75,1,8,3370000,1,17,5630,
388,5,75,76,1,8,3430000,1,17,5726,
389,5,76,77,1,8,3490000,1,17,5822,
390,5,77,78,1,8,3540000,1,17,5917,
391,6,0,1,1,8,7200,1,17,12,
392,6,1,2,1,8,20000,1,17,36,
393,6,2,3,1,8,30000,1,17,60,
394,6,3,4,1,8,50000,1,17,84,
395,6,4,5,1,8,60000,1,17,108,
396,6,5,6,1,8,70000,1,17,132,
397,6,6,7,1,8,80000,1,17,156,
398,6,7,8,1,8,90000,1,17,180,
399,6,8,9,1,8,100000,1,17,204,
400,6,9,10,1,8,110000,1,17,228,
401,6,10,11,1,8,120000,1,17,252,
402,6,11,12,1,8,130000,1,17,276,
403,6,12,13,1,8,140000,1,17,300,
404,6,13,14,1,8,150000,1,17,324,
405,6,14,15,1,8,160000,1,17,348,
406,6,15,16,1,8,170000,1,17,372,
407,6,16,17,1,8,180000,1,17,396,
408,6,17,18,1,8,190000,1,17,420,
409,6,18,19,1,8,200000,1,17,444,
410,6,19,20,1,8,280000,1,17,468,
411,6,20,21,1,8,340000,1,17,554,
412,6,21,22,1,8,400000,1,17,659,
413,6,22,23,1,8,460000,1,17,764,
414,6,23,24,1,8,530000,1,17,869,
415,6,24,25,1,8,590000,1,17,974,
416,6,25,26,1,8,650000,1,17,1079,
417,6,26,27,1,8,720000,1,17,1185,
418,6,27,28,1,8,780000,1,17,1290,
419,6,28,29,1,8,840000,1,17,1395,
420,6,29,30,1,8,900000,1,17,1500,
421,6,30,31,1,8,970000,1,17,1605,
422,6,31,32,1,8,1030000,1,17,1710,
423,6,32,33,1,8,1090000,1,17,1816,
424,6,33,34,1,8,1160000,1,17,1921,
425,6,34,35,1,8,1220000,1,17,2026,
426,6,35,36,1,8,1280000,1,17,2131,
427,6,36,37,1,8,1340000,1,17,2236,
428,6,37,38,1,8,1410000,1,17,2341,
429,6,38,39,1,8,1470000,1,17,2447,
430,6,39,40,1,8,1530000,1,17,2552,
431,6,40,41,1,8,1600000,1,17,2657,
432,6,41,42,1,8,1660000,1,17,2762,
433,6,42,43,1,8,1720000,1,17,2867,
434,6,43,44,1,8,1780000,1,17,2972,
435,6,44,45,1,8,1850000,1,17,3077,
436,6,45,46,1,8,1910000,1,17,3183,
437,6,46,47,1,8,1970000,1,17,3288,
438,6,47,48,1,8,2040000,1,17,3393,
439,6,48,49,1,8,2100000,1,17,3498,
440,6,49,50,1,8,2160000,1,17,3603,
441,6,50,51,1,8,2220000,1,17,3708,
442,6,51,52,1,8,2290000,1,17,3814,
443,6,52,53,1,8,2350000,1,17,3919,
444,6,53,54,1,8,2410000,1,17,4024,
445,6,54,55,1,8,2470000,1,17,4129,
446,6,55,56,1,8,2540000,1,17,4234,
447,6,56,57,1,8,2600000,1,17,4339,
448,6,57,58,1,8,2660000,1,17,4445,
449,6,58,59,1,8,2730000,1,17,4550,
450,6,59,60,1,8,2790000,1,17,4655,
451,6,60,61,1,8,2850000,1,17,4760,
452,6,61,62,1,8,2910000,1,17,4865,
453,6,62,63,1,8,2980000,1,17,4970,
454,6,63,64,1,8,3040000,1,17,5076,
455,6,64,65,1,8,3100000,1,17,5181,
456,6,65,66,1,8,3170000,1,17,5286,
457,6,66,67,1,8,3230000,1,17,5391,
458,6,67,68,1,8,3290000,1,17,5496,
459,6,68,69,1,8,3350000,1,17,5601,
460,6,69,70,1,8,3420000,1,17,5706,
461,6,70,71,1,8,3480000,1,17,5812,
462,6,71,72,1,8,3540000,1,17,5917,
463,6,72,73,1,8,3610000,1,17,6022,
464,6,73,74,1,8,3670000,1,17,6127,
465,6,74,75,1,8,3730000,1,17,6232,
466,6,75,76,1,8,3790000,1,17,6337,
467,6,76,77,1,8,3860000,1,17,6443,
468,6,77,78,1,8,3920000,1,17,6548,
