id,quality,lv,property-type-1,property-way-1,property-value-1,property-type-2,property-way-2,property-value-2,
79,6,9,2,0,3000,1,0,30000,
80,6,10,2,0,3360,1,0,33600,
81,6,11,2,0,3750,1,0,37500,
82,6,12,2,0,4170,1,0,41700,
83,6,13,2,0,4620,1,0,46200,
84,6,14,2,0,5100,1,0,51000,
85,6,15,2,0,5610,1,0,56100,
86,6,16,2,0,6150,1,0,61500,
87,6,17,2,0,6720,1,0,67200,
88,6,18,2,0,7320,1,0,73200,
89,6,19,2,0,7950,1,0,79500,
90,6,20,2,0,8640,1,0,86400,
91,6,21,2,0,9360,1,0,93600,
92,6,22,2,0,10110,1,0,101100,
93,6,23,2,0,10890,1,0,108900,
94,6,24,2,0,11700,1,0,117000,
95,6,25,2,0,12540,1,0,125400,
96,6,26,2,0,13410,1,0,134100,
97,6,27,2,0,14310,1,0,143100,
98,6,28,2,0,15240,1,0,152400,
99,6,29,2,0,16200,1,0,162000,
100,6,30,2,0,17190,1,0,171900,
101,6,31,2,0,18210,1,0,182100,
102,6,32,2,0,19290,1,0,192900,
103,6,33,2,0,20400,1,0,204000,
104,6,34,2,0,21570,1,0,215700,
105,6,35,2,0,22830,1,0,228300,
106,6,36,2,0,24150,1,0,241500,
107,6,37,2,0,25530,1,0,255300,
108,6,38,2,0,26970,1,0,269700,
109,6,39,2,0,28470,1,0,284700,
110,6,40,2,0,30000,1,0,300000,
111,7,1,2,0,2400,1,0,24000,
112,7,2,2,0,2520,1,0,25200,
113,7,3,2,0,2670,1,0,26700,
114,7,4,2,0,2850,1,0,28500,
115,7,5,2,0,3060,1,0,30600,
116,7,6,2,0,3300,1,0,33000,
117,7,7,2,0,3570,1,0,35700,
118,7,8,2,0,3870,1,0,38700,
119,7,9,2,0,4200,1,0,42000,
120,7,10,2,0,4560,1,0,45600,
121,7,11,2,0,4950,1,0,49500,
122,7,12,2,0,5370,1,0,53700,
123,7,13,2,0,5820,1,0,58200,
124,7,14,2,0,6300,1,0,63000,
125,7,15,2,0,6810,1,0,68100,
126,7,16,2,0,7350,1,0,73500,
127,7,17,2,0,7920,1,0,79200,
128,7,18,2,0,8520,1,0,85200,
129,7,19,2,0,9150,1,0,91500,
130,7,20,2,0,9840,1,0,98400,
131,7,21,2,0,10560,1,0,105600,
132,7,22,2,0,11310,1,0,113100,
133,7,23,2,0,12090,1,0,120900,
134,7,24,2,0,12900,1,0,129000,
135,7,25,2,0,13740,1,0,137400,
136,7,26,2,0,14610,1,0,146100,
137,7,27,2,0,15510,1,0,155100,
138,7,28,2,0,16440,1,0,164400,
139,7,29,2,0,17400,1,0,174000,
140,7,30,2,0,18390,1,0,183900,
141,7,31,2,0,19410,1,0,194100,
142,7,32,2,0,20490,1,0,204900,
143,7,33,2,0,21600,1,0,216000,
144,7,34,2,0,22770,1,0,227700,
145,7,35,2,0,24030,1,0,240300,
146,7,36,2,0,25350,1,0,253500,
147,7,37,2,0,26730,1,0,267300,
148,7,38,2,0,28170,1,0,281700,
149,7,39,2,0,29670,1,0,296700,
150,7,40,2,0,31200,1,0,312000,
151,7,41,2,0,32730,1,0,327300,
152,7,42,2,0,34260,1,0,342600,
153,7,43,2,0,35790,1,0,357900,
154,7,44,2,0,37320,1,0,373200,
155,7,45,2,0,38850,1,0,388500,
156,7,46,2,0,40380,1,0,403800,
157,7,47,2,0,41910,1,0,419100,
158,7,48,2,0,43440,1,0,434400,
159,7,49,2,0,44970,1,0,449700,
160,7,50,2,0,46500,1,0,465000,
