id,group,weight,itemType,itemId,combineNum,resourceType,resourceId,oriPrice,disPrice,discount,vipLimit,buyLimit,recommend,refreshStartTime,refreshEndTime,fastBuy,
84,10,50,2,22405,30,1,8,1800000,1800000,6,0,1,,,,,
85,10,50,2,23401,30,1,8,1800000,1800000,6,0,1,,,,,
86,10,50,2,23402,30,1,8,1800000,1800000,6,0,1,,,,,
87,10,50,2,23403,30,1,8,1800000,1800000,6,0,1,,,,,
88,10,50,2,23404,30,1,8,1800000,1800000,6,0,1,,,,,
89,10,50,2,23404,30,1,8,1800000,1800000,6,0,1,,,,,
90,10,50,2,24401,30,1,8,1800000,1800000,6,0,1,,,,,
91,10,50,2,24401,30,1,8,1800000,1800000,6,0,1,,,,,
92,10,50,2,24403,30,1,8,1800000,1800000,6,0,1,,,,,
93,10,50,2,24404,30,1,8,1800000,1800000,6,0,1,,,,,
94,10,50,2,25402,30,1,8,1800000,1800000,6,0,1,,,,,
95,10,50,2,25402,30,1,8,1800000,1800000,6,0,1,,,,,
96,10,50,2,25403,30,1,8,1800000,1800000,6,0,1,,,,,
97,10,50,2,25404,30,1,8,1800000,1800000,6,0,1,,,,,
98,10,200,2,21401,30,1,9,300,300,0,0,1,,,,,
99,10,200,2,21402,30,1,9,300,300,0,0,1,,,,,
100,10,200,2,21403,30,1,9,300,300,0,0,1,,,,,
101,10,200,2,21404,30,1,9,300,300,0,0,1,,,,,
102,10,200,2,21404,30,1,9,300,300,0,0,1,,,,,
103,10,200,2,22402,30,1,9,300,300,0,0,1,,,,,
104,10,200,2,22402,30,1,9,300,300,0,0,1,,,,,
105,10,200,2,22403,30,1,9,300,300,0,0,1,,,,,
106,10,200,2,22404,30,1,9,300,300,0,0,1,,,,,
107,10,200,2,22405,30,1,9,300,300,0,0,1,,,,,
108,10,200,2,23401,30,1,9,300,300,0,0,1,,,,,
109,10,200,2,23402,30,1,9,300,300,0,0,1,,,,,
110,10,200,2,23403,30,1,9,300,300,0,0,1,,,,,
111,10,200,2,23404,30,1,9,300,300,0,0,1,,,,,
112,10,200,2,23404,30,1,9,300,300,0,0,1,,,,,
113,10,200,2,24401,30,1,9,300,300,0,0,1,,,,,
114,10,200,2,24401,30,1,9,300,300,0,0,1,,,,,
115,10,200,2,24403,30,1,9,300,300,0,0,1,,,,,
116,10,200,2,24404,30,1,9,300,300,0,0,1,,,,,
117,10,200,2,25402,30,1,9,300,300,0,0,1,,,,,
118,10,200,2,25402,30,1,9,300,300,0,0,1,,,,,
119,10,200,2,25403,30,1,9,300,300,0,0,1,,,,,
120,10,200,2,25404,30,1,9,300,300,0,0,1,,,,,
121,11,200,2,3002,30,1,9,300,300,0,0,1,,,,,
122,12,200,1,8,500000,1,10,500000,500000,0,0,1,,,,,
123,12,200,1,8,300000,1,10,300000,300000,0,0,1,,,,,
124,12,200,1,8,100000,1,10,100000,100000,0,0,1,,,,,
125,13,100,1,10,500000,1,8,1000000,1000000,0,0,1,,,,1,
126,13,200,1,10,100000,1,8,200000,200000,0,0,1,,,,1,
127,13,200,1,10,50000,1,9,49,49,0,0,1,,,,,
128,13,200,1,10,50000,1,8,25000,25000,0,0,1,,,,1,
129,13,200,1,10,20000,1,8,10000,10000,0,0,1,,,,1,
130,13,200,1,10,20000,1,9,20,20,0,0,1,,,,,
131,14,100,2,1001,2000,1,9,980,980,5,0,1,,,,1,
132,14,100,2,1001,1000,1,9,490,490,5,0,1,,,,1,
133,14,20,2,1001,250,1,8,2500000,250000,1,0,1,,,,1,
134,14,400,2,1001,100,1,8,1000000,100000,1,0,1,,,,1,
135,14,20,2,1001,200,1,8,2000000,200000,1,0,1,,,,1,
136,14,50,2,1001,200,1,9,70,70,3,0,1,,,,1,
137,14,50,2,1001,300,1,9,100,100,3,0,1,,,,1,
138,15,300,2,1052,100,1,9,490,490,5,0,1,,,,,
139,15,700,2,1002,1,1,8,20000,20000,0,0,1,,,,1,
140,16,300,2,1007,1,1,8,20000,20000,0,0,1,,,,1,
141,16,100,2,1007,10,1,9,294,294,6,0,1,,,,1,
142,17,300,2,1005,1,1,8,10000,10000,1,0,1,,,,1,
143,17,100,2,1005,1,1,9,14,14,7,0,1,,,,,
144,18,300,2,1003,1,1,9,147,147,6,0,1,,,,1,
145,18,1,2,4010,1,1,9,196,196,0,0,1,,,,,
146,19,200,2,4010,1,1,9,196,196,0,0,1,,,,,
147,19,200,2,4010,1,1,8,1000000,1000000,0,0,1,,,,1,
148,20,200,2,4020,1,1,9,588,588,6,0,1,,,,,
149,21,200,2,4030,1,1,9,2940,2940,6,0,1,,,,,
150,22,200,2,1052,100,1,9,490,490,5,0,1,,,,,
151,23,100,2,1001,300,1,9,120,120,4,0,1,,,,1,
152,24,200,2,1029,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
153,24,200,2,1020,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
154,24,200,2,1046,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
155,24,200,2,1030,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
156,24,200,2,1021,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
157,25,200,2,1082,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
158,25,200,2,1081,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
159,26,200,2,1043,25,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
160,26,200,2,1044,10,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
161,27,200,2,1103,5,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
162,27,200,2,1036,5,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
163,27,200,2,1104,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
164,27,200,2,1037,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
165,28,200,2,1011,5,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
166,28,200,2,1010,15,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
167,28,200,2,1009,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
168,29,200,2,1017,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
169,29,200,2,1018,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
170,30,200,2,1033,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
171,30,200,2,1032,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
172,31,200,2,1029,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
173,31,200,2,1020,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
174,31,200,2,1046,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
175,31,200,2,1030,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
176,31,200,2,1021,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
177,32,200,2,1082,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
178,32,200,2,1081,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
179,33,200,2,1043,25,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
180,33,200,2,1044,10,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
181,34,200,2,1103,5,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
182,34,200,2,1036,5,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
183,34,200,2,1104,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
184,34,200,2,1037,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
185,35,200,2,1011,5,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
186,35,200,2,1010,15,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
187,35,200,2,1009,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
188,36,200,2,1017,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
189,36,200,2,1018,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
190,37,200,2,1033,12,1,9,500,500,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
191,37,200,2,1032,5,1,9,1000,1000,0,0,1,,s==10|2021-09-30,s==9|2021-10-6,,
901,18,0,2,1003,1,1,9,147,147,6,0,1,,,,,
902,1,300,2,2311,1,1,8,100000,100000,0,0,1,1,,,,
903,36,300,2,21301,20,1,9,100,100,0,0,1,,,,,
904,1,100,2,2312,1,1,9,20,20,0,0,1,,,,,
905,12,200,1,8,500000,1,10,500000,500000,0,0,1,,,,,
906,13,1,1,10,500000,1,8,1000000,1000000,0,0,1,,,,,
