id,extraSkill,type,breach,lv,next,addPro-type-1,addPro-way-1,addPro-value-1,addPro-type-2,addPro-way-2,addPro-value-2,addAllPro-type-1,addAllPro-way-1,addAllPro-value-1,addAllPro-type-2,addAllPro-way-2,addAllPro-value-2,skillId,needDestinySumLv,needDestinyId,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,
132,0,1,3,2,133,2,0,990,8,1,150,2,0,99,1,0,990,,14,122,1,8,820000,2,1350,2,2,1006,3500,
133,0,1,3,3,134,2,0,1530,8,1,190,2,0,153,1,0,1530,,19,123,1,8,1120000,2,1350,3,2,1006,4900,
134,0,1,3,4,135,2,0,2070,8,1,230,2,0,207,1,0,2070,,24,124,1,8,1520000,2,1350,4,2,1006,6400,
135,0,1,3,5,136,2,0,2610,8,1,270,2,0,261,1,0,2610,,29,125,1,8,2020000,2,1350,5,2,1006,8000,
136,0,1,3,6,137,2,0,3240,8,1,310,2,0,324,1,0,3240,,34,126,1,8,2620000,2,1350,6,2,1006,9700,
137,0,1,3,7,138,2,0,3870,8,1,350,2,0,387,1,0,3870,,39,127,1,8,3320000,2,1350,7,2,1006,11000,
138,0,1,3,8,,2,0,4500,8,1,390,2,0,450,1,0,4500,,44,128,1,8,4120000,2,1350,8,2,1006,14000,
141,0,1,4,1,142,2,0,500,5,1,160,2,0,50,1,0,500,,15,131,1,8,740000,2,1351,1,2,1006,3400,
142,0,1,4,2,143,2,0,1100,5,1,220,2,0,110,1,0,1100,,22,132,1,8,940000,2,1351,2,2,1006,4700,
143,0,1,4,3,144,2,0,1700,5,1,270,2,0,170,1,0,1700,,29,133,1,8,1240000,2,1351,3,2,1006,6100,
144,0,1,4,4,145,2,0,2300,5,1,330,2,0,230,1,0,2300,,36,134,1,8,1640000,2,1351,4,2,1006,7600,
145,0,1,4,5,146,2,0,2900,5,1,380,2,0,290,1,0,2900,,43,135,1,8,2140000,2,1351,5,2,1006,9200,
146,0,1,4,6,147,2,0,3600,5,1,440,2,0,360,1,0,3600,,50,136,1,8,2740000,2,1351,6,2,1006,11000,
147,0,1,4,7,148,2,0,4300,5,1,500,2,0,430,1,0,4300,,57,137,1,8,3440000,2,1351,7,2,1006,13000,
148,0,1,4,8,,2,0,5000,5,1,560,2,0,500,1,0,5000,,64,138,1,8,4240000,2,1351,8,2,1006,15000,
151,0,1,5,1,152,2,0,550,2,1,200,2,0,55,1,0,550,,21,141,1,8,980000,2,1352,1,2,1006,5800,
152,0,1,5,2,153,2,0,1210,2,1,270,2,0,121,1,0,1210,,32,142,1,8,1180000,2,1352,2,2,1006,7100,
153,0,1,5,3,154,2,0,1870,2,1,340,2,0,187,1,0,1870,,43,143,1,8,1480000,2,1352,3,2,1006,8500,
154,0,1,5,4,155,2,0,2530,2,1,410,2,0,253,1,0,2530,,54,144,1,8,1880000,2,1352,4,2,1006,10000,
155,0,1,5,5,156,2,0,3190,2,1,480,2,0,319,1,0,3190,,65,145,1,8,2380000,2,1352,5,2,1006,12000,
156,0,1,5,6,157,2,0,3960,2,1,550,2,0,396,1,0,3960,,76,146,1,8,2980000,2,1352,6,2,1006,13000,
157,0,1,5,7,158,2,0,4730,2,1,620,2,0,473,1,0,4730,,87,147,1,8,3680000,2,1352,7,2,1006,15000,
158,0,1,5,8,,2,0,5500,2,1,700,2,0,550,1,0,5500,,98,148,1,8,4480000,2,1352,8,2,1006,17000,
211,0,2,1,1,212,1,0,2500,,,,2,0,25,4,0,2,,,,1,8,500000,2,1353,1,2,1006,1000,
212,0,2,1,2,213,1,0,5500,,,,2,0,55,4,0,4,,,,1,8,700000,2,1353,2,2,1006,2300,
213,0,2,1,3,214,1,0,8500,,,,2,0,85,4,0,6,,,,1,8,1000000,2,1353,3,2,1006,3700,
214,0,2,1,4,215,1,0,11500,,,,2,0,115,4,0,8,,,,1,8,1400000,2,1353,4,2,1006,5200,
215,0,2,1,5,216,1,0,14500,,,,2,0,145,4,0,10,,,,1,8,1900000,2,1353,5,2,1006,6800,
216,0,2,1,6,217,1,0,18000,,,,2,0,180,4,0,12,,,,1,8,2500000,2,1353,6,2,1006,8500,
217,0,2,1,7,218,1,0,21500,,,,2,0,215,4,0,14,,,,1,8,3200000,2,1353,7,2,1006,10000,
218,0,2,1,8,,1,0,25000,,,,2,0,250,4,0,16,,,,1,8,4000000,2,1353,8,2,1006,13000,
221,0,2,2,1,222,1,0,3500,4,0,5,2,0,35,4,0,2,,3,211,1,8,560000,2,1354,1,2,1006,1600,
222,0,2,2,2,223,1,0,7700,4,0,10,2,0,77,4,0,5,,5,212,1,8,760000,2,1354,2,2,1006,2900,
223,0,2,2,3,224,1,0,11900,4,0,15,2,0,119,4,0,8,,7,213,1,8,1060000,2,1354,3,2,1006,4300,
224,0,2,2,4,225,1,0,16100,4,0,20,2,0,161,4,0,11,,9,214,1,8,1460000,2,1354,4,2,1006,5800,
225,0,2,2,5,226,1,0,20300,4,0,25,2,0,203,4,0,14,,11,215,1,8,1960000,2,1354,5,2,1006,7400,
226,0,2,2,6,227,1,0,25200,4,0,30,2,0,252,4,0,17,,13,216,1,8,2560000,2,1354,6,2,1006,9100,
227,0,2,2,7,228,1,0,30100,4,0,35,2,0,301,4,0,20,,15,217,1,8,3260000,2,1354,7,2,1006,11000,
228,0,2,2,8,,1,0,35000,4,0,40,2,0,350,4,0,24,,17,218,1,8,4060000,2,1354,8,2,1006,13000,
231,0,2,3,1,232,1,0,4500,17,1,110,2,0,45,1,0,450,,9,221,1,8,620000,2,1355,1,2,1006,2200,
232,0,2,3,2,233,1,0,9900,17,1,150,2,0,99,1,0,990,,14,222,1,8,820000,2,1355,2,2,1006,3500,
233,0,2,3,3,234,1,0,15300,17,1,190,2,0,153,1,0,1530,,19,223,1,8,1120000,2,1355,3,2,1006,4900,
234,0,2,3,4,235,1,0,20700,17,1,230,2,0,207,1,0,2070,,24,224,1,8,1520000,2,1355,4,2,1006,6400,
235,0,2,3,5,236,1,0,26100,17,1,270,2,0,261,1,0,2610,,29,225,1,8,2020000,2,1355,5,2,1006,8000,
236,0,2,3,6,237,1,0,32400,17,1,310,2,0,324,1,0,3240,,34,226,1,8,2620000,2,1355,6,2,1006,9700,
237,0,2,3,7,238,1,0,38700,17,1,350,2,0,387,1,0,3870,,39,227,1,8,3320000,2,1355,7,2,1006,11000,
238,0,2,3,8,,1,0,45000,17,1,390,2,0,450,1,0,4500,,44,228,1,8,4120000,2,1355,8,2,1006,14000,
241,0,2,4,1,242,1,0,5000,11,1,160,2,0,50,1,0,500,,15,231,1,8,740000,2,1356,1,2,1006,3400,
242,0,2,4,2,243,1,0,11000,11,1,220,2,0,110,1,0,1100,,22,232,1,8,940000,2,1356,2,2,1006,4700,
243,0,2,4,3,244,1,0,17000,11,1,270,2,0,170,1,0,1700,,29,233,1,8,1240000,2,1356,3,2,1006,6100,
244,0,2,4,4,245,1,0,23000,11,1,330,2,0,230,1,0,2300,,36,234,1,8,1640000,2,1356,4,2,1006,7600,
245,0,2,4,5,246,1,0,29000,11,1,380,2,0,290,1,0,2900,,43,235,1,8,2140000,2,1356,5,2,1006,9200,
246,0,2,4,6,247,1,0,36000,11,1,440,2,0,360,1,0,3600,,50,236,1,8,2740000,2,1356,6,2,1006,11000,
247,0,2,4,7,248,1,0,43000,11,1,500,2,0,430,1,0,4300,,57,237,1,8,3440000,2,1356,7,2,1006,13000,
248,0,2,4,8,,1,0,50000,11,1,560,2,0,500,1,0,5000,,64,238,1,8,4240000,2,1356,8,2,1006,15000,
251,0,2,5,1,252,1,0,5500,20,1,400,2,0,55,1,0,550,,21,241,1,8,980000,2,1357,1,2,1006,5800,
252,0,2,5,2,253,1,0,12100,20,1,540,2,0,121,1,0,1210,,32,242,1,8,1180000,2,1357,2,2,1006,7100,
253,0,2,5,3,254,1,0,18700,20,1,680,2,0,187,1,0,1870,,43,243,1,8,1480000,2,1357,3,2,1006,8500,
254,0,2,5,4,255,1,0,25300,20,1,820,2,0,253,1,0,2530,,54,244,1,8,1880000,2,1357,4,2,1006,10000,
255,0,2,5,5,256,1,0,31900,20,1,960,2,0,319,1,0,3190,,65,245,1,8,2380000,2,1357,5,2,1006,12000,
256,0,2,5,6,257,1,0,39600,20,1,1100,2,0,396,1,0,3960,,76,246,1,8,2980000,2,1357,6,2,1006,13000,
257,0,2,5,7,258,1,0,47300,20,1,1240,2,0,473,1,0,4730,,87,247,1,8,3680000,2,1357,7,2,1006,15000,
258,0,2,5,8,,1,0,55000,20,1,1400,2,0,550,1,0,5500,,98,248,1,8,4480000,2,1357,8,2,1006,17000,
311,0,3,1,1,312,1,0,2500,,,,1,0,250,3,0,8,,,,1,8,500000,2,1358,1,2,1006,1000,
312,0,3,1,2,313,1,0,5500,,,,1,0,550,3,0,17,,,,1,8,700000,2,1358,2,2,1006,2300,
313,0,3,1,3,314,1,0,8500,,,,1,0,850,3,0,27,,,,1,8,1000000,2,1358,3,2,1006,3700,
314,0,3,1,4,315,1,0,11500,,,,1,0,1150,3,0,36,,,,1,8,1400000,2,1358,4,2,1006,5200,
315,0,3,1,5,316,1,0,14500,,,,1,0,1450,3,0,46,,,,1,8,1900000,2,1358,5,2,1006,6800,
316,0,3,1,6,317,1,0,18000,,,,1,0,1800,3,0,57,,,,1,8,2500000,2,1358,6,2,1006,8500,
317,0,3,1,7,318,1,0,21500,,,,1,0,2150,3,0,68,,,,1,8,3200000,2,1358,7,2,1006,10000,
318,0,3,1,8,,1,0,25000,,,,1,0,2500,3,0,80,,,,1,8,4000000,2,1358,8,2,1006,13000,
321,0,3,2,1,322,1,0,3500,3,0,20,1,0,350,3,0,12,,3,311,1,8,560000,2,1359,1,2,1006,1600,
322,0,3,2,2,323,1,0,7700,3,0,43,1,0,770,3,0,26,,5,312,1,8,760000,2,1359,2,2,1006,2900,
323,0,3,2,3,324,1,0,11900,3,0,67,1,0,1190,3,0,40,,7,313,1,8,1060000,2,1359,3,2,1006,4300,
324,0,3,2,4,325,1,0,16100,3,0,91,1,0,1610,3,0,55,,9,314,1,8,1460000,2,1359,4,2,1006,5800,
325,0,3,2,5,326,1,0,20300,3,0,116,1,0,2030,3,0,70,,11,315,1,8,1960000,2,1359,5,2,1006,7400,
326,0,3,2,6,327,1,0,25200,3,0,143,1,0,2520,3,0,86,,13,316,1,8,2560000,2,1359,6,2,1006,9100,
327,0,3,2,7,328,1,0,30100,3,0,171,1,0,3010,3,0,103,,15,317,1,8,3260000,2,1359,7,2,1006,11000,
328,0,3,2,8,,1,0,35000,3,0,200,1,0,3500,3,0,120,,17,318,1,8,4060000,2,1359,8,2,1006,13000,
331,0,3,3,1,332,1,0,4500,9,1,110,2,0,45,1,0,450,,9,321,1,8,620000,2,1360,1,2,1006,2200,
332,0,3,3,2,333,1,0,9900,9,1,150,2,0,99,1,0,990,,14,322,1,8,820000,2,1360,2,2,1006,3500,
333,0,3,3,3,334,1,0,15300,9,1,190,2,0,153,1,0,1530,,19,323,1,8,1120000,2,1360,3,2,1006,4900,
334,0,3,3,4,335,1,0,20700,9,1,230,2,0,207,1,0,2070,,24,324,1,8,1520000,2,1360,4,2,1006,6400,
335,0,3,3,5,336,1,0,26100,9,1,270,2,0,261,1,0,2610,,29,325,1,8,2020000,2,1360,5,2,1006,8000,
336,0,3,3,6,337,1,0,32400,9,1,310,2,0,324,1,0,3240,,34,326,1,8,2620000,2,1360,6,2,1006,9700,
337,0,3,3,7,338,1,0,38700,9,1,350,2,0,387,1,0,3870,,39,327,1,8,3320000,2,1360,7,2,1006,11000,
338,0,3,3,8,,1,0,45000,9,1,390,2,0,450,1,0,4500,,44,328,1,8,4120000,2,1360,8,2,1006,14000,
341,0,3,4,1,342,1,0,5000,18,1,160,2,0,50,1,0,500,,15,331,1,8,740000,2,1361,1,2,1006,3400,
342,0,3,4,2,343,1,0,11000,18,1,220,2,0,110,1,0,1100,,22,332,1,8,940000,2,1361,2,2,1006,4700,
343,0,3,4,3,344,1,0,17000,18,1,270,2,0,170,1,0,1700,,29,333,1,8,1240000,2,1361,3,2,1006,6100,
344,0,3,4,4,345,1,0,23000,18,1,330,2,0,230,1,0,2300,,36,334,1,8,1640000,2,1361,4,2,1006,7600,
345,0,3,4,5,346,1,0,29000,18,1,380,2,0,290,1,0,2900,,43,335,1,8,2140000,2,1361,5,2,1006,9200,
346,0,3,4,6,347,1,0,36000,18,1,440,2,0,360,1,0,3600,,50,336,1,8,2740000,2,1361,6,2,1006,11000,
347,0,3,4,7,348,1,0,43000,18,1,500,2,0,430,1,0,4300,,57,337,1,8,3440000,2,1361,7,2,1006,13000,
348,0,3,4,8,,1,0,50000,18,1,560,2,0,500,1,0,5000,,64,338,1,8,4240000,2,1361,8,2,1006,15000,
351,0,3,5,1,352,1,0,5500,7,1,200,2,0,55,1,0,550,,21,341,1,8,980000,2,1362,1,2,1006,5800,
352,0,3,5,2,353,1,0,12100,7,1,270,2,0,121,1,0,1210,,32,342,1,8,1180000,2,1362,2,2,1006,7100,
353,0,3,5,3,354,1,0,18700,7,1,340,2,0,187,1,0,1870,,43,343,1,8,1480000,2,1362,3,2,1006,8500,
354,0,3,5,4,355,1,0,25300,7,1,410,2,0,253,1,0,2530,,54,344,1,8,1880000,2,1362,4,2,1006,10000,
355,0,3,5,5,356,1,0,31900,7,1,480,2,0,319,1,0,3190,,65,345,1,8,2380000,2,1362,5,2,1006,12000,
356,0,3,5,6,357,1,0,39600,7,1,550,2,0,396,1,0,3960,,76,346,1,8,2980000,2,1362,6,2,1006,13000,
357,0,3,5,7,358,1,0,47300,7,1,620,2,0,473,1,0,4730,,87,347,1,8,3680000,2,1362,7,2,1006,15000,
358,0,3,5,8,,1,0,55000,7,1,700,2,0,550,1,0,5500,,98,348,1,8,4480000,2,1362,8,2,1006,17000,
