id,offsetType,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,pro-type-5,pro-way-5,pro-value-5,
70,,1,0,254741369,2,1,-9000,4,1,-8000,3,1,-4760,,,,
71,,1,0,280215506,2,1,-9000,4,1,-8000,3,1,-4680,,,,
72,,1,0,308237057,2,1,-9000,4,1,-8000,3,1,-4600,,,,
73,,1,0,339060762,2,1,-9000,4,1,-8000,3,1,-4520,,,,
74,,1,0,372966838,2,1,-9000,4,1,-8000,3,1,-4440,,,,
75,,1,0,410263522,2,1,-9000,4,1,-8000,3,1,-4360,,,,
76,,1,0,451289874,2,1,-9000,4,1,-8000,3,1,-4280,,,,
77,,1,0,496418861,2,1,-9000,4,1,-8000,3,1,-4200,,,,
78,,1,0,546060747,2,1,-9000,4,1,-8000,3,1,-4120,,,,
79,,1,0,600666822,2,1,-9000,4,1,-8000,3,1,-4040,,,,
80,,1,0,660733504,2,1,-9000,4,1,-8000,3,1,-3960,,,,
81,,1,0,726806854,2,1,-9000,4,1,-8000,3,1,-3880,,,,
82,,1,0,799487540,2,1,-9000,4,1,-8000,3,1,-3800,,,,
83,,1,0,879436294,2,1,-9000,4,1,-8000,3,1,-3720,,,,
84,,1,0,967379923,2,1,-9000,4,1,-8000,3,1,-3640,,,,
85,,1,0,1064117916,2,1,-9000,4,1,-8000,3,1,-3560,,,,
86,,1,0,1170529708,2,1,-9000,4,1,-8000,3,1,-3480,,,,
87,,1,0,1287582678,2,1,-9000,4,1,-8000,3,1,-3400,,,,
88,,1,0,1416340946,2,1,-9000,4,1,-8000,3,1,-3320,,,,
89,,1,0,1557975041,2,1,-9000,4,1,-8000,3,1,-3240,,,,
90,,1,0,1713772545,2,1,-9000,4,1,-8000,3,1,-3160,,,,
91,,1,0,1885149800,2,1,-9000,4,1,-8000,3,1,-3080,,,,
92,,1,0,2073664780,2,1,-9000,4,1,-8000,3,1,-3000,,,,
93,,1,0,2281031258,2,1,-9000,4,1,-8000,3,1,-2920,,,,
94,,1,0,2509134383,2,1,-9000,4,1,-8000,3,1,-2840,,,,
95,,1,0,2760047822,2,1,-9000,4,1,-8000,3,1,-2760,,,,
96,,1,0,3036052604,2,1,-9000,4,1,-8000,3,1,-2680,,,,
97,,1,0,3339657864,2,1,-9000,4,1,-8000,3,1,-2600,,,,
98,,1,0,3673623651,2,1,-9000,4,1,-8000,3,1,-2520,,,,
99,,1,0,4040986016,2,1,-9000,4,1,-8000,3,1,-2440,,,,
100,,1,0,4445084618,2,1,-9000,4,1,-8000,3,1,-2360,,,,
101,,1,0,4889593080,2,1,-9000,4,1,-8000,3,1,-2280,,,,
102,,1,0,5378552388,2,1,-9000,4,1,-8000,3,1,-2200,,,,
103,,1,0,5916407626,2,1,-9000,4,1,-8000,3,1,-2120,,,,
104,,1,0,6508048389,2,1,-9000,4,1,-8000,3,1,-2040,,,,
105,,1,0,7158853228,2,1,-9000,4,1,-8000,3,1,-1960,,,,
106,,1,0,7874738551,2,1,-9000,4,1,-8000,3,1,-1880,,,,
107,,1,0,8662212406,2,1,-9000,4,1,-8000,3,1,-1800,,,,
108,,1,0,9528433647,2,1,-9000,4,1,-8000,3,1,-1720,,,,
109,,1,0,10481277011,2,1,-9000,4,1,-8000,3,1,-1640,,,,
110,,1,0,11529404712,2,1,-9000,4,1,-8000,3,1,-1560,,,,
111,,1,0,12682345184,2,1,-9000,4,1,-8000,3,1,-1480,,,,
112,,1,0,13950579702,2,1,-9000,4,1,-8000,3,1,-1400,,,,
113,,1,0,15345637672,2,1,-9000,4,1,-8000,3,1,-1320,,,,
114,,1,0,16880201440,2,1,-9000,4,1,-8000,3,1,-1240,,,,
115,,1,0,18568221584,2,1,-9000,4,1,-8000,3,1,-1160,,,,
116,,1,0,20425043742,2,1,-9000,4,1,-8000,3,1,-1080,,,,
117,,1,0,22467548116,2,1,-9000,4,1,-8000,3,1,-1000,,,,
118,,1,0,24714302928,2,1,-9000,4,1,-8000,3,1,-920,,,,
119,,1,0,27185733221,2,1,-9000,4,1,-8000,3,1,-840,,,,
120,,1,0,29904306543,2,1,-9000,4,1,-8000,3,1,-760,,,,
121,,1,0,32894737198,2,1,-9000,4,1,-8000,3,1,-680,,,,
122,,1,0,36184210917,2,1,-9000,4,1,-8000,3,1,-600,,,,
123,,1,0,39802632009,2,1,-9000,4,1,-8000,3,1,-520,,,,
124,,1,0,43782895210,2,1,-9000,4,1,-8000,3,1,-440,,,,
125,,1,0,48161184731,2,1,-9000,4,1,-8000,3,1,-360,,,,
126,,1,0,52977303204,2,1,-9000,4,1,-8000,3,1,-280,,,,
127,,1,0,60923898685,2,1,-9000,4,1,-8000,3,1,-200,,,,
128,,1,0,70062483488,2,1,-9000,4,1,-8000,3,1,-120,,,,
129,,1,0,80571856011,2,1,-9000,4,1,-8000,,,,,,,
130,,1,0,92657634413,2,1,-9000,4,1,-8000,,,,,,,
131,,1,0,106556279575,2,1,-9000,4,1,-8000,,,,,,,
132,,1,0,122539721511,2,1,-9000,4,1,-8000,,,,,,,
133,,1,0,140920679738,2,1,-9000,4,1,-8000,,,,,,,
134,,1,0,162058781699,2,1,-9000,4,1,-8000,,,,,,,
135,,1,0,186367598954,2,1,-9000,4,1,-8000,,,,,,,
136,,1,0,214322738797,2,1,-9000,4,1,-8000,,,,,,,
137,,1,1,30000,2,1,30000,,,,,,,,,,
211,,1,1,20000,2,1,20000,,,,,,,,,,
212,,1,1,130000,2,1,40000,,,,,,,,,,
901,,1,1,5000,2,1,3000,,,,,,,,,,
902,,1,1,10000,2,1,5000,,,,,,,,,,
903,1,11,0,1,,,,,,,,,,,,,
904,1,11,0,1,,,,,,,,,,,,,
905,1,11,0,1,,,,,,,,,,,,,
906,1,11,0,1,,,,,,,,,,,,,
907,1,11,0,1,,,,,,,,,,,,,
908,,2,1,15000,,,,,,,,,,,,,
909,,2,1,-2500,,,,,,,,,,,,,
910,,2,1,-1000,,,,,,,,,,,,,
911,,1,1,2500,2,1,1000,,,,,,,,,,
912,,1,1,5000,2,1,1500,,,,,,,,,,
1201,1,1,0,1,,,,,,,,,,,,,
1202,1,1,0,1,,,,,,,,,,,,,
1203,1,1,0,1,,,,,,,,,,,,,
1204,1,1,0,1,,,,,,,,,,,,,
1205,1,1,0,1,,,,,,,,,,,,,
1206,1,1,0,1,,,,,,,,,,,,,
1207,1,1,0,1,,,,,,,,,,,,,
1208,1,1,0,1,,,,,,,,,,,,,
1209,1,1,0,1,,,,,,,,,,,,,
1210,1,1,0,1,,,,,,,,,,,,,
1211,1,1,0,1,,,,,,,,,,,,,
1212,1,1,0,1,,,,,,,,,,,,,
1213,1,1,0,1,,,,,,,,,,,,,
1214,1,1,0,1,,,,,,,,,,,,,
1215,1,1,0,1,,,,,,,,,,,,,
1216,1,1,0,1,,,,,,,,,,,,,
1217,1,1,0,1,,,,,,,,,,,,,
1218,1,1,0,1,,,,,,,,,,,,,
1219,1,1,0,1,,,,,,,,,,,,,
1220,1,1,0,1,,,,,,,,,,,,,
1221,1,1,0,1,,,,,,,,,,,,,
1222,1,1,0,1,,,,,,,,,,,,,
1223,1,1,0,1,,,,,,,,,,,,,
1224,1,1,0,1,,,,,,,,,,,,,
1225,1,1,0,1,,,,,,,,,,,,,
1226,1,1,0,1,,,,,,,,,,,,,
1227,1,1,0,1,,,,,,,,,,,,,
1228,1,1,0,1,,,,,,,,,,,,,
1229,1,1,0,1,,,,,,,,,,,,,
1230,1,1,0,1,,,,,,,,,,,,,
1231,1,1,0,1,,,,,,,,,,,,,
1232,1,1,0,1,,,,,,,,,,,,,
1233,1,1,0,1,,,,,,,,,,,,,
1234,1,1,0,1,,,,,,,,,,,,,
1235,1,1,0,1,,,,,,,,,,,,,
1236,1,1,0,1,,,,,,,,,,,,,
1237,1,1,0,1,,,,,,,,,,,,,
1238,1,1,0,1,,,,,,,,,,,,,
1239,1,1,0,1,,,,,,,,,,,,,
1240,1,1,0,1,,,,,,,,,,,,,
1241,1,1,0,1,,,,,,,,,,,,,
1242,1,1,0,1,,,,,,,,,,,,,
1243,1,1,0,1,,,,,,,,,,,,,
1244,1,1,0,1,,,,,,,,,,,,,
1245,1,1,0,1,,,,,,,,,,,,,
1246,1,1,0,1,,,,,,,,,,,,,
1247,1,1,0,1,,,,,,,,,,,,,
1248,1,1,0,1,,,,,,,,,,,,,
1249,1,1,0,1,,,,,,,,,,,,,
1250,1,1,0,1,,,,,,,,,,,,,
1501,1,2,1,-9000,11,0,4000,,,,,,,,,,
