id,useType,skinId,boostAttack,enhanceLife,antiknock,promoteSpeed,itemType,itemID,combineNum,itemType1,itemid1,combineNum2,monsterShow,convert,
25507001,2,25507001,,,,,2,13721,1,3,25507,1,1,,
30071,2,30071,,,,,2,13722,1,,,,0,,
30072,2,30072,,,,,2,13723,1,,,,0,,
21508001,2,21508002,,,,,2,13726,1,3,21508,1,0,,
24505001,2,24505001,,,,,2,13727,1,3,24505,1,0,,
22507001,2,22507001,,,,,2,13728,1,3,22507,1,0,,
23503001,2,23503001,,,,,2,13730,1,3,23503,1,0,,
23510002,2,235103,,,,,2,13729,1,3,23510,1,0,,
30073,2,30073,,,,,2,13724,1,,,,0,,
30074,2,30074,,,,,2,13725,1,,,,0,,
21512001,2,21512001,,,,,2,13732,1,3,21512,1,0,,
22507002,2,22507002,,,,,2,13731,1,3,22507,1,0,,
21515,3,21515,,,,,3,21515,1,1,1,1,0,,
24506001,2,24506001,,,,,2,13733,1,3,24506,1,0,,
25515001,2,25515001,,,,,2,13734,1,3,25515,1,0,,
22501001,2,22501001,,,,,2,13735,1,3,22501,1,0,,
25510001,2,25510001,,,,,2,13736,1,3,25510,1,0,,
21507001,2,21507001,,,,,2,13737,1,3,21507,1,0,,
24503001,2,24503001,,,,,2,13738,1,3,24503,1,0,,
21508002,2,21508001,,,,,2,13739,1,3,21508,1,0,,
25517,3,25517,,,,,3,25517,1,1,1,1,0,,
23508002,2,23508003,,,,,2,13740,1,3,23508,1,0,,
23507001,2,23507001,,,,,2,13741,1,3,23507,1,0,,
23511001,2,23511001,,,,,2,13742,1,3,23511,1,0,,
22511001,2,22511001,,,,,2,13743,1,3,22511,1,0,,
22504002,2,22504002,,,,,2,13744,1,3,22504,1,0,,
22512001,2,22512001,,,,,2,13745,1,3,22512,1,0,,
23502001,2,23502001,,,,,2,13746,1,3,23502,1,0,,
21504001,2,21504001,,,,,2,13747,1,3,21504,1,0,,
21512002,2,21512002,,,,,2,13748,1,3,21512,1,0,,
24517001,2,24517001,,,,,2,13749,1,3,24517,1,0,,
21515001,2,21515001,,,,,2,13750,1,3,21515,1,0,,
30075,2,30075,,,,,2,13751,1,,,,0,,
30076,2,30076,,,,,2,13752,1,,,,0,,
23506002,2,23506002,,,,,2,13753,1,3,23506,1,0,,
25514001,2,25514001,,,,,2,13754,1,3,25514,1,0,,
24516001,2,24516001,,,,,2,13755,1,3,24516,1,0,,
25516001,2,25516001,,,,,2,13756,1,3,25516,1,0,,
24501001,2,24501001,,,,,2,13757,1,3,24501,1,0,,
24504002,2,24504002,,,,,2,13758,1,3,24504,1,0,,
22502002,2,22502002,,,,,2,13759,1,3,22502,1,0,,
22515,3,22515,,,,,3,22515,1,1,1,1,0,,
25517001,2,25517001,,,,,2,13760,1,3,25517,1,0,,
24518001,2,24518001,,,,,2,13761,1,3,24518,1,0,,
25518001,2,22518001,,,,,2,13762,1,3,25518,1,0,,
21510002,2,21510002,,,,,2,13763,1,3,21510,1,0,,
24517002,2,24517002,,,,,2,13767,1,3,24517,1,0,,
25518002,2,25518002,,,,,2,13768,1,3,25518,1,0,,
25504005,2,25504005,,,,,2,13764,1,3,25504,1,0,,
25515005,2,25515005,,,,,2,13765,1,3,25515,1,0,,
24505005,2,24505005,,,,,2,13766,1,3,24505,1,0,,
22504003,2,22504003,,,,,2,13769,1,3,22504,1,0,,
22515001,2,22515001,,,,,2,13770,1,3,22515,1,0,,
26501,2,26501,,,,,3,26501,1,1,1,1,,,
24510002,2,24510002,,,,,2,13774,1,3,24510,1,0,,
25509002,2,25509002,,,,,2,13775,1,3,25509,1,0,,
30077,2,30077,,,,,2,13771,1,,,,0,,
30078,2,30078,,,,,2,13772,1,,,,0,,
21516,1,21516,,,,,3,21516,1,1,1,1,0,,
24518002,2,24518002,,,,,2,13776,1,3,24518,1,0,,
26501001,2,26501001,,,,,2,13777,1,3,26501,1,0,,
25510002,2,25510002,,,,,2,13778,1,3,25510,1,0,,
26502,2,26502,,,,,3,26502,1,1,1,1,0,,
24519,1,24519,,,,,3,24519,1,1,1,1,0,,
25519,1,25519,,,,,3,25519,1,1,1,1,0,,
21515002,2,21515002,,,,,2,13779,1,3,21515,1,0,,
23511002,2,23511002,,,,,2,13780,1,3,23511,1,0,,
26503,2,26503,,,,,3,26503,1,1,1,1,0,,
23503002,2,23503002,,,,,2,13781,1,3,23503,1,0,,
23510003,2,23510003,,,,,2,13782,1,3,23510,1,0,,
25515002,2,25515002,,,,,2,13783,1,3,25515,1,0,,
21516001,2,21516001,,,,,2,13784,1,3,21516,1,0,,
22512002,2,22512002,,,,,2,13785,1,3,22512,1,0,,
26504,2,26504,,,,,3,26504,1,1,1,1,0,,
26502001,2,26502001,,,,,2,13786,1,3,26502,1,0,,
26503001,2,26503001,,,,,2,13787,1,3,26503,1,0,,
26505,2,26505,,,,,3,26505,1,1,1,1,0,,
26504001,2,26504001,,,,,2,13788,1,3,26504,1,0,,
23503003,2,23503003,,,,,2,13789,1,3,23503,1,0,,
25507002,2,25507002,,,,,2,13790,1,3,25507,1,0,,
