id,breachLv,addProsType,proRange-key-1,proRange-min-1,proRange-max-1,proRange-key-2,proRange-min-2,proRange-max-2,proRange-key-3,proRange-min-3,proRange-max-3,proRange-key-4,proRange-min-4,proRange-max-4,proRange-key-5,proRange-min-5,proRange-max-5,proRange-key-6,proRange-min-6,proRange-max-6,proRange-key-7,proRange-min-7,proRange-max-7,
117,12,6,1,63,105,2,78,131,3,94,157,4,110,183,5,126,210,6,141,236,7,157,262,
118,13,6,1,66,110,2,82,137,3,99,165,4,115,192,5,132,220,6,148,247,7,165,275,
119,14,6,1,69,115,2,86,143,3,103,172,4,120,201,5,138,230,6,155,258,7,172,287,
120,15,6,1,72,120,2,90,150,3,108,180,4,126,210,5,144,240,6,162,270,7,180,300,
121,16,6,1,75,125,2,93,156,3,112,187,4,131,218,5,150,250,6,168,281,7,187,312,
122,17,6,1,78,130,2,97,162,3,117,195,4,136,227,5,156,260,6,175,292,7,195,325,
123,18,6,1,81,135,2,101,168,3,121,202,4,141,236,5,162,270,6,182,303,7,202,337,
124,19,6,1,84,140,2,105,175,3,126,210,4,147,245,5,168,280,6,189,315,7,210,350,
125,20,6,1,87,145,2,108,181,3,130,217,4,152,253,5,174,290,6,195,326,7,217,362,
126,21,6,1,90,150,2,112,187,3,135,225,4,157,262,5,180,300,6,202,337,7,225,375,
