id,groupId,lv,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,properties-type-3,properties-way-3,properties-value-3,properties-type-4,properties-way-4,properties-value-4,properties-type-5,properties-way-5,properties-value-5,properties-type-6,properties-way-6,properties-value-6,materials-type-1,materials-id-1,materials-value-1,materials-type-2,materials-id-2,materials-value-2,newMaterials-type-1,newMaterials-id-1,newMaterials-value-1,newMaterials-type-2,newMaterials-id-2,newMaterials-value-2,
1409,1400,9,1,0,36691,2,0,2628,4,0,2,2,1,30,1,1,30,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
1410,1400,10,1,0,38309,2,0,2744,4,0,2,2,1,30,1,1,30,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
1411,1400,11,1,0,39928,2,0,2860,4,0,2,2,1,30,1,1,30,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
1412,1400,12,1,0,42086,2,0,3014,4,0,2,2,1,30,1,1,30,,,,2,1032,11,2,1033,44,2,1032,35,2,1033,140,
1413,1400,13,1,0,44784,2,0,3207,4,0,2,2,1,30,1,1,30,,,,2,1032,11,2,1033,44,2,1032,40,2,1033,160,
1414,1400,14,1,0,48022,2,0,3439,4,0,2,2,1,30,1,1,30,,,,2,1032,11,2,1033,44,2,1032,45,2,1033,180,
1415,1400,15,1,0,53957,2,0,3864,4,0,2,2,1,30,1,1,30,,,,2,1032,11,2,1033,44,2,1032,50,2,1033,200,
1501,1500,1,2,0,1540,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
1502,1500,2,2,0,1609,4,0,2,,,,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
1503,1500,3,2,0,1711,4,0,2,,,,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
1504,1500,4,2,0,1814,4,0,2,,,,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
1505,1500,5,2,0,1917,4,0,2,,,,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
1506,1500,6,2,0,2019,4,0,2,,,,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
1507,1500,7,2,0,2122,4,0,2,,,,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
1508,1500,8,2,0,2225,4,0,2,,,,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
1509,1500,9,2,0,2327,4,0,2,,,,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
1510,1500,10,2,0,2430,4,0,2,,,,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
1511,1500,11,2,0,2533,4,0,2,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
1512,1500,12,2,0,2670,4,0,2,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
1513,1500,13,2,0,2841,4,0,2,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
1514,1500,14,2,0,3046,4,0,2,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
1515,1500,15,2,0,3423,4,0,2,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
1601,1600,1,2,0,1540,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,
1602,1600,2,2,0,1609,1,1,20,,,,,,,,,,,,,2,1032,2,2,1033,8,2,1032,1,2,1033,4,
1603,1600,3,2,0,1711,1,1,20,,,,,,,,,,,,,2,1032,3,2,1033,12,2,1032,3,2,1033,12,
1604,1600,4,2,0,1814,1,1,20,,,,,,,,,,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
1605,1600,5,2,0,1917,1,1,20,,,,,,,,,,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
1606,1600,6,2,0,2019,1,1,20,,,,,,,,,,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
1607,1600,7,2,0,2122,1,1,20,,,,,,,,,,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
1608,1600,8,2,0,2225,1,1,30,,,,,,,,,,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
1609,1600,9,2,0,2327,1,1,30,,,,,,,,,,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
1610,1600,10,2,0,2430,1,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
1611,1600,11,2,0,2533,1,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
1612,1600,12,2,0,2670,1,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,35,2,1033,140,
1613,1600,13,2,0,2841,1,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,40,2,1033,160,
1614,1600,14,2,0,3046,1,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,45,2,1033,180,
1615,1600,15,2,0,3423,1,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,50,2,1033,200,
2101,2100,1,1,0,21942,2,1,30,7,1,20,,,,,,,,,,,,,,,,,,,,,,
2102,2100,2,1,0,22918,2,1,20,7,1,10,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
2103,2100,3,1,0,24381,2,1,20,7,1,10,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
2104,2100,4,1,0,25843,2,1,20,7,1,10,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
2105,2100,5,1,0,27306,2,1,20,7,1,10,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
2106,2100,6,1,0,28769,2,1,20,7,1,10,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
2107,2100,7,1,0,30232,2,1,20,7,1,10,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
2108,2100,8,1,0,31695,2,1,30,7,1,10,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
2109,2100,9,1,0,33157,2,1,30,7,1,10,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
2110,2100,10,1,0,34620,2,1,30,7,1,10,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
2111,2100,11,1,0,36083,2,1,30,7,1,10,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
2112,2100,12,1,0,38034,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
2113,2100,13,1,0,40472,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
2114,2100,14,1,0,43397,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
2115,2100,15,1,0,48761,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
2201,2200,1,1,0,21942,4,0,3,20,1,20,,,,,,,,,,,,,,,,,,,,,,
2202,2200,2,1,0,22918,4,0,3,20,1,10,,,,,,,,,,2,1032,3,2,1033,12,2,1032,3,2,1033,12,
2203,2200,3,1,0,24381,4,0,3,20,1,10,,,,,,,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
2204,2200,4,1,0,25843,4,0,3,20,1,10,,,,,,,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
2205,2200,5,1,0,27306,4,0,3,20,1,10,,,,,,,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
2206,2200,6,1,0,28769,4,0,3,20,1,10,,,,,,,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
2207,2200,7,1,0,30232,4,0,3,20,1,10,,,,,,,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
2208,2200,8,1,0,31695,4,0,3,20,1,10,,,,,,,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
2209,2200,9,1,0,33157,4,0,3,20,1,10,,,,,,,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
2210,2200,10,1,0,34620,4,0,3,20,1,10,,,,,,,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
2211,2200,11,1,0,36083,4,0,3,20,1,10,,,,,,,,,,2,1032,12,2,1033,48,2,1032,35,2,1033,140,
2212,2200,12,1,0,38034,4,0,3,20,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,40,2,1033,160,
2213,2200,13,1,0,40472,4,0,3,20,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,45,2,1033,180,
2214,2200,14,1,0,43397,4,0,3,20,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,50,2,1033,200,
2215,2200,15,1,0,48761,4,0,3,20,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,55,2,1033,220,
2301,2300,1,2,0,1540,1,1,30,7,1,20,,,,,,,,,,,,,,,,,,,,,,
2302,2300,2,2,0,1609,1,1,20,7,1,10,,,,,,,,,,2,1032,3,2,1033,12,2,1032,3,2,1033,12,
2303,2300,3,2,0,1711,1,1,20,7,1,10,,,,,,,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
2304,2300,4,2,0,1814,1,1,20,7,1,10,,,,,,,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
2305,2300,5,2,0,1917,1,1,20,7,1,10,,,,,,,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
2306,2300,6,2,0,2019,1,1,20,7,1,10,,,,,,,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
2307,2300,7,2,0,2122,1,1,20,7,1,10,,,,,,,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
2308,2300,8,2,0,2225,1,1,30,7,1,10,,,,,,,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
2309,2300,9,2,0,2327,1,1,30,7,1,10,,,,,,,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
2310,2300,10,2,0,2430,1,1,30,7,1,10,,,,,,,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
2311,2300,11,2,0,2533,1,1,30,7,1,10,,,,,,,,,,2,1032,12,2,1033,48,2,1032,35,2,1033,140,
2312,2300,12,2,0,2670,1,1,30,7,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,40,2,1033,160,
2313,2300,13,2,0,2841,1,1,30,7,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,45,2,1033,180,
2314,2300,14,2,0,3046,1,1,30,7,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,50,2,1033,200,
2315,2300,15,2,0,3423,1,1,30,7,1,20,,,,,,,,,,2,1032,12,2,1033,48,2,1032,55,2,1033,220,
2401,2400,1,2,0,1540,1,1,30,20,1,20,,,,,,,,,,,,,,,,,,,,,,
2402,2400,2,2,0,1609,1,1,20,20,1,10,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
2403,2400,3,2,0,1711,1,1,20,20,1,10,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
2404,2400,4,2,0,1814,1,1,20,20,1,10,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
2405,2400,5,2,0,1917,1,1,20,20,1,10,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
2406,2400,6,2,0,2019,1,1,20,20,1,10,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
2407,2400,7,2,0,2122,1,1,20,20,1,10,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
2408,2400,8,2,0,2225,1,1,30,20,1,10,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
2409,2400,9,2,0,2327,1,1,30,20,1,10,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
2410,2400,10,2,0,2430,1,1,30,20,1,10,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
2411,2400,11,2,0,2533,1,1,30,20,1,10,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
2412,2400,12,2,0,2670,1,1,30,20,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
2413,2400,13,2,0,2841,1,1,30,20,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
2414,2400,14,2,0,3046,1,1,30,20,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
2415,2400,15,2,0,3423,1,1,30,20,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
2501,2500,1,1,0,24281,2,0,1739,4,0,2,2,1,30,1,1,30,,,,,,,,,,,,,,,,
2502,2500,2,1,0,25360,2,0,1816,4,0,2,2,1,20,1,1,20,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
2503,2500,3,1,0,26978,2,0,1932,4,0,2,2,1,20,1,1,20,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
2504,2500,4,1,0,28597,2,0,2048,4,0,2,2,1,20,1,1,20,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
2505,2500,5,1,0,30216,2,0,2164,4,0,2,2,1,20,1,1,20,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
2506,2500,6,1,0,31835,2,0,2280,4,0,2,2,1,20,1,1,20,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
2507,2500,7,1,0,33453,2,0,2396,4,0,2,2,1,20,1,1,20,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
2508,2500,8,1,0,35072,2,0,2512,4,0,2,2,1,30,1,1,30,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
2509,2500,9,1,0,36691,2,0,2628,4,0,2,2,1,30,1,1,30,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
2510,2500,10,1,0,38309,2,0,2744,4,0,2,2,1,30,1,1,30,,,,2,1032,12,2,1033,48,2,1032,35,2,1033,140,
2511,2500,11,1,0,39928,2,0,2860,4,0,2,2,1,30,1,1,30,,,,2,1032,13,2,1033,52,2,1032,40,2,1033,160,
2512,2500,12,1,0,42086,2,0,3014,4,0,2,2,1,30,1,1,30,,,,2,1032,13,2,1033,52,2,1032,45,2,1033,180,
2513,2500,13,1,0,44784,2,0,3207,4,0,2,2,1,30,1,1,30,,,,2,1032,13,2,1033,52,2,1032,50,2,1033,200,
2514,2500,14,1,0,48022,2,0,3439,4,0,2,2,1,30,1,1,30,,,,2,1032,13,2,1033,52,2,1032,55,2,1033,220,
2515,2500,15,1,0,53957,2,0,3864,4,0,2,2,1,30,1,1,30,,,,2,1032,13,2,1033,52,2,1032,60,2,1033,240,
3101,3100,1,1,0,21942,2,1,30,7,1,20,,,,,,,,,,,,,,,,,,,,,,
3102,3100,2,1,0,22918,2,1,20,7,1,10,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
3103,3100,3,1,0,24381,2,1,20,7,1,10,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
3104,3100,4,1,0,25843,2,1,20,7,1,10,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
3105,3100,5,1,0,27306,2,1,20,7,1,10,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
3106,3100,6,1,0,28769,2,1,20,7,1,10,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
3107,3100,7,1,0,30232,2,1,20,7,1,10,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
3108,3100,8,1,0,31695,2,1,30,7,1,10,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
3109,3100,9,1,0,33157,2,1,30,7,1,10,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
3110,3100,10,1,0,34620,2,1,30,7,1,10,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
3111,3100,11,1,0,36083,2,1,30,7,1,10,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
3112,3100,12,1,0,38034,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
3113,3100,13,1,0,40472,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
3114,3100,14,1,0,43397,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
3115,3100,15,1,0,48761,2,1,30,7,1,20,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
3201,3200,1,1,0,21942,2,1,30,20,1,20,,,,,,,,,,,,,,,,,,,,,,
3202,3200,2,1,0,22918,2,1,20,20,1,10,,,,,,,,,,2,1032,2,2,1033,8,2,1032,1,2,1033,4,
3203,3200,3,1,0,24381,2,1,20,20,1,10,,,,,,,,,,2,1032,3,2,1033,12,2,1032,3,2,1033,12,
3204,3200,4,1,0,25843,2,1,20,20,1,10,,,,,,,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
3205,3200,5,1,0,27306,2,1,20,20,1,10,,,,,,,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
3206,3200,6,1,0,28769,2,1,20,20,1,10,,,,,,,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
3207,3200,7,1,0,30232,2,1,20,20,1,10,,,,,,,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
3208,3200,8,1,0,31695,2,1,30,20,1,10,,,,,,,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
3209,3200,9,1,0,33157,2,1,30,20,1,10,,,,,,,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
3210,3200,10,1,0,34620,2,1,30,20,1,10,,,,,,,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
3211,3200,11,1,0,36083,2,1,30,20,1,10,,,,,,,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
3212,3200,12,1,0,38034,2,1,30,20,1,20,,,,,,,,,,2,1032,11,2,1033,44,2,1032,35,2,1033,140,
3213,3200,13,1,0,40472,2,1,30,20,1,20,,,,,,,,,,2,1032,11,2,1033,44,2,1032,40,2,1033,160,
3214,3200,14,1,0,43397,2,1,30,20,1,20,,,,,,,,,,2,1032,11,2,1033,44,2,1032,45,2,1033,180,
3215,3200,15,1,0,48761,2,1,30,20,1,20,,,,,,,,,,2,1032,11,2,1033,44,2,1032,50,2,1033,200,
3301,3300,1,2,0,1540,2,1,30,,,,,,,,,,,,,,,,,,,,,,,,,
3302,3300,2,2,0,1609,2,1,20,,,,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
3303,3300,3,2,0,1711,2,1,20,,,,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
3304,3300,4,2,0,1814,2,1,20,,,,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
3305,3300,5,2,0,1917,2,1,20,,,,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
3306,3300,6,2,0,2019,2,1,20,,,,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
3307,3300,7,2,0,2122,2,1,20,,,,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
3308,3300,8,2,0,2225,2,1,30,,,,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
3309,3300,9,2,0,2327,2,1,30,,,,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
3310,3300,10,2,0,2430,2,1,30,,,,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
3311,3300,11,2,0,2533,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
3312,3300,12,2,0,2670,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
3313,3300,13,2,0,2841,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
3314,3300,14,2,0,3046,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
3315,3300,15,2,0,3423,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
3401,3400,1,1,0,24281,2,0,1739,4,0,2,2,1,30,1,1,30,,,,,,,,,,,,,,,,
3402,3400,2,1,0,25360,2,0,1816,4,0,2,2,1,20,1,1,20,,,,2,1032,2,2,1033,8,2,1032,1,2,1033,4,
