id,lv,stage,lvMaterials-type-1,lvMaterials-id-1,lvMaterials-value-1,lvMaterials-type-2,lvMaterials-id-2,lvMaterials-value-2,lvMaterials-type-3,lvMaterials-id-3,lvMaterials-value-3,lvProperties-type-1,lvProperties-way-1,lvProperties-value-1,lvProperties-type-2,lvProperties-way-2,lvProperties-value-2,
96,8,7,1,8,5800000,1,10,2900000,,,,1,0,8700,2,0,870,
97,8,8,1,8,5800000,1,10,2900000,,,,1,0,8800,2,0,880,
98,8,9,1,8,5800000,1,10,2900000,,,,1,0,8900,2,0,890,
99,8,10,2,1257,10,2,1001,8700,,,,1,0,9000,2,0,900,
100,9,0,1,8,6000000,1,10,3000000,,,,1,0,9000,2,0,900,
101,9,1,1,8,6000000,1,10,3000000,,,,1,0,9100,2,0,910,
102,9,2,1,8,6000000,1,10,3000000,,,,1,0,9200,2,0,920,
103,9,3,1,8,6000000,1,10,3000000,,,,1,0,9300,2,0,930,
104,9,4,1,8,6000000,1,10,3000000,,,,1,0,9400,2,0,940,
105,9,5,1,8,6000000,1,10,3000000,,,,1,0,9500,2,0,950,
106,9,6,1,8,6000000,1,10,3000000,,,,1,0,9600,2,0,960,
107,9,7,1,8,6000000,1,10,3000000,,,,1,0,9700,2,0,970,
108,9,8,1,8,6000000,1,10,3000000,,,,1,0,9800,2,0,980,
109,9,9,1,8,6000000,1,10,3000000,,,,1,0,9900,2,0,990,
110,9,10,2,1257,10,2,1001,9000,,,,1,0,10000,2,0,1000,
111,10,0,1,8,6200000,1,10,3100000,,,,1,0,10000,2,0,1000,
112,10,1,1,8,6200000,1,10,3100000,,,,1,0,10100,2,0,1010,
113,10,2,1,8,6200000,1,10,3100000,,,,1,0,10200,2,0,1020,
114,10,3,1,8,6200000,1,10,3100000,,,,1,0,10300,2,0,1030,
115,10,4,1,8,6200000,1,10,3100000,,,,1,0,10400,2,0,1040,
116,10,5,1,8,6200000,1,10,3100000,,,,1,0,10500,2,0,1050,
117,10,6,1,8,6200000,1,10,3100000,,,,1,0,10600,2,0,1060,
118,10,7,1,8,6200000,1,10,3100000,,,,1,0,10700,2,0,1070,
119,10,8,1,8,6200000,1,10,3100000,,,,1,0,10800,2,0,1080,
120,10,9,1,8,6200000,1,10,3100000,,,,1,0,10900,2,0,1090,
121,10,10,2,1257,10,2,1001,9300,,,,1,0,11000,2,0,1100,
122,11,0,1,8,6400000,1,10,3200000,,,,1,0,11000,2,0,1100,
123,11,1,1,8,6400000,1,10,3200000,,,,1,0,11100,2,0,1110,
124,11,2,1,8,6400000,1,10,3200000,,,,1,0,11200,2,0,1120,
125,11,3,1,8,6400000,1,10,3200000,,,,1,0,11300,2,0,1130,
126,11,4,1,8,6400000,1,10,3200000,,,,1,0,11400,2,0,1140,
127,11,5,1,8,6400000,1,10,3200000,,,,1,0,11500,2,0,1150,
128,11,6,1,8,6400000,1,10,3200000,,,,1,0,11600,2,0,1160,
129,11,7,1,8,6400000,1,10,3200000,,,,1,0,11700,2,0,1170,
130,11,8,1,8,6400000,1,10,3200000,,,,1,0,11800,2,0,1180,
131,11,9,1,8,6400000,1,10,3200000,,,,1,0,11900,2,0,1190,
132,11,10,2,1257,10,2,1001,9600,,,,1,0,12000,2,0,1200,
133,12,0,1,8,6600000,1,10,3300000,,,,1,0,12000,2,0,1200,
134,12,1,1,8,6600000,1,10,3300000,,,,1,0,12100,2,0,1210,
135,12,2,1,8,6600000,1,10,3300000,,,,1,0,12200,2,0,1220,
136,12,3,1,8,6600000,1,10,3300000,,,,1,0,12300,2,0,1230,
137,12,4,1,8,6600000,1,10,3300000,,,,1,0,12400,2,0,1240,
138,12,5,1,8,6600000,1,10,3300000,,,,1,0,12500,2,0,1250,
139,12,6,1,8,6600000,1,10,3300000,,,,1,0,12600,2,0,1260,
140,12,7,1,8,6600000,1,10,3300000,,,,1,0,12700,2,0,1270,
141,12,8,1,8,6600000,1,10,3300000,,,,1,0,12800,2,0,1280,
142,12,9,1,8,6600000,1,10,3300000,,,,1,0,12900,2,0,1290,
143,12,10,2,1257,10,2,1001,9900,,,,1,0,13000,2,0,1300,
144,13,0,1,8,6800000,1,10,3400000,,,,1,0,13000,2,0,1300,
145,13,1,1,8,6800000,1,10,3400000,,,,1,0,13100,2,0,1310,
146,13,2,1,8,6800000,1,10,3400000,,,,1,0,13200,2,0,1320,
147,13,3,1,8,6800000,1,10,3400000,,,,1,0,13300,2,0,1330,
148,13,4,1,8,6800000,1,10,3400000,,,,1,0,13400,2,0,1340,
149,13,5,1,8,6800000,1,10,3400000,,,,1,0,13500,2,0,1350,
150,13,6,1,8,6800000,1,10,3400000,,,,1,0,13600,2,0,1360,
151,13,7,1,8,6800000,1,10,3400000,,,,1,0,13700,2,0,1370,
152,13,8,1,8,6800000,1,10,3400000,,,,1,0,13800,2,0,1380,
153,13,9,1,8,6800000,1,10,3400000,,,,1,0,13900,2,0,1390,
154,13,10,2,1257,10,2,1001,10000,,,,1,0,14000,2,0,1400,
155,14,0,1,8,7000000,1,10,3500000,,,,1,0,14000,2,0,1400,
156,14,1,1,8,7000000,1,10,3500000,,,,1,0,14100,2,0,1410,
157,14,2,1,8,7000000,1,10,3500000,,,,1,0,14200,2,0,1420,
158,14,3,1,8,7000000,1,10,3500000,,,,1,0,14300,2,0,1430,
159,14,4,1,8,7000000,1,10,3500000,,,,1,0,14400,2,0,1440,
160,14,5,1,8,7000000,1,10,3500000,,,,1,0,14500,2,0,1450,
161,14,6,1,8,7000000,1,10,3500000,,,,1,0,14600,2,0,1460,
162,14,7,1,8,7000000,1,10,3500000,,,,1,0,14700,2,0,1470,
163,14,8,1,8,7000000,1,10,3500000,,,,1,0,14800,2,0,1480,
164,14,9,1,8,7000000,1,10,3500000,,,,1,0,14900,2,0,1490,
165,14,10,2,1257,10,2,1001,10000,,,,1,0,15000,2,0,1500,
166,15,0,1,8,7200000,1,10,3600000,,,,1,0,15000,2,0,1500,
167,15,1,1,8,7200000,1,10,3600000,,,,1,0,15100,2,0,1510,
168,15,2,1,8,7200000,1,10,3600000,,,,1,0,15200,2,0,1520,
169,15,3,1,8,7200000,1,10,3600000,,,,1,0,15300,2,0,1530,
170,15,4,1,8,7200000,1,10,3600000,,,,1,0,15400,2,0,1540,
171,15,5,1,8,7200000,1,10,3600000,,,,1,0,15500,2,0,1550,
172,15,6,1,8,7200000,1,10,3600000,,,,1,0,15600,2,0,1560,
173,15,7,1,8,7200000,1,10,3600000,,,,1,0,15700,2,0,1570,
174,15,8,1,8,7200000,1,10,3600000,,,,1,0,15800,2,0,1580,
175,15,9,1,8,7200000,1,10,3600000,,,,1,0,15900,2,0,1590,
176,15,10,2,1257,10,2,1001,11000,,,,1,0,16000,2,0,1600,
177,16,0,1,8,7400000,1,10,3700000,,,,1,0,16000,2,0,1600,
178,16,1,1,8,7400000,1,10,3700000,,,,1,0,16100,2,0,1610,
179,16,2,1,8,7400000,1,10,3700000,,,,1,0,16200,2,0,1620,
180,16,3,1,8,7400000,1,10,3700000,,,,1,0,16300,2,0,1630,
181,16,4,1,8,7400000,1,10,3700000,,,,1,0,16400,2,0,1640,
182,16,5,1,8,7400000,1,10,3700000,,,,1,0,16500,2,0,1650,
183,16,6,1,8,7400000,1,10,3700000,,,,1,0,16600,2,0,1660,
184,16,7,1,8,7400000,1,10,3700000,,,,1,0,16700,2,0,1670,
185,16,8,1,8,7400000,1,10,3700000,,,,1,0,16800,2,0,1680,
186,16,9,1,8,7400000,1,10,3700000,,,,1,0,16900,2,0,1690,
187,16,10,2,1257,10,2,1001,11000,,,,1,0,17000,2,0,1700,
188,17,0,1,8,7600000,1,10,3800000,,,,1,0,17000,2,0,1700,
189,17,1,1,8,7600000,1,10,3800000,,,,1,0,17100,2,0,1710,
190,17,2,1,8,7600000,1,10,3800000,,,,1,0,17200,2,0,1720,
191,17,3,1,8,7600000,1,10,3800000,,,,1,0,17300,2,0,1730,
192,17,4,1,8,7600000,1,10,3800000,,,,1,0,17400,2,0,1740,
193,17,5,1,8,7600000,1,10,3800000,,,,1,0,17500,2,0,1750,
194,17,6,1,8,7600000,1,10,3800000,,,,1,0,17600,2,0,1760,
195,17,7,1,8,7600000,1,10,3800000,,,,1,0,17700,2,0,1770,
196,17,8,1,8,7600000,1,10,3800000,,,,1,0,17800,2,0,1780,
197,17,9,1,8,7600000,1,10,3800000,,,,1,0,17900,2,0,1790,
198,17,10,2,1257,10,2,1001,11000,,,,1,0,18000,2,0,1800,
199,18,0,1,8,7800000,1,10,3900000,,,,1,0,18000,2,0,1800,
200,18,1,1,8,7800000,1,10,3900000,,,,1,0,18100,2,0,1810,
201,18,2,1,8,7800000,1,10,3900000,,,,1,0,18200,2,0,1820,
202,18,3,1,8,7800000,1,10,3900000,,,,1,0,18300,2,0,1830,
203,18,4,1,8,7800000,1,10,3900000,,,,1,0,18400,2,0,1840,
204,18,5,1,8,7800000,1,10,3900000,,,,1,0,18500,2,0,1850,
205,18,6,1,8,7800000,1,10,3900000,,,,1,0,18600,2,0,1860,
206,18,7,1,8,7800000,1,10,3900000,,,,1,0,18700,2,0,1870,
207,18,8,1,8,7800000,1,10,3900000,,,,1,0,18800,2,0,1880,
208,18,9,1,8,7800000,1,10,3900000,,,,1,0,18900,2,0,1890,
209,18,10,2,1257,10,2,1001,12000,,,,1,0,19000,2,0,1900,
210,19,0,1,8,8000000,1,10,4000000,,,,1,0,19000,2,0,1900,
211,19,1,1,8,8000000,1,10,4000000,,,,1,0,19100,2,0,1910,
212,19,2,1,8,8000000,1,10,4000000,,,,1,0,19200,2,0,1920,
213,19,3,1,8,8000000,1,10,4000000,,,,1,0,19300,2,0,1930,
214,19,4,1,8,8000000,1,10,4000000,,,,1,0,19400,2,0,1940,
215,19,5,1,8,8000000,1,10,4000000,,,,1,0,19500,2,0,1950,
216,19,6,1,8,8000000,1,10,4000000,,,,1,0,19600,2,0,1960,
217,19,7,1,8,8000000,1,10,4000000,,,,1,0,19700,2,0,1970,
218,19,8,1,8,8000000,1,10,4000000,,,,1,0,19800,2,0,1980,
219,19,9,1,8,8000000,1,10,4000000,,,,1,0,19900,2,0,1990,
220,19,10,2,1257,10,2,1001,12000,,,,1,0,20000,2,0,2000,
221,20,0,1,8,8200000,1,10,4100000,,,,1,0,20000,2,0,2000,
222,20,1,1,8,8200000,1,10,4100000,,,,1,0,20100,2,0,2010,
223,20,2,1,8,8200000,1,10,4100000,,,,1,0,20200,2,0,2020,
224,20,3,1,8,8200000,1,10,4100000,,,,1,0,20300,2,0,2030,
225,20,4,1,8,8200000,1,10,4100000,,,,1,0,20400,2,0,2040,
226,20,5,1,8,8200000,1,10,4100000,,,,1,0,20500,2,0,2050,
227,20,6,1,8,8200000,1,10,4100000,,,,1,0,20600,2,0,2060,
228,20,7,1,8,8200000,1,10,4100000,,,,1,0,20700,2,0,2070,
229,20,8,1,8,8200000,1,10,4100000,,,,1,0,20800,2,0,2080,
230,20,9,1,8,8200000,1,10,4100000,,,,1,0,20900,2,0,2090,
231,20,10,2,1257,10,2,1001,12000,,,,1,0,21000,2,0,2100,
232,21,0,1,8,8400000,1,10,4200000,,,,1,0,21000,2,0,2100,
233,21,1,1,8,8400000,1,10,4200000,,,,1,0,21100,2,0,2110,
234,21,2,1,8,8400000,1,10,4200000,,,,1,0,21200,2,0,2120,
235,21,3,1,8,8400000,1,10,4200000,,,,1,0,21300,2,0,2130,
236,21,4,1,8,8400000,1,10,4200000,,,,1,0,21400,2,0,2140,
237,21,5,1,8,8400000,1,10,4200000,,,,1,0,21500,2,0,2150,
238,21,6,1,8,8400000,1,10,4200000,,,,1,0,21600,2,0,2160,
239,21,7,1,8,8400000,1,10,4200000,,,,1,0,21700,2,0,2170,
240,21,8,1,8,8400000,1,10,4200000,,,,1,0,21800,2,0,2180,
241,21,9,1,8,8400000,1,10,4200000,,,,1,0,21900,2,0,2190,
242,21,10,2,1257,10,2,1001,13000,,,,1,0,22000,2,0,2200,
243,22,0,1,8,8600000,1,10,4300000,,,,1,0,22000,2,0,2200,
244,22,1,1,8,8600000,1,10,4300000,,,,1,0,22100,2,0,2210,
245,22,2,1,8,8600000,1,10,4300000,,,,1,0,22200,2,0,2220,
246,22,3,1,8,8600000,1,10,4300000,,,,1,0,22300,2,0,2230,
247,22,4,1,8,8600000,1,10,4300000,,,,1,0,22400,2,0,2240,
248,22,5,1,8,8600000,1,10,4300000,,,,1,0,22500,2,0,2250,
249,22,6,1,8,8600000,1,10,4300000,,,,1,0,22600,2,0,2260,
250,22,7,1,8,8600000,1,10,4300000,,,,1,0,22700,2,0,2270,
251,22,8,1,8,8600000,1,10,4300000,,,,1,0,22800,2,0,2280,
252,22,9,1,8,8600000,1,10,4300000,,,,1,0,22900,2,0,2290,
253,22,10,2,1257,10,2,1001,13000,,,,1,0,23000,2,0,2300,
254,23,0,1,8,8800000,1,10,4400000,,,,1,0,23000,2,0,2300,
255,23,1,1,8,8800000,1,10,4400000,,,,1,0,23100,2,0,2310,
256,23,2,1,8,8800000,1,10,4400000,,,,1,0,23200,2,0,2320,
257,23,3,1,8,8800000,1,10,4400000,,,,1,0,23300,2,0,2330,
258,23,4,1,8,8800000,1,10,4400000,,,,1,0,23400,2,0,2340,
259,23,5,1,8,8800000,1,10,4400000,,,,1,0,23500,2,0,2350,
260,23,6,1,8,8800000,1,10,4400000,,,,1,0,23600,2,0,2360,
261,23,7,1,8,8800000,1,10,4400000,,,,1,0,23700,2,0,2370,
262,23,8,1,8,8800000,1,10,4400000,,,,1,0,23800,2,0,2380,
263,23,9,1,8,8800000,1,10,4400000,,,,1,0,23900,2,0,2390,
264,23,10,2,1257,10,2,1001,13000,,,,1,0,24000,2,0,2400,
265,24,0,1,8,9000000,1,10,4500000,,,,1,0,24000,2,0,2400,
266,24,1,1,8,9000000,1,10,4500000,,,,1,0,24100,2,0,2410,
267,24,2,1,8,9000000,1,10,4500000,,,,1,0,24200,2,0,2420,
268,24,3,1,8,9000000,1,10,4500000,,,,1,0,24300,2,0,2430,
269,24,4,1,8,9000000,1,10,4500000,,,,1,0,24400,2,0,2440,
270,24,5,1,8,9000000,1,10,4500000,,,,1,0,24500,2,0,2450,
271,24,6,1,8,9000000,1,10,4500000,,,,1,0,24600,2,0,2460,
272,24,7,1,8,9000000,1,10,4500000,,,,1,0,24700,2,0,2470,
273,24,8,1,8,9000000,1,10,4500000,,,,1,0,24800,2,0,2480,
274,24,9,1,8,9000000,1,10,4500000,,,,1,0,24900,2,0,2490,
275,24,10,2,1257,10,2,1001,14000,,,,1,0,25000,2,0,2500,
276,25,0,1,8,9200000,1,10,4600000,,,,1,0,25000,2,0,2500,
277,25,1,1,8,9200000,1,10,4600000,,,,1,0,25100,2,0,2510,
278,25,2,1,8,9200000,1,10,4600000,,,,1,0,25200,2,0,2520,
279,25,3,1,8,9200000,1,10,4600000,,,,1,0,25300,2,0,2530,
280,25,4,1,8,9200000,1,10,4600000,,,,1,0,25400,2,0,2540,
281,25,5,1,8,9200000,1,10,4600000,,,,1,0,25500,2,0,2550,
282,25,6,1,8,9200000,1,10,4600000,,,,1,0,25600,2,0,2560,
283,25,7,1,8,9200000,1,10,4600000,,,,1,0,25700,2,0,2570,
284,25,8,1,8,9200000,1,10,4600000,,,,1,0,25800,2,0,2580,
285,25,9,1,8,9200000,1,10,4600000,,,,1,0,25900,2,0,2590,
286,25,10,2,1257,10,2,1001,14000,,,,1,0,26000,2,0,2600,
287,26,0,1,8,9400000,1,10,4700000,,,,1,0,26000,2,0,2600,
288,26,1,1,8,9400000,1,10,4700000,,,,1,0,26100,2,0,2610,
289,26,2,1,8,9400000,1,10,4700000,,,,1,0,26200,2,0,2620,
290,26,3,1,8,9400000,1,10,4700000,,,,1,0,26300,2,0,2630,
291,26,4,1,8,9400000,1,10,4700000,,,,1,0,26400,2,0,2640,
292,26,5,1,8,9400000,1,10,4700000,,,,1,0,26500,2,0,2650,
293,26,6,1,8,9400000,1,10,4700000,,,,1,0,26600,2,0,2660,
294,26,7,1,8,9400000,1,10,4700000,,,,1,0,26700,2,0,2670,
295,26,8,1,8,9400000,1,10,4700000,,,,1,0,26800,2,0,2680,
296,26,9,1,8,9400000,1,10,4700000,,,,1,0,26900,2,0,2690,
297,26,10,2,1257,10,2,1001,14000,,,,1,0,27000,2,0,2700,
298,27,0,1,8,9600000,1,10,4800000,,,,1,0,27000,2,0,2700,
299,27,1,1,8,9600000,1,10,4800000,,,,1,0,27100,2,0,2710,
300,27,2,1,8,9600000,1,10,4800000,,,,1,0,27200,2,0,2720,
301,27,3,1,8,9600000,1,10,4800000,,,,1,0,27300,2,0,2730,
302,27,4,1,8,9600000,1,10,4800000,,,,1,0,27400,2,0,2740,
303,27,5,1,8,9600000,1,10,4800000,,,,1,0,27500,2,0,2750,
304,27,6,1,8,9600000,1,10,4800000,,,,1,0,27600,2,0,2760,
305,27,7,1,8,9600000,1,10,4800000,,,,1,0,27700,2,0,2770,
306,27,8,1,8,9600000,1,10,4800000,,,,1,0,27800,2,0,2780,
307,27,9,1,8,9600000,1,10,4800000,,,,1,0,27900,2,0,2790,
308,27,10,2,1257,10,2,1001,15000,,,,1,0,28000,2,0,2800,
309,28,0,1,8,9800000,1,10,4900000,,,,1,0,28000,2,0,2800,
310,28,1,1,8,9800000,1,10,4900000,,,,1,0,28100,2,0,2810,
311,28,2,1,8,9800000,1,10,4900000,,,,1,0,28200,2,0,2820,
312,28,3,1,8,9800000,1,10,4900000,,,,1,0,28300,2,0,2830,
313,28,4,1,8,9800000,1,10,4900000,,,,1,0,28400,2,0,2840,
314,28,5,1,8,9800000,1,10,4900000,,,,1,0,28500,2,0,2850,
315,28,6,1,8,9800000,1,10,4900000,,,,1,0,28600,2,0,2860,
316,28,7,1,8,9800000,1,10,4900000,,,,1,0,28700,2,0,2870,
317,28,8,1,8,9800000,1,10,4900000,,,,1,0,28800,2,0,2880,
318,28,9,1,8,9800000,1,10,4900000,,,,1,0,28900,2,0,2890,
319,28,10,2,1257,10,2,1001,15000,,,,1,0,29000,2,0,2900,
320,29,0,1,8,10000000,1,10,5000000,,,,1,0,29000,2,0,2900,
321,29,1,1,8,10000000,1,10,5000000,,,,1,0,29100,2,0,2910,
322,29,2,1,8,10000000,1,10,5000000,,,,1,0,29200,2,0,2920,
323,29,3,1,8,10000000,1,10,5000000,,,,1,0,29300,2,0,2930,
324,29,4,1,8,10000000,1,10,5000000,,,,1,0,29400,2,0,2940,
325,29,5,1,8,10000000,1,10,5000000,,,,1,0,29500,2,0,2950,
326,29,6,1,8,10000000,1,10,5000000,,,,1,0,29600,2,0,2960,
327,29,7,1,8,10000000,1,10,5000000,,,,1,0,29700,2,0,2970,
328,29,8,1,8,10000000,1,10,5000000,,,,1,0,29800,2,0,2980,
329,29,9,1,8,10000000,1,10,5000000,,,,1,0,29900,2,0,2990,
330,29,10,2,1257,10,2,1001,15000,,,,1,0,30000,2,0,3000,
331,30,0,1,8,10200000,1,10,5100000,,,,1,0,30000,2,0,3000,
332,30,1,1,8,10200000,1,10,5100000,,,,1,0,30100,2,0,3010,
333,30,2,1,8,10200000,1,10,5100000,,,,1,0,30200,2,0,3020,
334,30,3,1,8,10200000,1,10,5100000,,,,1,0,30300,2,0,3030,
335,30,4,1,8,10200000,1,10,5100000,,,,1,0,30400,2,0,3040,
336,30,5,1,8,10200000,1,10,5100000,,,,1,0,30500,2,0,3050,
337,30,6,1,8,10200000,1,10,5100000,,,,1,0,30600,2,0,3060,
338,30,7,1,8,10200000,1,10,5100000,,,,1,0,30700,2,0,3070,
339,30,8,1,8,10200000,1,10,5100000,,,,1,0,30800,2,0,3080,
340,30,9,1,8,10200000,1,10,5100000,,,,1,0,30900,2,0,3090,
341,30,10,2,1257,10,2,1001,16000,,,,1,0,31000,2,0,3100,
342,31,0,1,8,10400000,1,10,5200000,,,,1,0,31000,2,0,3100,
343,31,1,1,8,10400000,1,10,5200000,,,,1,0,31100,2,0,3110,
344,31,2,1,8,10400000,1,10,5200000,,,,1,0,31200,2,0,3120,
345,31,3,1,8,10400000,1,10,5200000,,,,1,0,31300,2,0,3130,
