id,heroId,level,skills-v0-1,skills-v1-1,skills-v2-1,skills-v0-2,skills-v1-2,skills-v2-2,skills-v0-3,skills-v1-3,skills-v2-3,skills-v0-4,skills-v1-4,skills-v2-4,skills-v0-5,skills-v1-5,skills-v2-5,skills-v0-6,skills-v1-6,skills-v2-6,skills-v0-7,skills-v1-7,skills-v2-7,skills-v0-8,skills-v1-8,skills-v2-8,skills-v0-9,skills-v1-9,skills-v2-9,
215105,21510,5,211015,212015,213015,221015,222015,223015,231015,232015,233015,21510415,21510425,21510435,251015,252015,253015,261015,262015,263035,271015,272035,273035,21510815,21510825,21510835,281025,282015,283035,
215121,21512,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,21512411,21512421,21512431,251011,252011,253021,261011,262021,263031,271031,272031,273011,21512811,21512821,21512831,281021,282021,283031,
215122,21512,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,21512412,21512422,21512432,251012,252012,253022,261012,262022,263032,271032,272032,273012,21512812,21512822,21512832,281022,282022,283032,
215123,21512,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,21512413,21512423,21512433,251013,252013,253023,261013,262023,263033,271033,272033,273013,21512813,21512823,21512833,281023,282023,283033,
215124,21512,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,21512414,21512424,21512434,251014,252014,253024,261014,262024,263034,271034,272034,273014,21512814,21512824,21512834,281024,282024,283034,
215125,21512,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,21512415,21512425,21512435,251015,252015,253025,261015,262025,263035,271035,272035,273015,21512815,21512825,21512835,281025,282025,283035,
215151,21515,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,21515411,21515421,21515431,251011,252011,253021,261011,262021,263031,271031,272031,273011,21515811,21515821,21515831,281031,282021,283031,
215152,21515,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,21515412,21515422,21515432,251012,252012,253022,261012,262022,263032,271032,272032,273012,21515812,21515822,21515832,281032,282022,283032,
215153,21515,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,21515413,21515423,21515433,251013,252013,253023,261013,262023,263033,271033,272033,273013,21515813,21515823,21515833,281033,282023,283033,
215154,21515,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,21515414,21515424,21515434,251014,252014,253024,261014,262024,263034,271034,272034,273014,21515814,21515824,21515834,281034,282024,283034,
215155,21515,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,21515415,21515425,21515435,251015,252015,253025,261015,262025,263035,271035,272035,273015,21515815,21515825,21515835,281035,282025,283035,
215150011,21515001,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,21515411,21515421,21515431,251011,252011,253021,261011,262021,263031,271031,272031,273011,21515841,21515821,21515831,281031,282021,283031,
215150012,21515001,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,21515412,21515422,21515432,251012,252012,253022,261012,262022,263032,271032,272032,273012,21515842,21515822,21515832,281032,282022,283032,
215150013,21515001,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,21515413,21515423,21515433,251013,252013,253023,261013,262023,263033,271033,272033,273013,21515843,21515823,21515833,281033,282023,283033,
215150014,21515001,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,21515414,21515424,21515434,251014,252014,253024,261014,262024,263034,271034,272034,273014,21515844,21515824,21515834,281034,282024,283034,
215150015,21515001,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,21515415,21515425,21515435,251015,252015,253025,261015,262025,263035,271035,272035,273015,21515845,21515825,21515835,281035,282025,283035,
225011,22501,1,211011,212011,213011,221011,222011,223011,231011,232011,233011,22501411,22501421,22501431,251011,252011,253011,261021,262031,263021,271031,272021,273011,22501811,22501821,22501831,281031,282021,283031,
225012,22501,2,211012,212012,213012,221012,222012,223012,231012,232012,233012,22501412,22501422,22501432,251012,252012,253012,261022,262032,263022,271032,272022,273012,22501812,22501822,22501832,281032,282022,283032,
225013,22501,3,211013,212013,213013,221013,222013,223013,231013,232013,233013,22501413,22501423,22501433,251013,252013,253013,261023,262033,263023,271033,272023,273013,22501813,22501823,22501833,281033,282023,283033,
225014,22501,4,211014,212014,213014,221014,222014,223014,231014,232014,233014,22501414,22501424,22501434,251014,252014,253014,261024,262034,263024,271034,272024,273014,22501814,22501824,22501834,281034,282024,283034,
225015,22501,5,211015,212015,213015,221015,222015,223015,231015,232015,233015,22501415,22501425,22501435,251015,252015,253015,261025,262035,263025,271035,272025,273015,22501815,22501825,22501835,281035,282025,283035,
225021,22502,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,22502411,22502421,22502431,251011,252011,253021,261011,262011,263031,271031,272031,273031,22502811,22502821,22502831,281011,282011,283031,
225022,22502,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,22502412,22502422,22502432,251012,252012,253022,261012,262012,263032,271032,272032,273032,22502812,22502822,22502832,281012,282012,283032,
225023,22502,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,22502413,22502423,22502433,251013,252013,253023,261013,262013,263033,271033,272033,273033,22502813,22502823,22502833,281013,282013,283033,
225024,22502,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,22502414,22502424,22502434,251014,252014,253024,261014,262014,263034,271034,272034,273034,22502814,22502824,22502834,281014,282014,283034,
225025,22502,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,22502415,22502425,22502435,251015,252015,253025,261015,262015,263035,271035,272035,273035,22502815,22502825,22502835,281015,282015,283035,
225041,22504,1,211011,212011,213011,221011,222011,223011,231011,232021,233021,22504411,22504421,22504431,251011,252011,253021,261011,262031,263031,271021,272021,273011,22504811,22504821,22504831,281021,282021,283031,
225042,22504,2,211012,212012,213012,221012,222012,223012,231012,232022,233022,22504412,22504422,22504432,251012,252012,253022,261012,262032,263032,271022,272022,273012,22504812,22504822,22504832,281022,282022,283032,
225043,22504,3,211013,212013,213013,221013,222013,223013,231013,232023,233023,22504413,22504423,22504433,251013,252013,253023,261013,262033,263033,271023,272023,273013,22504813,22504823,22504833,281023,282023,283033,
225044,22504,4,211014,212014,213014,221014,222014,223014,231014,232024,233024,22504414,22504424,22504434,251014,252014,253024,261014,262034,263034,271024,272024,273014,22504814,22504824,22504834,281024,282024,283034,
225045,22504,5,211015,212015,213015,221015,222015,223015,231015,232025,233025,22504415,22504425,22504435,251015,252015,253025,261015,262035,263035,271025,272025,273015,22504815,22504825,22504835,281025,282025,283035,
225051,22505,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,22505411,22505421,22505431,251011,252011,253021,261011,262011,263031,271031,272031,273031,22505811,22505821,22505831,281011,282021,283031,
225052,22505,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,22505412,22505422,22505432,251012,252012,253022,261012,262012,263032,271032,272032,273032,22505812,22505822,22505832,281012,282022,283032,
225053,22505,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,22505413,22505423,22505433,251013,252013,253023,261013,262013,263033,271033,272033,273033,22505813,22505823,22505833,281013,282023,283033,
225054,22505,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,22505414,22505424,22505434,251014,252014,253024,261014,262014,263034,271034,272034,273034,22505814,22505824,22505834,281014,282024,283034,
225055,22505,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,22505415,22505425,22505435,251015,252015,253025,261015,262015,263035,271035,272035,273035,22505815,22505825,22505835,281015,282025,283035,
225071,22507,1,211011,212011,213011,221011,222011,223011,231011,232011,233021,22507411,22507421,22507431,251011,252011,253021,261011,262031,263031,271011,272011,273031,22507811,22507821,22507831,281031,282031,283021,
225072,22507,2,211012,212012,213012,221012,222012,223012,231012,232012,233022,22507412,22507422,22507432,251012,252012,253022,261012,262032,263032,271012,272012,273032,22507812,22507822,22507832,281032,282032,283022,
225073,22507,3,211013,212013,213013,221013,222013,223013,231013,232013,233023,22507413,22507423,22507433,251013,252013,253023,261013,262033,263033,271013,272013,273033,22507813,22507823,22507833,281033,282033,283023,
225074,22507,4,211014,212014,213014,221014,222014,223014,231014,232014,233024,22507414,22507424,22507434,251014,252014,253024,261014,262034,263034,271014,272014,273034,22507814,22507824,22507834,281034,282034,283024,
225075,22507,5,211015,212015,213015,221015,222015,223015,231015,232015,233025,22507415,22507425,22507435,251015,252015,253025,261015,262035,263035,271015,272015,273035,22507815,22507825,22507835,281035,282035,283025,
225081,22508,1,211011,212011,213011,221011,222011,223011,231021,232021,233011,22508411,22508421,22508431,251011,252011,253021,261011,262021,263031,271021,272031,273021,22508811,22508821,22508831,281021,282021,283031,
225082,22508,2,211012,212012,213012,221012,222012,223012,231022,232022,233012,22508412,22508422,22508432,251012,252012,253022,261012,262022,263032,271022,272032,273022,22508812,22508822,22508832,281022,282022,283032,
225083,22508,3,211013,212013,213013,221013,222013,223013,231023,232023,233013,22508413,22508423,22508433,251013,252013,253023,261013,262023,263033,271023,272033,273023,22508813,22508823,22508833,281023,282023,283033,
225084,22508,4,211014,212014,213014,221014,222014,223014,231024,232024,233014,22508414,22508424,22508434,251014,252014,253024,261014,262024,263034,271024,272034,273024,22508814,22508824,22508834,281024,282024,283034,
225085,22508,5,211015,212015,213015,221015,222015,223015,231025,232025,233015,22508415,22508425,22508435,251015,252015,253025,261015,262025,263035,271025,272035,273025,22508815,22508825,22508835,281025,282025,283035,
225091,22509,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,22509411,22509421,22509431,251011,252011,253021,261031,262011,263031,271031,272011,273031,22509811,22509821,22509831,281021,282021,283031,
225092,22509,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,22509412,22509422,22509432,251012,252012,253022,261032,262012,263032,271032,272012,273032,22509812,22509822,22509832,281022,282022,283032,
225093,22509,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,22509413,22509423,22509433,251013,252013,253023,261033,262013,263033,271033,272013,273033,22509813,22509823,22509833,281023,282023,283033,
225094,22509,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,22509414,22509424,22509434,251014,252014,253024,261034,262014,263034,271034,272014,273034,22509814,22509824,22509834,281024,282024,283034,
225095,22509,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,22509415,22509425,22509435,251015,252015,253025,261035,262015,263035,271035,272015,273035,22509815,22509825,22509835,281025,282025,283035,
225111,22511,1,211011,212011,213011,221011,222011,223011,231011,232021,233021,22511411,22511421,22511431,251011,252011,253021,261031,262031,263031,271031,272021,273021,22511811,22511821,22511831,281011,282021,283011,
225112,22511,2,211012,212012,213012,221012,222012,223012,231012,232022,233022,22511412,22511422,22511432,251012,252012,253022,261032,262032,263032,271032,272022,273022,22511812,22511822,22511832,281012,282022,283012,
225113,22511,3,211013,212013,213013,221013,222013,223013,231013,232023,233023,22511413,22511423,22511433,251013,252013,253023,261033,262033,263033,271033,272023,273023,22511813,22511823,22511833,281013,282023,283013,
225114,22511,4,211014,212014,213014,221014,222014,223014,231014,232024,233024,22511414,22511424,22511434,251014,252014,253024,261034,262034,263034,271034,272024,273024,22511814,22511824,22511834,281014,282024,283014,
225115,22511,5,211015,212015,213015,221015,222015,223015,231015,232025,233025,22511415,22511425,22511435,251015,252015,253025,261035,262035,263035,271035,272025,273025,22511815,22511825,22511835,281015,282025,283015,
225121,22512,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,22512411,22512421,22512431,251011,252011,253021,261021,262011,263011,271021,272021,273011,22512811,22512821,22512831,281031,282021,283031,
225122,22512,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,22512412,22512422,22512432,251012,252012,253022,261022,262012,263012,271022,272022,273012,22512812,22512822,22512832,281032,282022,283032,
225123,22512,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,22512413,22512423,22512433,251013,252013,253023,261023,262013,263013,271023,272023,273013,22512813,22512823,22512833,281033,282023,283033,
225124,22512,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,22512414,22512424,22512434,251014,252014,253024,261024,262014,263014,271024,272024,273014,22512814,22512824,22512834,281034,282024,283034,
225125,22512,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,22512415,22512425,22512435,251015,252015,253025,261025,262015,263015,271025,272025,273015,22512815,22512825,22512835,281035,282025,283035,
225151,22515,1,211011,212011,213011,221011,222011,223011,231021,232021,233021,22515411,22515421,22515431,251011,252011,253021,261011,262021,263031,271021,272031,273031,22515811,22515821,22515831,281011,282021,283011,
225152,22515,2,211012,212012,213012,221012,222012,223012,231022,232022,233022,22515412,22515422,22515432,251012,252012,253022,261012,262022,263032,271022,272032,273032,22515812,22515822,22515832,281012,282022,283012,
225153,22515,3,211013,212013,213013,221013,222013,223013,231023,232023,233023,22515413,22515423,22515433,251013,252013,253023,261013,262023,263033,271023,272033,273033,22515813,22515823,22515833,281013,282023,283013,
225154,22515,4,211014,212014,213014,221014,222014,223014,231024,232024,233024,22515414,22515424,22515434,251014,252014,253024,261014,262024,263034,271024,272034,273034,22515814,22515824,22515834,281014,282024,283014,
225155,22515,5,211015,212015,213015,221015,222015,223015,231025,232025,233025,22515415,22515425,22515435,251015,252015,253025,261015,262025,263035,271025,272035,273035,22515815,22515825,22515835,281015,282025,283015,
235021,23502,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,23502411,23502421,23502431,251011,252011,253021,261031,262011,263031,271031,272031,273031,23502811,23502821,23502831,281021,282011,283031,
235022,23502,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,23502412,23502422,23502432,251012,252012,253022,261032,262012,263032,271032,272032,273032,23502812,23502822,23502832,281022,282012,283032,
235023,23502,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,23502413,23502423,23502433,251013,252013,253023,261033,262013,263033,271033,272033,273033,23502813,23502823,23502833,281023,282013,283033,
235024,23502,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,23502414,23502424,23502434,251014,252014,253024,261034,262014,263034,271034,272034,273034,23502814,23502824,23502834,281024,282014,283034,
235025,23502,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,23502415,23502425,23502435,251015,252015,253025,261035,262015,263035,271035,272035,273035,23502815,23502825,23502835,281025,282015,283035,
235031,23503,1,211011,212011,213011,221011,222011,223011,231021,232021,233021,23503411,23503421,23503431,251011,252011,253021,261031,262021,263011,271011,272031,273031,23503811,23503821,23503831,281011,282031,283021,
235032,23503,2,211012,212012,213012,221012,222012,223012,231022,232022,233022,23503412,23503422,23503432,251012,252012,253022,261032,262022,263012,271012,272032,273032,23503812,23503822,23503832,281012,282032,283022,
235033,23503,3,211013,212013,213013,221013,222013,223013,231023,232023,233023,23503413,23503423,23503433,251013,252013,253023,261033,262023,263013,271013,272033,273033,23503813,23503823,23503833,281013,282033,283023,
235034,23503,4,211014,212014,213014,221014,222014,223014,231024,232024,233024,23503414,23503424,23503434,251014,252014,253024,261034,262024,263014,271014,272034,273034,23503814,23503824,23503834,281014,282034,283024,
235035,23503,5,211015,212015,213015,221015,222015,223015,231025,232025,233025,23503415,23503425,23503435,251015,252015,253025,261035,262025,263015,271015,272035,273035,23503815,23503825,23503835,281015,282035,283025,
235041,23504,1,211011,212011,213011,221011,222011,223011,231011,232011,233011,23504411,23504421,23504431,251011,252011,253011,261021,262011,263011,271021,272021,273021,23504811,23504821,23504831,281031,282021,283031,
235042,23504,2,211012,212012,213012,221012,222012,223012,231012,232012,233012,23504412,23504422,23504432,251012,252012,253012,261022,262012,263012,271022,272022,273022,23504812,23504822,23504832,281032,282022,283032,
235043,23504,3,211013,212013,213013,221013,222013,223013,231013,232013,233013,23504413,23504423,23504433,251013,252013,253013,261023,262013,263013,271023,272023,273023,23504813,23504823,23504833,281033,282023,283033,
235044,23504,4,211014,212014,213014,221014,222014,223014,231014,232014,233014,23504414,23504424,23504434,251014,252014,253014,261024,262014,263014,271024,272024,273024,23504814,23504824,23504834,281034,282024,283034,
235045,23504,5,211015,212015,213015,221015,222015,223015,231015,232015,233015,23504415,23504425,23504435,251015,252015,253015,261025,262015,263015,271025,272025,273025,23504815,23504825,23504835,281035,282025,283035,
235061,23506,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,23506411,23506421,23506431,251011,252011,253021,261031,262011,263031,271031,272031,273031,23506811,23506821,23506831,281021,282011,283031,
235062,23506,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,23506412,23506422,23506432,251012,252012,253022,261032,262012,263032,271032,272032,273032,23506812,23506822,23506832,281022,282012,283032,
235063,23506,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,23506413,23506423,23506433,251013,252013,253023,261033,262013,263033,271033,272033,273033,23506813,23506823,23506833,281023,282013,283033,
235064,23506,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,23506414,23506424,23506434,251014,252014,253024,261034,262014,263034,271034,272034,273034,23506814,23506824,23506834,281024,282014,283034,
235065,23506,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,23506415,23506425,23506435,251015,252015,253025,261035,262015,263035,271035,272035,273035,23506815,23506825,23506835,281025,282015,283035,
235071,23507,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,23507411,23507421,23507431,251011,252011,253021,261021,262021,263031,271031,272031,273021,23507811,23507821,23507831,281031,282021,283031,
235072,23507,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,23507412,23507422,23507432,251012,252012,253022,261022,262022,263032,271032,272032,273022,23507812,23507822,23507832,281032,282022,283032,
235073,23507,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,23507413,23507423,23507433,251013,252013,253023,261023,262023,263033,271033,272033,273023,23507813,23507823,23507833,281033,282023,283033,
235074,23507,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,23507414,23507424,23507434,251014,252014,253024,261024,262024,263034,271034,272034,273024,23507814,23507824,23507834,281034,282024,283034,
235075,23507,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,23507415,23507425,23507435,251015,252015,253025,261025,262025,263035,271035,272035,273025,23507815,23507825,23507835,281035,282025,283035,
235081,23508,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,23508411,23508421,23508431,251011,252011,253021,261031,262031,263031,271031,272031,273031,23508811,23508821,23508831,281011,282031,283011,
235082,23508,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,23508412,23508422,23508432,251012,252012,253022,261032,262032,263032,271032,272032,273032,23508812,23508822,23508832,281012,282032,283012,
235083,23508,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,23508413,23508423,23508433,251013,252013,253023,261033,262033,263033,271033,272033,273033,23508813,23508823,23508833,281013,282033,283013,
235084,23508,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,23508414,23508424,23508434,251014,252014,253024,261034,262034,263034,271034,272034,273034,23508814,23508824,23508834,281014,282034,283014,
235085,23508,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,23508415,23508425,23508435,251015,252015,253025,261035,262035,263035,271035,272035,273035,23508815,23508825,23508835,281015,282035,283015,
235101,23510,1,211011,212011,213011,221011,222011,223011,231011,232021,233021,23510411,23510421,23510431,251011,252011,253011,261021,262021,263011,271021,272021,273021,23510811,23510821,23510831,281031,282021,283011,
235102,23510,2,211012,212012,213012,221012,222012,223012,231012,232022,233022,23510412,23510422,23510432,251012,252012,253012,261022,262022,263012,271022,272022,273022,23510812,23510822,23510832,281032,282022,283012,
235103,23510,3,211013,212013,213013,221013,222013,223013,231013,232023,233023,23510413,23510423,23510433,251013,252013,253013,261023,262023,263013,271023,272023,273023,23510813,23510823,23510833,281033,282023,283013,
235104,23510,4,211014,212014,213014,221014,222014,223014,231014,232024,233024,23510414,23510424,23510434,251014,252014,253014,261024,262024,263014,271024,272024,273024,23510814,23510824,23510834,281034,282024,283014,
235105,23510,5,211015,212015,213015,221015,222015,223015,231015,232025,233025,23510415,23510425,23510435,251015,252015,253015,261025,262025,263015,271025,272025,273025,23510815,23510825,23510835,281035,282025,283015,
235111,23511,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,23511411,23511421,23511431,251011,252011,253021,261021,262011,263011,271021,272021,273011,23511811,23511821,23511831,281031,282021,283011,
235112,23511,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,23511412,23511422,23511432,251012,252012,253022,261022,262012,263012,271022,272022,273012,23511812,23511822,23511832,281032,282022,283012,
235113,23511,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,23511413,23511423,23511433,251013,252013,253023,261023,262013,263013,271023,272023,273013,23511813,23511823,23511833,281033,282023,283013,
235114,23511,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,23511414,23511424,23511434,251014,252014,253024,261024,262014,263014,271024,272024,273014,23511814,23511824,23511834,281034,282024,283014,
235115,23511,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,23511415,23511425,23511435,251015,252015,253025,261025,262015,263015,271025,272025,273015,23511815,23511825,23511835,281035,282025,283015,
245011,24501,1,211011,212011,213011,221011,222011,223011,231011,232011,233011,24501411,24501421,24501431,251011,252011,253021,261031,262021,263011,271021,272031,273031,24501811,24501821,24501831,281011,282011,283031,
245012,24501,2,211012,212012,213012,221012,222012,223012,231012,232012,233012,24501412,24501422,24501432,251012,252012,253022,261032,262022,263012,271022,272032,273032,24501812,24501822,24501832,281012,282012,283032,
245013,24501,3,211013,212013,213013,221013,222013,223013,231013,232013,233013,24501413,24501423,24501433,251013,252013,253023,261033,262023,263013,271023,272033,273033,24501813,24501823,24501833,281013,282013,283033,
245014,24501,4,211014,212014,213014,221014,222014,223014,231014,232014,233014,24501414,24501424,24501434,251014,252014,253024,261034,262024,263014,271024,272034,273034,24501814,24501824,24501834,281014,282014,283034,
245015,24501,5,211015,212015,213015,221015,222015,223015,231015,232015,233015,24501415,24501425,24501435,251015,252015,253025,261035,262025,263015,271025,272035,273035,24501815,24501825,24501835,281015,282015,283035,
245021,24502,1,211011,212011,213011,221011,222011,223011,231021,232021,233011,24502411,24502421,24502431,251011,252011,253021,261031,262031,263031,271031,272011,273021,24502811,24502821,24502831,281031,282021,283031,
