id,dateStart,dateEnd,stageStart,stageEnd,stage,itemGroup,belovedItemID,isShowRecord,isRecord,desc,rewards-type-1,rewards-id-1,rewards-value-1,showOdd1,realOdd,preposeNum,mustNum,isShowSurplus,surplusNum,isEffect,
1,1,5,1,5,1,1,1,1,1,s==8|银龙飞将(永久),2,13002,1,67,100,50,200,,,1,
178,22,32,6,9,2,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
179,22,32,6,9,2,1,7,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,1,
180,22,32,6,9,2,1,8,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,1,
181,22,32,6,9,2,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
182,22,32,6,9,2,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
183,22,32,6,9,2,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
184,22,32,6,9,2,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
185,22,32,6,9,2,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
186,22,32,6,9,2,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
187,22,32,6,9,2,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
188,22,32,6,9,2,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
189,22,32,6,9,2,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
190,22,32,6,9,2,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
191,22,32,6,9,2,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
192,22,32,6,9,2,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
193,22,32,6,9,2,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
194,22,32,6,9,2,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
195,22,32,6,9,2,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
196,22,32,6,9,2,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
197,33,43,1,5,1,1,1,1,1,s==8|北冥阎王(永久),2,13736,1,28,38,100,470,,,1,
198,33,43,1,5,1,1,2,1,1,s==8|戍卫北海(永久),2,13720,1,67,100,50,200,,,1,
199,33,43,1,5,1,1,3,1,1,s==8|灭世鬼神(永久),2,13716,1,28,38,100,470,,,1,
200,33,43,1,5,1,1,4,1,1,s==8|洛水仙子(永久),2,13711,1,67,100,50,200,,,1,
201,33,43,1,5,1,1,5,1,1,s==8|北望归乡(永久),2,13717,1,28,38,100,470,,,1,
202,33,43,1,5,1,1,6,1,1,s==7|神魔皮肤自选箱,2,6668,1,28,38,100,470,,,1,
203,33,43,1,5,1,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,71,111,50,200,,,1,
204,33,43,1,5,1,1,8,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
205,33,43,1,5,1,1,9,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,,
206,33,43,1,5,1,1,10,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,,
207,33,43,1,5,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
208,33,43,1,5,1,2,,,,s==4|史诗残章,2,1076,1,200,200,,,,,,
209,33,43,1,5,1,2,,,,s==3|天眼符,2,1073,1,200,200,,,,,,
210,33,43,1,5,1,2,,,,s==7|高阶副将军功令,2,1018,4,100,100,,,,,,
211,33,43,1,5,1,2,,,,s==3|淬火玉,2,1037,4,100,100,,,,,,
212,33,43,1,5,1,2,,,,s==3|打孔石,2,1036,5,530,530,,,,,,
213,33,43,1,5,1,2,,,,s==5|副将军功令,2,1017,6,500,500,,,,,,
214,33,43,1,5,1,3,,,,s==3|女儿红,2,1078,150,1000,1000,,,,,,
215,33,43,1,5,1,3,,,,s==5|宝石熔炼晶,2,1103,3,500,500,,,,,,
216,33,43,1,5,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
217,33,43,1,5,1,3,,,,s==5|神兵强化石,2,1027,20,800,800,,,,,,
218,33,43,1,5,1,3,,,,s==4|自选精粹,2,1077,40,660,660,,,,,,
219,33,43,1,5,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
220,33,43,1,5,1,3,,,,s==6|4星随机碎片,2,3002,30,800,800,,,,,,
221,33,43,1,5,1,3,,,,s==3|将印石,2,1006,300,800,800,,,,,,
222,33,43,1,5,1,3,,,,s==3|突破石,2,1001,300,800,800,,,,,,
223,33,43,1,5,1,3,,,,s==6|幸运铜钱福袋,2,2200,3,600,600,,,,,,
224,33,43,1,5,1,3,,,,s==6|幸运经验福袋,2,2201,3,600,600,,,,,,
225,33,43,6,9,2,1,1,1,1,s==8|北冥阎王(永久),2,13736,1,28,38,100,470,,,1,
226,33,43,6,9,2,1,2,1,1,s==8|天水麒麟(永久),2,13738,1,28,38,100,470,,,1,
227,33,43,6,9,2,1,3,1,1,s==6|神·张飞碎片,2,24516,50,500,50,1,40,,,1,
228,33,43,6,9,2,1,4,1,1,s==6|神·关羽碎片,2,24505,50,500,50,1,40,,,1,
229,33,43,6,9,2,1,5,1,1,s==6|魔·华佗碎片,2,25514,50,500,50,1,40,,,1,
230,33,43,6,9,2,1,6,1,1,s==7|魔·司马懿碎片,2,25516,50,500,50,1,40,,,1,
231,33,43,6,9,2,1,7,1,1,s==4|孙权碎片,2,23511,50,83,500,100,150,,,1,
232,33,43,6,9,2,1,8,1,1,s==4|刘备碎片,2,22512,50,83,500,100,150,,,1,
233,33,43,6,9,2,1,9,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,,
234,33,43,6,9,2,1,10,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,,
235,33,43,6,9,2,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
236,33,43,6,9,2,2,,,,s==5|将印锁定石,2,1105,1,200,200,,,,,,
237,33,43,6,9,2,2,,,,s==4|配饰之魂,2,1009,4,200,200,,,,,,
238,33,43,6,9,2,2,,,,s==5|配饰精炼石,2,1010,4,100,100,,,,,,
239,33,43,6,9,2,2,,,,s==4|转换神石,2,1052,20,1000,1000,,,,,,
240,33,43,6,9,2,2,,,,s==5|配饰升星石,2,1011,3,500,500,,,,,,
241,33,43,6,9,2,2,,,,s==3|淬火玉,2,1037,4,100,100,,,,,,
242,33,43,6,9,2,2,,,,s==3|打孔石,2,1036,5,530,530,,,,,,
243,33,43,6,9,2,2,,,,s==3|女儿红,2,1078,150,1000,1000,,,,,,
244,33,43,6,9,2,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
245,33,43,6,9,2,3,,,,s==5|神兵强化石,2,1027,20,800,800,,,,,,
246,33,43,6,9,2,3,,,,s==4|自选精粹,2,1077,40,660,660,,,,,,
247,33,43,6,9,2,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
248,33,43,6,9,2,3,,,,s==6|4星随机碎片,2,3002,30,800,800,,,,,,
249,33,43,6,9,2,3,,,,s==3|将印石,2,1006,300,800,800,,,,,,
250,33,43,6,9,2,3,,,,s==3|突破石,2,1001,300,800,800,,,,,,
251,33,43,6,9,2,3,,,,s==6|幸运铜钱福袋,2,2200,3,600,600,,,,,,
252,33,43,6,9,2,3,,,,s==6|幸运经验福袋,2,2201,3,600,600,,,,,,
253,44,54,1,5,1,1,1,1,1,s==8|北冥阎王(永久),2,13736,1,28,38,100,470,,,1,
254,44,54,1,5,1,1,2,1,1,s==8|洛水仙子(永久),2,13711,1,67,100,50,200,,,1,
255,44,54,1,5,1,1,3,1,1,s==8|北望归乡(永久),2,13717,1,28,38,100,470,,,1,
256,44,54,1,5,1,1,4,1,1,s==8|浴血屠夫(永久),2,13719,1,67,100,50,200,,,1,
257,44,54,1,5,1,1,5,1,1,s==8|墨染月颜(永久),2,13721,1,28,38,100,470,,,1,
258,44,54,1,5,1,1,6,1,1,s==7|神魔皮肤自选箱,2,6668,1,28,38,100,470,,,1,
259,44,54,1,5,1,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,71,111,50,200,,,1,
260,44,54,1,5,1,1,8,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,1,
261,44,54,1,5,1,1,9,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,,
262,44,54,1,5,1,1,10,1,1,s==8|完美星石自选石①,2,14701,3,167,333,30,80,1,8,,
263,44,54,1,5,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
264,44,54,1,5,1,2,,,,s==4|史诗残章,2,1076,1,200,200,,,,,,
265,44,54,1,5,1,2,,,,s==3|天眼符,2,1073,1,200,200,,,,,,
266,44,54,1,5,1,2,,,,s==7|高阶副将军功令,2,1018,4,100,100,,,,,,
267,44,54,1,5,1,2,,,,s==3|淬火玉,2,1037,4,100,100,,,,,,
268,44,54,1,5,1,2,,,,s==3|打孔石,2,1036,5,530,530,,,,,,
269,44,54,1,5,1,2,,,,s==5|副将军功令,2,1017,6,500,500,,,,,,
270,44,54,1,5,1,3,,,,s==3|女儿红,2,1078,150,1000,1000,,,,,,
271,44,54,1,5,1,3,,,,s==4|转换神石,2,1052,12,1000,1000,,,,,,
272,44,54,1,5,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
273,44,54,1,5,1,3,,,,s==5|神兵强化石,2,1027,20,800,800,,,,,,
274,44,54,1,5,1,3,,,,s==4|自选精粹,2,1077,40,660,660,,,,,,
275,44,54,1,5,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
276,44,54,1,5,1,3,,,,s==6|4星随机碎片,2,3002,30,800,800,,,,,,
277,44,54,1,5,1,3,,,,s==3|将印石,2,1006,300,800,800,,,,,,
278,44,54,1,5,1,3,,,,s==3|突破石,2,1001,300,800,800,,,,,,
279,44,54,1,5,1,3,,,,s==6|幸运铜钱福袋,2,2200,3,600,600,,,,,,
280,44,54,1,5,1,3,,,,s==6|幸运经验福袋,2,2201,3,600,600,,,,,,
281,44,54,6,9,2,1,1,1,1,s==8|北冥阎王(永久),2,13736,1,28,38,100,470,,,1,
282,44,54,6,9,2,1,2,1,1,s==8|天水麒麟(永久),2,13738,1,28,38,100,470,,,1,
283,44,54,6,9,2,1,3,1,1,s==6|神·张飞碎片,2,24516,50,500,50,1,40,,,1,
284,44,54,6,9,2,1,4,1,1,s==6|神·关羽碎片,2,24505,50,500,50,1,40,,,1,
