id,question,option1,option2,option3,option4,trueOption,pro,
11,s==81|Tằng đề xuất “Thập thắng thập bại” luận， anh niên tảo tử chi Tào Ngụy mưu sĩ thị?,s==7|Tuân Úc,s==9|Quách Gia,s==7|Tuân Du,s==9|Trình Dục,2,250,
12,s==102|Tam Quốc tam đại chiến役， trừ liễu Xích Bích chi chiến、 Di Lăng chi chiến ngoại， hựu hữu nhất trận thị?,s==17|Quan Độ chi chiến,s==12|Trận Hợp Phì,s==14|Trận Giới Đình,s==14|Trận Trường Sa,1,250,
13,s==120|Tào Tháo bệnh tán hậu， do thùy kế nhiệm liễu vương vị， tịnh tại hậu bức áp Hán Hiến Đế thiền nhượng， kiến lập Ngụy quốc?,s==7|Tào Duệ,s==8|Tào Thực,s==7|Tào Phi,s==9|Tào Ngang,3,250,
14,s==142|Tam Quốc hậu kỳ， độc lập chi trụ Tôn Ngô quân phòng trọng nhiệm， dữ Tấn quốc danh tướng Dương Hỗ hữu bất thiểu mỹ đàm chi danh tướng thị thùy?,s==6|Lỗ Túc,s==9|Lục Kháng,s==9|Chu Nhiên,s==9|Tôn Thiệu,2,250,
15,s==84|Đoản tạm hiệu lực ư Lưu Bị binh hạ， li nhiệm thời tẩu mã tiến Chu Khỏa chi nhân thị?,s==6|Từ Thứ,s==8|Giản Ung,s==7|Mị Trúc,s==11|Bác sĩ Nhân,1,250,
16,s==31|Ai là tác giả của Tam Quốc Chí?,s==8|Trần Thọ,s==13|La Quán Trung,s==11|Ngô Thừa Ân,s==13|Tào Tuyết Cần,1,250,
17,s==55|Bộ sử ký truyền thể toàn sử đầu tiên của nước ta là gì?,s==5|Sử Ký,s==17|Tư Trị Thông Giám,s==12|Tam Quốc chí,s==14|Nhị Thập Tứ Sử,1,250,
18,s==88|Tại Thục Hán hậu kỳ， Quyền lĩnh quân vụ， tổng lãm Bắc phạt chi Thục quốc danh tướng thị?,s==10|Khương Duy,s==13|Gia Cát Chiêm,s==8|Lưu Tuần,s==10|Tưởng Uyển,1,250,
19,s==53|Sima Yi với diện mạo sắc bén tàn nhẫn được gọi là gì?,s==15|Ưng Thị Lang Cố,s==19|Thiên sinh phản cốt,s==15|Đại phú đại quý,s==21|Thiên viên địa phương,1,250,
20,s==73|Tam Quốc Diễn Nghĩa trung， trận chém Nhan Lương Văn Sấu chi võ tướng thị?,s==7|Quan Vũ,s==11|Lưu Tam Đao,s==5|Lữ Bố,s==13|Hình Đạo Vinh,1,250,
21,s==151|NBA trung， tằng hữu đơn trường 81 phân， tam tiết 62 phân kỷ lục， tại 2009、 2010 niên suất đội đoạt đắc lưỡng liên quán chi truyền kỳ cựu tinh thị thùy?,s==11|Kobe Bryant,s==12|LeBron James,s==13|Stephen Curry,s==14|Michael Jordan,1,250,
22,s==69|Thỉnh vấn： nhân thể hữu 70% chi thành phần thị do thùy hợp thành chi?,s==4|Thủy,s==9|Coca Cola,s==6|Sprite,s==7|Trà sữa,1,250,
23,s==31|Thiết 2x+6=9+3x， cầu x chi trị。,s==2|-3,s==1|1,s==2|-1,s==1|0,1,50,
24,s==24|Bích La Xuân là loại gì?,s==8|Trà xanh,s==6|Trà đỏ,s==7|Trà mát,s==21|Tất cả đều không phải,1,200,
25,s==52|Truyền thuyết “Bát Đại Sơn Nhân” có bao nhiêu người?,s==7|1 người,s==7|4 người,s==7|8 người,s==7|3 người,1,200,
26,s==100|Đại niên sơ nhất thị ngã quốc Xuân Tiết thời kỳ， na mễ Xuân Tiết sở tại chi nông lịch nguyệt kỳ thị?,s==23|Tháng Giêng (tháng Một),s==9|Tháng Hai,s==8|Tháng Ba,s==14|Tháng Mười Hai,1,250,
27,s==111|Bạch Cư Dị sở viết Đại Lâm Tự Đào Hoa， kỳ trung nhất câu “Nhân gian tứ nguyệt phương phi tận”， hạ nhất câu thị?,s==35|Nguyện đạp vân thang thượng lâu đài,s==29|Đào hoa y cựu tiếu xuân phong,s==33|Nhất chi hồng hạnh xuất tường lai,s==29|Sơn tự đào hoa thủ thịnh khai,4,250,
28,s==77|Ai là tác giả của tác phẩm y học cổ đại nổi tiếng “Thương Hàn Tạp Bệnh Luận”?,s==17|Trương Trung Cảnh,s==6|Hoa Đà,s==8|Biện Tuệ,s==11|Lưu Tam Đao,1,250,
29,s==122|Tân Khởi Kỵ sở viết chi 《Hạ Tân Lang·Thậm Ỷ Ngô Thôi Ỷ》 kỳ trung nhất câu “Ngã kiến thanh sơn đa nhu mị”， hạ nhất câu thị?,s==30|Thanh sơn lục thủy cộng vi lân,s==29|Thanh sơn đắc khứ thả quy khứ,s==30|Thanh sơn kiến ngã ưng bất thị,s==35|Liệu thanh sơn kiến ngã ưng như thị,4,250,
30,s==53|Trong tứ đại mỹ nhân cổ đại ai là người thời Tây Hán?,s==16|Vương Chiêu Quân,s==13|Dương Quý Phi,s==11|Điêu Thuyền,s==7|Tây Thi,1,250,
31,s==49|Mặt đàn cổ cầm thường chọn loại gỗ gì để chế tác?,s==6|Gỗ Đào,s==6|Gỗ Mun,s==12|Gỗ A Mộc Mộc,s==12|Gỗ Đại Trống,1,250,
32,s==84|Thoại bản 《Bạch Xà Truyền》 trung， Bạch Tố Trân bị Pháp Hải trấn áp tại thùy tháp hạ?,s==14|Lôi Phong Tháp,s==11|Lôi Âm Tháp,s==13|Trấn Hồn Tháp,s==11|Tây Hồ Tháp,1,250,
33,s==85|Cổ đại đối phương thân thuộc chi xưng thị trung， “Niệm Từ” thị đối na vị chi xưng vị?,s==8|Phụ thân,s==8|Mẫu thân,s==9|Thúc thúc,s==5|Tỷ tỷ,2,300,
34,s==60|Trước sân tập bao nhiêu hạng mới được tranh vị thần võ điện?,s==12|200 hạng đầu,s==12|100 hạng đầu,s==12|150 hạng đầu,s==11|50 hạng đầu,1,250,
35,s==73|Hình tượng Bạch Tuyết Công Chúa xuất phát từ truyện cổ tích nào sớm nhất?,s==15|Truyện cổ Grimm,s==18|Truyện cổ Andersen,s==15|Truyện cổ Wilde,s==26|Truyện cổ Trịnh Viên Khiết,1,250,
36,s==83|《Tây Du Ký》 trung， Tôn Ngộ Không nhất cáng đẩu khả dĩ phiên xuất đa viễn khoảng ly?,s==21|Thập vạn bát thiên lý,s==20|Bát vạn bát thiên lý,s==20|Cửu vạn cửu thiên lý,s==22|Thập vạn thất thiên lý,1,250,
37,s==45|Tương truyền， Mán Đầu thị thùy phát minh chi?,s==13|Gia Cát Lượng,s==6|Từ Thứ,s==8|Tào Tháo,s==11|Lưu Tam Đao,1,250,
38,s==42|Cố Cung nước ta xây dựng vào thời đại nào?,s==10|Minh triều,s==11|Đường triều,s==10|Tống triều,s==9|Hán triều,1,250,
39,s==54|Nguyên nhân xây dựng Vạn Lý Trường Thành cổ đại là gì?,s==29|Phòng ngừa ngoại tộc xâm nhập,s==20|Quân vương hưởng lạc,s==26|Dân chúng tự phát xây dựng,s==23|Dùng để trượt cầu trượt,1,250,
40,s==61|Dĩ hạ na tòa thành thị， thị Tầng 29届奥运会 chi tổ chức địa điểm?,s==8|Bắc Kinh,s==6|Sydney,s==8|New York,s==5|Tokyo,1,250,
41,s==79|Chúng sở chung tri， tứ đại văn minh cổ quốc hiện tồn duy nhất chi quốc gia thị?,s==10|Trung Quốc,s==10|Cổ Babylon,s==9|Cổ Ai Cập,s==8|Cổ Ấn Độ,1,250,
