id,mainId,type,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
84,16,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
85,16,2,,,,,2,3008,50,,,,,,,
86,17,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
87,17,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
88,17,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
89,17,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
90,17,2,,,,,2,3008,50,,,,,,,
91,18,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
92,18,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
93,18,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
94,18,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
95,18,2,,,,,2,3008,50,,,,,,,
96,19,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
97,19,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
98,19,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
99,19,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
100,19,2,,,,,2,3008,50,,,,,,,
101,20,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
102,20,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
103,20,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
104,20,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
105,20,2,,,,,2,3008,50,,,,,,,
