id,starMapId,starId,unlockStarId,level,nextId,needAllLevel,unlockType,starType,base-type-1,base-way-1,base-value-1,base-type-2,base-way-2,base-value-2,
86,1001,7,,7,87,,1,2,,,,,,,
87,1001,7,,8,88,,1,2,,,,,,,
88,1001,7,,9,89,64,1,2,,,,,,,
89,1001,7,,10,90,,1,2,,,,,,,
90,1001,7,,11,91,,,,,,,,,,
91,1001,7,,12,,,,,,,,,,,
92,1001,8,,0,93,,,,,,,,,,
93,1001,8,,1,94,,1,2,,,,,,,
94,1001,8,,2,95,,1,2,,,,,,,
95,1001,8,,3,96,,1,2,,,,,,,
96,1001,8,,4,97,,1,2,,,,,,,
97,1001,8,,5,98,32,1,2,,,,,,,
98,1001,8,,6,99,,1,2,,,,,,,
99,1001,8,,7,100,,1,2,,,,,,,
100,1001,8,,8,101,,1,2,,,,,,,
101,1001,8,,9,102,64,1,2,,,,,,,
102,1001,8,,10,103,,1,2,,,,,,,
103,1001,8,,11,104,,1,2,,,,,,,
104,1001,8,,12,,,1,2,,,,,,,
105,1002,1,,0,106,,,,,,,,,,
106,1002,1,2,1,107,,0,1,2,0,200,1,0,2000,
107,1002,1,,2,108,,0,1,2,0,400,1,0,4000,
108,1002,1,,3,109,,0,1,2,0,600,1,0,6000,
109,1002,1,,4,110,,0,1,2,0,800,1,0,8000,
110,1002,1,,5,111,32,0,1,2,0,1200,1,0,12000,
111,1002,1,,6,112,,0,1,2,0,1600,1,0,16000,
112,1002,1,,7,113,,0,1,2,0,2000,1,0,20000,
113,1002,1,,8,114,,0,1,2,0,2400,1,0,24000,
114,1002,1,,9,115,64,0,1,2,0,3200,1,0,32000,
115,1002,1,,10,116,,0,1,2,0,4000,1,0,40000,
116,1002,1,,11,117,,0,1,2,0,4800,1,0,48000,
117,1002,1,,12,,,0,1,2,0,5600,1,0,56000,
118,1002,2,,0,119,,,,,,,,,,
119,1002,2,3,1,120,,1,1,2,0,120,3,0,5,
120,1002,2,,2,121,,1,1,2,0,240,3,0,10,
121,1002,2,,3,122,,1,1,2,0,360,3,0,15,
122,1002,2,,4,123,,1,1,2,0,480,3,0,20,
123,1002,2,,5,124,32,1,1,2,0,720,3,0,28,
124,1002,2,,6,125,,1,1,2,0,960,3,0,36,
125,1002,2,,7,126,,1,1,2,0,1200,3,0,44,
126,1002,2,,8,127,,1,1,2,0,1440,3,0,52,
127,1002,2,,9,128,64,1,1,2,0,1920,3,0,60,
128,1002,2,,10,129,,1,1,2,0,2400,3,0,68,
129,1002,2,,11,130,,1,1,2,0,2880,3,0,82,
130,1002,2,,12,,,1,1,2,0,3360,3,0,92,
131,1002,3,,0,132,,,,,,,,,,
132,1002,3,4|6,1,133,,1,2,,,,,,,
133,1002,3,,2,134,,1,2,,,,,,,
134,1002,3,,3,135,,1,2,,,,,,,
135,1002,3,,4,136,,1,2,,,,,,,
136,1002,3,,5,137,32,1,2,,,,,,,
137,1002,3,,6,138,,1,2,,,,,,,
138,1002,3,,7,139,,1,2,,,,,,,
139,1002,3,,8,140,,1,2,,,,,,,
140,1002,3,,9,141,64,1,2,,,,,,,
141,1002,3,,10,142,,1,2,,,,,,,
142,1002,3,,11,143,,1,2,,,,,,,
143,1002,3,,12,,,1,2,,,,,,,
144,1002,4,,0,145,,,,,,,,,,
145,1002,4,5,1,146,,1,1,1,0,1200,4,0,5,
146,1002,4,,2,147,,1,1,1,0,2400,4,0,10,
147,1002,4,,3,148,,1,1,1,0,3600,4,0,15,
148,1002,4,,4,149,,1,1,1,0,4800,4,0,20,
149,1002,4,,5,150,32,1,1,1,0,7200,4,0,28,
150,1002,4,,6,151,,1,1,1,0,9600,4,0,36,
151,1002,4,,7,152,,1,1,1,0,12000,4,0,44,
152,1002,4,,8,153,,1,1,1,0,14400,4,0,52,
153,1002,4,,9,154,64,1,1,1,0,19200,4,0,62,
154,1002,4,,10,155,,1,1,1,0,24000,4,0,72,
155,1002,4,,11,156,,1,1,1,0,28800,4,0,82,
156,1002,4,,12,,,1,1,1,0,33600,4,0,92,
157,1002,5,,0,158,,,,,,,,,,
158,1002,5,,1,159,,1,1,3,0,4,4,0,4,
159,1002,5,,2,160,,1,1,3,0,8,4,0,8,
160,1002,5,,3,161,,1,1,3,0,12,4,0,12,
161,1002,5,,4,162,,1,1,3,0,16,4,0,16,
162,1002,5,,5,163,32,1,1,3,0,22,4,0,22,
163,1002,5,,6,164,,1,1,3,0,28,4,0,28,
164,1002,5,,7,165,,1,1,3,0,34,4,0,34,
165,1002,5,,8,166,,1,1,3,0,40,4,0,40,
166,1002,5,,9,167,64,1,1,3,0,48,4,0,48,
167,1002,5,,10,168,,1,1,3,0,56,4,0,56,
168,1002,5,,11,169,,1,1,3,0,64,4,0,64,
169,1002,5,,12,,,1,1,3,0,72,4,0,72,
170,1002,6,,0,171,,,,,,,,,,
171,1002,6,7,1,172,,1,2,,,,,,,
172,1002,6,,2,173,,1,2,,,,,,,
173,1002,6,,3,174,,1,2,,,,,,,
174,1002,6,,4,175,,1,2,,,,,,,
175,1002,6,,5,176,32,1,2,,,,,,,
176,1002,6,,6,177,,1,2,,,,,,,
177,1002,6,,7,178,,1,2,,,,,,,
178,1002,6,,8,179,,1,2,,,,,,,
179,1002,6,,9,180,64,1,2,,,,,,,
180,1002,6,,10,181,,1,2,,,,,,,
181,1002,6,,11,182,,1,2,,,,,,,
182,1002,6,,12,,,1,2,,,,,,,
183,1002,7,,0,184,,,,,,,,,,
184,1002,7,8,1,185,,1,2,,,,,,,
185,1002,7,,2,186,,1,2,,,,,,,
186,1002,7,,3,187,,1,2,,,,,,,
187,1002,7,,4,188,,1,2,,,,,,,
188,1002,7,,5,189,32,1,2,,,,,,,
189,1002,7,,6,190,,1,2,,,,,,,
190,1002,7,,7,191,,1,2,,,,,,,
191,1002,7,,8,192,,1,2,,,,,,,
192,1002,7,,9,193,64,1,2,,,,,,,
193,1002,7,,10,194,,1,2,,,,,,,
194,1002,7,,11,195,,1,2,,,,,,,
195,1002,7,,12,,,1,2,,,,,,,
196,1002,8,,0,197,,,,,,,,,,
197,1002,8,,1,198,,1,2,,,,,,,
198,1002,8,,2,199,,1,2,,,,,,,
199,1002,8,,3,200,,1,2,,,,,,,
200,1002,8,,4,201,,1,2,,,,,,,
201,1002,8,,5,202,32,1,2,,,,,,,
202,1002,8,,6,203,,1,2,,,,,,,
203,1002,8,,7,204,,1,2,,,,,,,
204,1002,8,,8,205,,1,2,,,,,,,
205,1002,8,,9,206,64,1,2,,,,,,,
206,1002,8,,10,207,,1,2,,,,,,,
207,1002,8,,11,208,,1,2,,,,,,,
208,1002,8,,12,,,1,2,,,,,,,
209,1003,1,,0,210,,,,,,,,,,
210,1003,1,2,1,211,,0,2,,,,,,,
211,1003,1,,2,212,,0,2,,,,,,,
212,1003,1,,3,213,,0,2,,,,,,,
213,1003,1,,4,214,,0,2,,,,,,,
214,1003,1,,5,215,32,0,2,,,,,,,
215,1003,1,,6,216,,0,2,,,,,,,
216,1003,1,,7,217,,0,2,,,,,,,
217,1003,1,,8,218,,0,2,,,,,,,
218,1003,1,,9,219,64,0,2,,,,,,,
219,1003,1,,10,220,,0,2,,,,,,,
220,1003,1,,11,221,,0,2,,,,,,,
221,1003,1,,12,,,0,2,,,,,,,
222,1003,2,,0,223,,,,,,,,,,
223,1003,2,3,1,224,,1,2,,,,,,,
224,1003,2,,2,225,,1,2,,,,,,,
225,1003,2,,3,226,,1,2,,,,,,,
226,1003,2,,4,227,,1,2,,,,,,,
227,1003,2,,5,228,32,1,2,,,,,,,
228,1003,2,,6,229,,1,2,,,,,,,
229,1003,2,,7,230,,1,2,,,,,,,
230,1003,2,,8,231,,1,2,,,,,,,
231,1003,2,,9,232,64,1,2,,,,,,,
232,1003,2,,10,233,,1,2,,,,,,,
233,1003,2,,11,234,,1,2,,,,,,,
234,1003,2,,12,,,1,2,,,,,,,
235,1003,3,,0,236,,,,,,,,,,
236,1003,3,4,1,237,,1,2,,,,,,,
237,1003,3,,2,238,,1,2,,,,,,,
238,1003,3,,3,239,,1,2,,,,,,,
239,1003,3,,4,240,,1,2,,,,,,,
240,1003,3,,5,241,32,1,2,,,,,,,
241,1003,3,,6,242,,1,2,,,,,,,
242,1003,3,,7,243,,1,2,,,,,,,
243,1003,3,,8,244,,1,2,,,,,,,
244,1003,3,,9,245,64,1,2,,,,,,,
245,1003,3,,10,246,,1,2,,,,,,,
246,1003,3,,11,247,,1,2,,,,,,,
247,1003,3,,12,,,1,2,,,,,,,
248,1003,4,,0,249,,,,,,,,,,
249,1003,4,5|6|7|8,1,250,,1,2,,,,,,,
250,1003,4,,2,251,,1,2,,,,,,,
251,1003,4,,3,252,,1,2,,,,,,,
252,1003,4,,4,253,,1,2,,,,,,,
253,1003,4,,5,254,32,1,2,,,,,,,
254,1003,4,,6,255,,1,2,,,,,,,
255,1003,4,,7,256,,1,2,,,,,,,
256,1003,4,,8,257,,1,2,,,,,,,
257,1003,4,,9,258,64,1,2,,,,,,,
258,1003,4,,10,259,,1,2,,,,,,,
259,1003,4,,11,260,,1,2,,,,,,,
260,1003,4,,12,,,1,2,,,,,,,
261,1003,5,,0,262,,,,,,,,,,
262,1003,5,,1,263,,1,1,2,0,200,1,0,2000,
263,1003,5,,2,264,,1,1,2,0,400,1,0,4000,
264,1003,5,,3,265,,1,1,2,0,600,1,0,6000,
265,1003,5,,4,266,,1,1,2,0,800,1,0,8000,
266,1003,5,,5,267,32,1,1,2,0,1050,1,0,10500,
267,1003,5,,6,268,,1,1,2,0,1300,1,0,13000,
268,1003,5,,7,269,,1,1,2,0,1550,1,0,15500,
269,1003,5,,8,270,,1,1,2,0,1800,1,0,18000,
270,1003,5,,9,271,64,1,1,2,0,2150,1,0,21500,
271,1003,5,,10,272,,1,1,2,0,2500,1,0,25000,
272,1003,5,,11,273,,1,1,2,0,2850,1,0,32000,
273,1003,5,,12,,,1,1,2,0,3200,1,0,32000,
274,1003,6,,0,275,,,,,,,,,,
275,1003,6,,1,276,,1,1,2,0,120,3,0,5,
276,1003,6,,2,277,,1,1,2,0,240,3,0,10,
277,1003,6,,3,278,,1,1,2,0,360,3,0,15,
278,1003,6,,4,279,,1,1,2,0,480,3,0,20,
279,1003,6,,5,280,32,1,1,2,0,630,3,0,28,
280,1003,6,,6,281,,1,1,2,0,780,3,0,36,
281,1003,6,,7,282,,1,1,2,0,930,3,0,44,
282,1003,6,,8,283,,1,1,2,0,1080,3,0,52,
283,1003,6,,9,284,64,1,1,2,0,1290,3,0,60,
284,1003,6,,10,285,,1,1,2,0,1500,3,0,68,
285,1003,6,,11,286,,1,1,2,0,1710,3,0,76,
286,1003,6,,12,,,1,1,2,0,1920,3,0,84,
287,1003,7,,0,288,,,,,,,,,,
288,1003,7,,1,289,,1,1,1,0,1200,4,0,5,
289,1003,7,,2,290,,1,1,1,0,2400,4,0,10,
290,1003,7,,3,291,,1,1,1,0,3600,4,0,15,
291,1003,7,,4,292,,1,1,1,0,4800,4,0,20,
292,1003,7,,5,293,32,1,1,1,0,6300,4,0,28,
293,1003,7,,6,294,,1,1,1,0,7800,4,0,36,
294,1003,7,,7,295,,1,1,1,0,9300,4,0,44,
295,1003,7,,8,296,,1,1,1,0,10800,4,0,52,
296,1003,7,,9,297,64,1,1,1,0,12900,4,0,60,
297,1003,7,,10,298,,1,1,1,0,15000,4,0,68,
298,1003,7,,11,299,,1,1,1,0,17100,4,0,76,
299,1003,7,,12,,,1,1,1,0,19200,4,0,84,
300,1003,8,,0,301,,,,,,,,,,
301,1003,8,,1,302,,1,1,3,0,4,4,0,4,
302,1003,8,,2,303,,1,1,3,0,8,4,0,8,
303,1003,8,,3,304,,1,1,3,0,12,4,0,12,
304,1003,8,,4,305,,1,1,3,0,16,4,0,16,
305,1003,8,,5,306,32,1,1,3,0,22,4,0,22,
306,1003,8,,6,307,,1,1,3,0,28,4,0,28,
307,1003,8,,7,308,,1,1,3,0,34,4,0,34,
308,1003,8,,8,309,,1,1,3,0,40,4,0,40,
309,1003,8,,9,310,64,1,1,3,0,46,4,0,46,
310,1003,8,,10,311,,1,1,3,0,52,4,0,52,
311,1003,8,,11,312,,1,1,3,0,58,4,0,58,
312,1003,8,,12,,,1,1,3,0,64,4,0,64,
313,1004,1,,0,314,,,,,,,,,,
314,1004,1,2,1,315,,0,2,,,,,,,
315,1004,1,,2,316,,0,2,,,,,,,
316,1004,1,,3,317,,0,2,,,,,,,
317,1004,1,,4,318,,0,2,,,,,,,
318,1004,1,,5,319,32,0,2,,,,,,,
319,1004,1,,6,320,,0,2,,,,,,,
320,1004,1,,7,321,,0,2,,,,,,,
321,1004,1,,8,322,,0,2,,,,,,,
322,1004,1,,9,323,64,0,2,,,,,,,
323,1004,1,,10,324,,0,2,,,,,,,
324,1004,1,,11,325,,0,2,,,,,,,
325,1004,1,,12,,,0,2,,,,,,,
326,1004,2,,0,327,,,,,,,,,,
327,1004,2,3,1,328,,1,1,2,0,200,1,0,2000,
328,1004,2,,2,329,,1,1,2,0,400,1,0,4000,
329,1004,2,,3,330,,1,1,2,0,600,1,0,6000,
330,1004,2,,4,331,,1,1,2,0,800,1,0,8000,
331,1004,2,,5,332,32,1,1,2,0,1200,1,0,12000,
332,1004,2,,6,333,,1,1,2,0,1600,1,0,16000,
333,1004,2,,7,334,,1,1,2,0,2000,1,0,20000,
334,1004,2,,8,335,,1,1,2,0,2400,1,0,24000,
335,1004,2,,9,336,64,1,1,2,0,3200,1,0,32000,
336,1004,2,,10,337,,1,1,2,0,4000,1,0,40000,
337,1004,2,,11,338,,1,1,2,0,4800,1,0,48000,
338,1004,2,,12,,,1,1,2,0,5600,1,0,56000,
339,1004,3,,0,340,,,,,,,,,,
340,1004,3,4,1,341,,1,2,,,,,,,
341,1004,3,,2,342,,1,2,,,,,,,
342,1004,3,,3,343,,1,2,,,,,,,
343,1004,3,,4,344,,1,2,,,,,,,
344,1004,3,,5,345,32,1,2,,,,,,,
345,1004,3,,6,346,,1,2,,,,,,,
346,1004,3,,7,347,,1,2,,,,,,,
347,1004,3,,8,348,,1,2,,,,,,,
348,1004,3,,9,349,64,1,2,,,,,,,
349,1004,3,,10,350,,1,2,,,,,,,
350,1004,3,,11,351,,1,2,,,,,,,
351,1004,3,,12,,,1,2,,,,,,,
352,1004,4,,0,353,,,,,,,,,,
353,1004,4,5,1,354,,1,1,2,0,120,3,0,5,
354,1004,4,,2,355,,1,1,2,0,240,3,0,10,
355,1004,4,,3,356,,1,1,2,0,360,3,0,15,
356,1004,4,,4,357,,1,1,2,0,480,3,0,20,
357,1004,4,,5,358,32,1,1,2,0,720,3,0,28,
358,1004,4,,6,359,,1,1,2,0,960,3,0,36,
359,1004,4,,7,360,,1,1,2,0,1200,3,0,44,
360,1004,4,,8,361,,1,1,2,0,1440,3,0,52,
361,1004,4,,9,362,64,1,1,2,0,1920,3,0,60,
362,1004,4,,10,363,,1,1,2,0,2400,3,0,68,
363,1004,4,,11,364,,1,1,2,0,2880,3,0,82,
364,1004,4,,12,,,1,1,2,0,3360,3,0,92,
365,1004,5,,0,366,,,,,,,,,,
366,1004,5,6,1,367,,1,2,,,,,,,
367,1004,5,,2,368,,1,2,,,,,,,
368,1004,5,,3,369,,1,2,,,,,,,
369,1004,5,,4,370,,1,2,,,,,,,
370,1004,5,,5,371,32,1,2,,,,,,,
371,1004,5,,6,372,,1,2,,,,,,,
372,1004,5,,7,373,,1,2,,,,,,,
373,1004,5,,8,374,,1,2,,,,,,,
374,1004,5,,9,375,64,1,2,,,,,,,
375,1004,5,,10,376,,1,2,,,,,,,
376,1004,5,,11,377,,1,2,,,,,,,
377,1004,5,,12,,,1,2,,,,,,,
378,1004,6,,0,379,,,,,,,,,,
379,1004,6,7,1,380,,1,1,1,0,1200,4,0,5,
380,1004,6,,2,381,,1,1,1,0,2400,4,0,10,
381,1004,6,,3,382,,1,1,1,0,3600,4,0,15,
382,1004,6,,4,383,,1,1,1,0,4800,4,0,20,
383,1004,6,,5,384,32,1,1,1,0,7200,4,0,28,
384,1004,6,,6,385,,1,1,1,0,9600,4,0,36,
385,1004,6,,7,386,,1,1,1,0,12000,4,0,44,
386,1004,6,,8,387,,1,1,1,0,14400,4,0,52,
387,1004,6,,9,388,64,1,1,1,0,19200,4,0,62,
388,1004,6,,10,389,,1,1,1,0,24000,4,0,72,
389,1004,6,,11,390,,1,1,1,0,28800,4,0,82,
390,1004,6,,12,,,1,1,1,0,33600,4,0,92,
391,1004,7,,0,392,,,,,,,,,,
392,1004,7,8,1,393,,1,2,,,,,,,
393,1004,7,,2,394,,1,2,,,,,,,
394,1004,7,,3,395,,1,2,,,,,,,
395,1004,7,,4,396,,1,2,,,,,,,
396,1004,7,,5,397,32,1,2,,,,,,,
397,1004,7,,6,398,,1,2,,,,,,,
398,1004,7,,7,399,,1,2,,,,,,,
399,1004,7,,8,400,,1,2,,,,,,,
400,1004,7,,9,401,64,1,2,,,,,,,
401,1004,7,,10,402,,1,2,,,,,,,
402,1004,7,,11,403,,1,2,,,,,,,
403,1004,7,,12,,,1,2,,,,,,,
404,1004,8,,0,405,,,,,,,,,,
405,1004,8,,1,406,,1,1,3,0,4,4,0,4,
406,1004,8,,2,407,,1,1,3,0,8,4,0,8,
407,1004,8,,3,408,,1,1,3,0,12,4,0,12,
408,1004,8,,4,409,,1,1,3,0,16,4,0,16,
409,1004,8,,5,410,32,1,1,3,0,22,4,0,22,
410,1004,8,,6,411,,1,1,3,0,28,4,0,28,
411,1004,8,,7,412,,1,1,3,0,34,4,0,34,
412,1004,8,,8,413,,1,1,3,0,40,4,0,40,
413,1004,8,,9,414,64,1,1,3,0,48,4,0,48,
414,1004,8,,10,415,,1,1,3,0,56,4,0,56,
415,1004,8,,11,416,,1,1,3,0,64,4,0,64,
416,1004,8,,12,,,1,1,3,0,72,4,0,72,
417,1005,1,,0,418,,,,,,,,,,
418,1005,1,2,1,419,,0,2,,,,,,,
419,1005,1,,2,420,,0,2,,,,,,,
420,1005,1,,3,421,,0,2,,,,,,,
421,1005,1,,4,422,,0,2,,,,,,,
422,1005,1,,5,423,32,0,2,,,,,,,
423,1005,1,,6,424,,0,2,,,,,,,
424,1005,1,,7,425,,0,2,,,,,,,
425,1005,1,,8,426,,0,2,,,,,,,
426,1005,1,,9,427,64,0,2,,,,,,,
427,1005,1,,10,428,,0,2,,,,,,,
428,1005,1,,11,429,,0,2,,,,,,,
429,1005,1,,12,,,0,2,,,,,,,
430,1005,2,,0,431,,,,,,,,,,
431,1005,2,3|4|5|6|7,1,432,,1,2,,,,,,,
432,1005,2,,2,433,,1,2,,,,,,,
433,1005,2,,3,434,,1,2,,,,,,,
434,1005,2,,4,435,,1,2,,,,,,,
435,1005,2,,5,436,32,1,2,,,,,,,
436,1005,2,,6,437,,1,2,,,,,,,
437,1005,2,,7,438,,1,2,,,,,,,
438,1005,2,,8,439,,1,2,,,,,,,
439,1005,2,,9,440,64,1,2,,,,,,,
440,1005,2,,10,441,,1,2,,,,,,,
441,1005,2,,11,442,,1,2,,,,,,,
442,1005,2,,12,,,1,2,,,,,,,
443,1005,3,,0,444,,,,,,,,,,
444,1005,3,,1,445,,1,1,2,0,200,1,0,2000,
445,1005,3,,2,446,,1,1,2,0,400,1,0,4000,
446,1005,3,,3,447,,1,1,2,0,600,1,0,6000,
447,1005,3,,4,448,,1,1,2,0,800,1,0,8000,
448,1005,3,,5,449,32,1,1,2,0,1050,1,0,10500,
449,1005,3,,6,450,,1,1,2,0,1300,1,0,13000,
450,1005,3,,7,451,,1,1,2,0,1550,1,0,15500,
451,1005,3,,8,452,,1,1,2,0,1800,1,0,18000,
452,1005,3,,9,453,64,1,1,2,0,2150,1,0,21500,
453,1005,3,,10,454,,1,1,2,0,2500,1,0,25000,
454,1005,3,,11,455,,1,1,2,0,2850,1,0,32000,
455,1005,3,,12,,,1,1,2,0,3200,1,0,32000,
456,1005,4,,0,457,,,,,,,,,,
457,1005,4,,1,458,,1,1,2,0,120,3,0,5,
458,1005,4,,2,459,,1,1,2,0,240,3,0,10,
459,1005,4,,3,460,,1,1,2,0,360,3,0,15,
460,1005,4,,4,461,,1,1,2,0,480,3,0,20,
461,1005,4,,5,462,32,1,1,2,0,630,3,0,28,
462,1005,4,,6,463,,1,1,2,0,780,3,0,36,
463,1005,4,,7,464,,1,1,2,0,930,3,0,44,
464,1005,4,,8,465,,1,1,2,0,1080,3,0,52,
465,1005,4,,9,466,64,1,1,2,0,1290,3,0,60,
466,1005,4,,10,467,,1,1,2,0,1500,3,0,68,
467,1005,4,,11,468,,1,1,2,0,1710,3,0,76,
468,1005,4,,12,,,1,1,2,0,1920,3,0,84,
469,1005,5,,0,470,,,,,,,,,,
470,1005,5,8,1,471,,1,2,,,,,,,
471,1005,5,,2,472,,1,2,,,,,,,
472,1005,5,,3,473,,1,2,,,,,,,
473,1005,5,,4,474,,1,2,,,,,,,
474,1005,5,,5,475,32,1,2,,,,,,,
475,1005,5,,6,476,,1,2,,,,,,,
476,1005,5,,7,477,,1,2,,,,,,,
477,1005,5,,8,478,,1,2,,,,,,,
478,1005,5,,9,479,64,1,2,,,,,,,
479,1005,5,,10,480,,1,2,,,,,,,
480,1005,5,,11,481,,1,2,,,,,,,
481,1005,5,,12,,,1,2,,,,,,,
482,1005,6,,0,483,,,,,,,,,,
483,1005,6,,1,484,,1,1,1,0,1200,4,0,5,
484,1005,6,,2,485,,1,1,1,0,2400,4,0,10,
485,1005,6,,3,486,,1,1,1,0,3600,4,0,15,
486,1005,6,,4,487,,1,1,1,0,4800,4,0,20,
487,1005,6,,5,488,32,1,1,1,0,6300,4,0,28,
488,1005,6,,6,489,,1,1,1,0,7800,4,0,36,
489,1005,6,,7,490,,1,1,1,0,9300,4,0,44,
490,1005,6,,8,491,,1,1,1,0,10800,4,0,52,
491,1005,6,,9,492,64,1,1,1,0,12900,4,0,60,
492,1005,6,,10,493,,1,1,1,0,15000,4,0,68,
493,1005,6,,11,494,,1,1,1,0,17100,4,0,76,
494,1005,6,,12,,,1,1,1,0,19200,4,0,84,
495,1005,7,,0,496,,,,,,,,,,
496,1005,7,,1,497,,1,1,3,0,4,4,0,4,
497,1005,7,,2,498,,1,1,3,0,8,4,0,8,
498,1005,7,,3,499,,1,1,3,0,12,4,0,12,
499,1005,7,,4,500,,1,1,3,0,16,4,0,16,
500,1005,7,,5,501,32,1,1,3,0,22,4,0,22,
501,1005,7,,6,502,,1,1,3,0,28,4,0,28,
502,1005,7,,7,503,,1,1,3,0,34,4,0,34,
503,1005,7,,8,504,,1,1,3,0,40,4,0,40,
504,1005,7,,9,505,64,1,1,3,0,46,4,0,46,
505,1005,7,,10,506,,1,1,3,0,52,4,0,52,
506,1005,7,,11,507,,1,1,3,0,58,4,0,58,
507,1005,7,,12,,,1,1,3,0,64,4,0,64,
508,1005,8,,0,509,,,,,,,,,,
509,1005,8,,1,510,,1,2,,,,,,,
