id,type,name,level,title,siteIcon,BigsiteIcon,ChapterName,profit,cd,showCd,AccountCd,lockDesc,targetValue,leveItem-type-1,leveItem-id-1,leveItem-value-1,rewardItem-type-1,rewardItem-id-1,rewardItem-value-1,rewardItem-type-2,rewardItem-id-2,rewardItem-value-2,rewardItem-type-3,rewardItem-id-3,rewardItem-value-3,strikeReward-type-1,strikeReward-id-1,strikeReward-value-1,pz,character,promoteDesc,lblReward,
10,2,s==8|Thư Trai,4,s==15|d_wenzi_shuzhai,s==9|d_shuzai1,s==8|d_shuzai,s==21|Thuần thục tuyệt đỉnh,6,-1,2000,3000,s==24|Trả lời đúng bốn câu hỏi,4,2,6968,1,2,6888,1,2,1006,500,2,6881,120,2,6881,30,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+6</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+30</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#fe9150>【笑面玉佛】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
11,2,s==8|Thư Trai,5,s==15|d_wenzi_shuzhai,s==9|d_shuzai1,s==8|d_shuzai,s==14|Độc Cô Cầu Bại,8,-1,2000,3000,s==24|Trả lời đúng năm câu hỏi,5,2,6968,1,2,6884,1,2,1004,1,2,6881,300,2,6881,35,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+8</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+35</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#ff5d5d>【如意葫芦】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
12,3,s==9|Tửu Trang,0,s==17|d_wenzi_jiuzhuang,s==12|d_jiuzhuang1,s==11|d_jiuzhuang,,1,,,,,,,,,,,1,,,,,6881,,2,6881,10,s==61|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>,0:9000:10000|3:1000:50,s==202|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+1</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+10</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>。,,
13,3,s==9|Tửu Trang,1,s==17|d_wenzi_jiuzhuang,s==12|d_jiuzhuang1,s==11|d_jiuzhuang,s==18|Khởi thủy nhập thế,2,7000,2500,3000,s==43|Chiến thắng hai lần trong trò chơi chém chữ,2,2,6968,1,2,6899,1,2,1003,1,2,6881,50,2,6881,15,s==84|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>,0:7000:10000|4:1000:80|3:2000:50,s==225|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+2</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+15</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>。,s==86|Nhận được bảo vật<color=#46b9ee>【醉梦清风】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
14,3,s==9|Tửu Trang,2,s==17|d_wenzi_jiuzhuang,s==12|d_jiuzhuang1,s==11|d_jiuzhuang,s==11|Thử sức nhỏ,3,7000,3000,3000,s==43|Chiến thắng hai lần trong trò chơi chém chữ,2,2,6968,1,2,6895,1,2,1003,1,2,6881,80,2,6881,20,s==108|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==248|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+3</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+20</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>。,s==86|Nhận được bảo vật<color=#d080fe>【青花缠枝】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
15,3,s==9|Tửu Trang,3,s==17|d_wenzi_jiuzhuang,s==12|d_jiuzhuang1,s==11|d_jiuzhuang,s==19|Thuần thục như thần,4,7000,3500,3000,s==42|Chiến thắng ba lần trong trò chơi chém chữ,3,2,6968,1,2,6890,1,2,1003,1,2,6881,120,2,6881,25,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+4</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+25</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#d080fe>【碧青如意】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
16,3,s==9|Tửu Trang,4,s==17|d_wenzi_jiuzhuang,s==12|d_jiuzhuang1,s==11|d_jiuzhuang,s==21|Thuần thục tuyệt đỉnh,6,7000,4000,3000,s==42|Chiến thắng ba lần trong trò chơi chém chữ,3,2,6968,1,2,6887,1,2,1003,1,2,6881,120,2,6881,30,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+6</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+30</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#fe9150>【碧鸾玉殇】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
17,3,s==9|Tửu Trang,5,s==17|d_wenzi_jiuzhuang,s==12|d_jiuzhuang1,s==11|d_jiuzhuang,s==14|Độc Cô Cầu Bại,8,7000,4500,3000,s==42|Chiến thắng ba lần trong trò chơi chém chữ,3,2,6968,1,2,6883,1,2,1004,1,2,6881,300,2,6881,35,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+8</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+35</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#ff5d5d>【金云方鼎】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
18,4,s==7|Trà Lầu,0,s==14|d_wenzi_chalou,s==10|d_chaolou1,s==9|d_chaolou,,1,,,,,,,,,,,1,,,,,6881,,2,6881,10,s==61|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>,0:9000:10000|3:1000:50,s==202|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+1</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+10</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>。,,
19,4,s==7|Trà Lầu,1,s==14|d_wenzi_chalou,s==10|d_chaolou1,s==9|d_chaolou,s==18|Khởi thủy nhập thế,2,7000,2500,2000,s==44|Chiến thắng hai lần trong trò chơi đoán chém,2,2,6968,1,2,6898,1,2,1027,40,2,6881,50,2,6881,15,s==84|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>,0:7000:10000|4:1000:80|3:2000:50,s==225|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+2</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+15</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>。,s==86|Nhận được bảo vật<color=#46b9ee>【山林童戏】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
20,4,s==7|Trà Lầu,2,s==14|d_wenzi_chalou,s==10|d_chaolou1,s==9|d_chaolou,s==11|Thử sức nhỏ,3,7000,3000,2000,s==44|Chiến thắng hai lần trong trò chơi đoán chém,2,2,6968,1,2,6894,1,2,1027,60,2,6881,80,2,6881,20,s==108|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==248|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+3</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+20</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>。,s==86|Nhận được bảo vật<color=#d080fe>【夜宴闻灯】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
21,4,s==7|Trà Lầu,3,s==14|d_wenzi_chalou,s==10|d_chaolou1,s==9|d_chaolou,s==19|Thuần thục như thần,4,7000,3500,2000,s==43|Chiến thắng ba lần trong trò chơi đoán chém,3,2,6968,1,2,6889,1,2,1027,80,2,6881,120,2,6881,25,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+4</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+25</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#d080fe>【翡翠白菜】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
22,4,s==7|Trà Lầu,4,s==14|d_wenzi_chalou,s==10|d_chaolou1,s==9|d_chaolou,s==21|Thuần thục tuyệt đỉnh,6,7000,4000,2000,s==43|Chiến thắng ba lần trong trò chơi đoán chém,3,2,6968,1,2,6886,1,2,1027,100,2,6881,120,2,6881,30,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+6</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+30</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#fe9150>【马踏飞燕】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
23,4,s==7|Trà Lầu,5,s==14|d_wenzi_chalou,s==10|d_chaolou1,s==9|d_chaolou,s==14|Độc Cô Cầu Bại,8,7000,4500,2000,s==43|Chiến thắng ba lần trong trò chơi đoán chém,3,2,6968,1,2,6882,1,2,1004,1,2,6881,300,2,6881,35,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+8</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+35</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#ff5d5d>【黄金财神】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
