id,name,detail,isPassive,type,round,combine,exForce,exRound,useTimes,noDispel,forever,subCls,priority,checkDead,eventType,Func-use-1,Func-id-1,Func-value-1,Func-calcFun-1,Func-dependentTarget-1,Func-dependentType-1,Func-dependentId-1,Func-dependentCalcType-1,Func-dependentValue-1,Func-exDependentValue-1,Func-use-2,Func-id-2,Func-value-2,Func-calcFun-2,Func-dependentTarget-2,Func-dependentType-2,Func-dependentId-2,Func-dependentCalcType-2,Func-dependentValue-2,Func-exDependentValue-2,conditionType,condition-condition-1,condition-conditionValue-1,condition-conditionParam-1,condition-condition-2,condition-conditionValue-2,condition-conditionParam-2,iconId,buffEnterArmatureId,buffEnterAnim,buffEnterBackArmatureId,buffEnterBackAnim,buffSustainArmatureId,buffSustainAnim,buffSustainBackArmatureId,buffSustainBackAnim,buffRemoveArmatureId,buffRemoveAnim,buffRemoveBackArmatureId,buffRemoveBackAnim,buffHramArmatureId,buffHramAnim,buffHramBackArmatureId,buffHramBackAnim,pauseHeroAnim,heroGray,posType,reverse,spBuffEffectId,flyWordPicId,buffFlyWordType,isForce,
22,s==12|Trọng Thương,s==45|Hiệu quả bị trị liệu giảm 50%， kéo dài 2 lượt,,2,2,-1,,,,,,22,,,,5,19,5000,0,,,,,,,,,,,,,,,,,,,,,,,,17134,,,,,,,,,,,,,,,,,,,,,,355,,,
23,s==8|Mai Táng,s==116|Tướng mang trạng thái này tử trận， trong trận này không thể hồi sinh bằng bất kỳ phương pháp nào， không thể giải trừ,,2,999,-1,,,,1,1,23,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,17214,,,,,,,,,,,,,,,,,,,,,,328,,,
24,s==10|Công Kích ,s==56|Công kích tăng 20%， kéo dài 2 lượt， tối đa chồng 10 tầng,,1,2,10,,,,,,17401,,,,5,2,3000,1,,,,,,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,101,,,
25,s==10|Phòng Ngự ,s==34|Phòng ngự tăng 30%， kéo dài 2 lượt,,1,2,-1,,,,,,17402,,,,5,3,3000,1,3,1,3,1,3000,,,,,,,,,,,,,,,,,,,17108,,,,,,,,,,,,,,,,,,,,,,102,,,
26,s==6|Hộ Hựu,s==105|Tướng mang trạng thái này chịu 40% sát thương sẽ do pháp sư gánh chịu， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,30,,,,,,4000,,,,,,,,,,5000,,,,,,,,,,,,,,,17211,,,15,s==9|effect_in,,,15,s==11|effect_idle,,,,,,,,,,,3,1,,320,,,
81,s==14|Thánh Yển Trận,s==145|Tướng mang trạng thái này khi bị tấn công， kẻ tấn công sẽ chịu 【Sát thương lần này * 15%】 sát thương phản lại， kéo dài 2 lượt， không thể giải trừ,1,1,2,-1,,,,1,,82,,,s==3|4:5,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,17215,215071,s==13|effect_skill2,,,8,s==22|effect_shengyanzhen_cx,,,,,,,,,,,,,2,,,,,,
82,s==14|Thánh Yển Trận,s==145|Tướng mang trạng thái này khi bị tấn công， kẻ tấn công sẽ chịu 【Sát thương lần này * 10%】 sát thương phản lại， kéo dài 2 lượt， không thể giải trừ,1,1,2,-1,,,,1,,82,,,s==3|4:5,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,17215,215071,s==13|effect_skill2,,,8,s==22|effect_shengyanzhen_cx,,,,,,,,,,,,,2,,,,,,
141,s==8|Cuồng Nộ,s==59|Tỷ lệ chí mạng tăng 20%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17405,,,,5,5,2000,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,325,,,
142,s==8|Cuồng Nộ,s==59|Tỷ lệ chí mạng tăng 25%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17405,,,,5,5,2500,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,325,,,
151,s==9|Dũng Mãnh,s==60|Miễn sát thương tăng 15%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17407,,,,5,11,1500,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,347,,,
152,s==9|Dũng Mãnh,s==60|Miễn sát thương tăng 20%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17407,,,,5,11,2000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,347,,,
161,s==6|Nộ Khí,s==163|Mỗi tầng tăng 1% công kích， tối đa chồng 10 tầng， hiệu quả này không thể giải trừ， khi đầy tầng， sử dụng kỹ năng 【一骑当千】 sẽ tiêu hao nộ khí và tăng hiệu quả kỹ năng,,1,999,10,,,,1,,16,,,,5,2,100,1,3,1,2,1,100,,,,,,,,,,,,,,,,,,,17307,,,,,116,s==4|idle,,,,,,,,,,,,,3,1,,332,,,
162,s==6|Nộ Khí,s==163|Mỗi tầng tăng 2% công kích， tối đa chồng 10 tầng， hiệu quả này không thể giải trừ， khi đầy tầng， sử dụng kỹ năng 【一骑当千】 sẽ tiêu hao nộ khí và tăng hiệu quả kỹ năng,,1,999,10,,,,1,,16,,,,5,2,200,1,3,1,2,1,200,,,,,,,,,,,,,,,,,,,17307,,,,,116,s==4|idle,,,,,,,,,,,,,3,1,,332,,,
181,s==7|Tốc Độ ,s==62|Tốc độ tăng 30 điểm， kéo dài 2 lượt， hiệu quả này có thể chồng,,1,2,999,,,,,,17403,,,,5,4,30,,,,,,,,,,,,,,,,,,,,,,,,,17128,,,,,,,,,,,,,,,,,,,,,,103,,,
182,s==10|Tiên Tiễn ,s==112|Dựa theo số người đã vượt ải viễn chinh tăng công kích tướng， mỗi 1 người vượt ải， công kích tăng 2%， tối đa 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,s==10|Tiên Tiễn ,s==112|Dựa theo số người đã vượt ải viễn chinh tăng công kích tướng， mỗi 1 người vượt ải， công kích tăng 3%， tối đa 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,s==10|Công Kích ,s==37|Công kích tăng 5%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,500,1,3,1,2,1,500,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
202,s==10|Sinh Mệnh ,s==37|Sinh mệnh tăng 5%， không thể giải trừ,,1,99,-1,,,,1,,10000,,,s==1|1,5,1,500,1,3,1,1,1,500,,,,,,,,,,,,,,,,,,,17126,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,104,,,
203,s==12|Miễn Thương ,s==43|Miễn sát thương tăng 5%， không thể giải trừ,,1,99,-1,,,,1,,11,,,s==1|1,5,11,500,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
206,s==5|Hộ Ấn,s==126|Sở hữu lá chắn có thể chống chịu một phần sát thương， giá trị lá chắn bằng 【Sinh mệnh tối đa của pháp sư * 5%】， kéo dài 2 lượt,,1,2,-3,,,,1,,17902,,,,6,1,500,1,1,1,1,1,500,,,,,,,,,,,,,,,,,,,17207,,,,,12,s==16|effect_shouhu_cx,,,,,,,,,,,,,2,1,,319,,,
207,s==18|Vô Khiếm Khắc Kích,s==64|Người mang có thể kháng 1 lần hiệu quả khống chế， kéo dài 2 lượt,,1,2,1,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17304,,,,,,,,,,,,,,,,,,,,,,,,,
2021,s==19|Trấn Thủ·Cường Mệnh,s==60|Sinh mệnh tối đa của người mang tăng 30%， không thể giải trừ,,1,999,-3,,,,1,1,10000,,,,5,1,5000,0,1,1,98,1,5000,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,361,,,
2022,s==18|Trấn Thủ·Nghị Dũng,s==55|Sát thương tăng 20%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,1,17401,,,,5,10,2000,0,,,,,,,,,,,,,,,,,,,,,,,,17125,,,,,,,,,,,,,,,,,,,,,,403,,,
2023,s==17|Trấn Thủ·Hào Dũng,s==54|Công kích tăng 20%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,1,17401,,,,5,2,2000,1,3,1,2,1,2000,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,404,,,
1301,s==17|Quân Chủ·Chế Hành,s==133|Người mang nhận được hiệu quả tăng 20% sinh mệnh từ quân chủ， tướng thuộc Ngô sẽ thêm nhận 【君主·吴国制衡】， cung cấp thêm 10% hiệu quả tăng,,1,999,-5,,,,1,1,17651,,,,5,1,3000,0,1,1,98,1,3000,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
1302,s==16|Quân Chủ·Kích Hổ,s==57|Người mang nhận được hiệu quả  10% Công Kích của Quân Chủ,,1,999,1,,,,1,1,17401,,,,5,2,,,1,1,2,1,1000,,,,,,,,,,,,,,,,,,,17112,,,,,,,,,,,,,,,,,,,,,,,,,
1303,s==26|Quân Chủ·Ngô Quốc Chế Hành,s==51|Tướng phe Ngô nhận thêm 10%  Sinh Mệnh của Quân Chủ,,1,999,-5,,,,1,1,17652,,,,5,1,1000,0,1,1,98,1,1000,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
1304,s==17|Quân Chủ·Chế Hành,s==133|Người mang nhận được hiệu quả tăng 24% sinh mệnh từ quân chủ， tướng thuộc Ngô sẽ thêm nhận 【君主·吴国制衡】， cung cấp thêm 10% hiệu quả tăng,,1,999,-5,,,,1,1,17651,,,,5,1,2400,0,1,1,98,1,2400,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
1305,s==17|Quân Chủ·Chế Hành,s==133|Người mang nhận được hiệu quả tăng 28% sinh mệnh từ quân chủ， tướng thuộc Ngô sẽ thêm nhận 【君主·吴国制衡】， cung cấp thêm 10% hiệu quả tăng,,1,999,-5,,,,1,1,17651,,,,5,1,2800,0,1,1,98,1,2800,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
1306,s==17|Quân Chủ·Chế Hành,s==133|Người mang nhận được hiệu quả tăng 32% sinh mệnh từ quân chủ， tướng thuộc Ngô sẽ thêm nhận 【君主·吴国制衡】， cung cấp thêm 10% hiệu quả tăng,,1,999,-5,,,,1,1,17651,,,,5,1,3200,0,1,1,98,1,3200,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
1307,s==17|Quân Chủ·Chế Hành,s==133|Người mang nhận được hiệu quả tăng 36% sinh mệnh từ quân chủ， tướng thuộc Ngô sẽ thêm nhận 【君主·吴国制衡】， cung cấp thêm 10% hiệu quả tăng,,1,999,-5,,,,1,1,17651,,,,5,1,3600,0,1,1,98,1,3600,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
1308,s==17|Quân Chủ·Chế Hành,s==133|Người mang nhận được hiệu quả tăng 40% sinh mệnh từ quân chủ， tướng thuộc Ngô sẽ thêm nhận 【君主·吴国制衡】， cung cấp thêm 10% hiệu quả tăng,,1,999,-5,,,,1,1,17651,,,,5,1,4000,0,1,1,98,1,4000,,,,,,,,,,,,,,,,,,,17126,,,,,,,,,,,,,,,,,,,,,,393,,,
21501,s==10|Thương Hàn,s==72|Người mang chịu sát thương tăng 10%， kéo dài 2 lượt， có thể chồng 5 tầng,,2,2,5,,,,,,81,,,,5,102,1000,0,,,,,,,,,,,,,,,,,,,,,,,,17303,,,,,,,,,,,,,,,,,,,,,,382,,,
21502,s==9|Sẩn Phong,s==96|Công kích tăng 5%， khống chế tăng 3%， có thể chồng 5 tầng， kéo dài toàn trận， không thể giải trừ,,1,99,5,,,,1,,77,,,,5,2,500,1,3,1,2,1,500,,5,16,300,0,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3005,s==6|Dư Hòa,s==94|Tướng mang trạng thái này kết thúc lượt hồi phục bằng 10% sinh mệnh tối đa， không thể giải trừ,,1,999,0,,,,1,1,4001,,,,4,1,1000,1,2,1,1,1,1000,,,,,,,,,,,,,,,,,,,17221,,,,,,,,,,,,,,,,,,,,,,349,1,,
3101,s==10|Công Kích ,s==37|Công kích tăng 1%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,100,1,3,1,2,1,100,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3102,s==10|Công Kích ,s==37|Công kích tăng 2%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,200,1,3,1,2,1,200,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3103,s==10|Công Kích ,s==37|Công kích tăng 3%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,300,1,3,1,2,1,300,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3104,s==10|Công Kích ,s==37|Công kích tăng 4%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,400,1,3,1,2,1,400,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3105,s==10|Công Kích ,s==37|Công kích tăng 5%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,500,1,3,1,2,1,500,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3106,s==10|Công Kích ,s==37|Công kích tăng 7%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,700,1,3,1,2,1,700,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3107,s==10|Công Kích ,s==37|Công kích tăng 8%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,800,1,3,1,2,1,800,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3108,s==10|Công Kích ,s==37|Công kích tăng 9%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,900,1,3,1,2,1,900,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3109,s==10|Công Kích ,s==38|Công kích tăng 10%， không thể giải trừ,,1,99,-1,,,,1,,17401,,,s==1|1,5,2,1000,1,3,1,2,1,1000,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,101,,,
3110,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 1%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,100,1,3,1,3,1,100,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3111,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 2%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,200,1,3,1,3,1,200,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3112,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 3%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,300,1,3,1,3,1,300,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3113,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 4%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,400,1,3,1,3,1,400,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3114,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 5%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,500,1,3,1,3,1,500,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3115,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 7%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,700,1,3,1,3,1,700,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3116,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 8%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,800,1,3,1,3,1,800,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3117,s==10|Phòng Ngự ,s==37|Phòng ngự tăng 9%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,900,1,3,1,3,1,900,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3118,s==10|Phòng Ngự ,s==38|Phòng ngự tăng 10%， không thể giải trừ,,1,99,-1,,,,1,,17402,,,s==1|1,5,3,1000,1,3,1,3,1,1000,,,,,,,,,,,,,,,,,,,17108,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,102,,,
3119,s==7|Tốc Độ ,s==34|Tốc độ tăng 1%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,100,1,3,1,4,1,100,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3120,s==7|Tốc Độ ,s==34|Tốc độ tăng 2%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,200,1,3,1,4,1,200,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3121,s==7|Tốc Độ ,s==34|Tốc độ tăng 3%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,300,1,3,1,4,1,300,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3122,s==7|Tốc Độ ,s==34|Tốc độ tăng 4%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,400,1,3,1,4,1,400,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3123,s==7|Tốc Độ ,s==34|Tốc độ tăng 5%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,500,1,3,1,4,1,500,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3124,s==7|Tốc Độ ,s==34|Tốc độ tăng 7%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,700,1,3,1,4,1,700,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3125,s==7|Tốc Độ ,s==34|Tốc độ tăng 8%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,800,1,3,1,4,1,800,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
3126,s==7|Tốc Độ ,s==34|Tốc độ tăng 9%， không thể giải trừ,,1,99,-1,,,,1,,17403,,,s==1|1,5,4,900,1,3,1,4,1,900,,,,,,,,,,,,,,,,,,,17128,19,s==9|effect_in,,,,,,,,,,,,,,,,,3,1,,103,,,
