id,level,upgradeExpStar,expStar,proAtk,proHp,proSpd,consumeProp-type-1,consumeProp-id-1,consumeProp-value-1,consumeProp-type-2,consumeProp-id-2,consumeProp-value-2,resetAcquire-type-1,resetAcquire-id-1,resetAcquire-value-1,resetAcquire-type-2,resetAcquire-id-2,resetAcquire-value-2,
27,5,5,2,100,0,0,2,1044,40,2,1043,200,2,1044,428,2,1043,2140,
28,5,5,3,0,100,0,2,1044,40,2,1043,200,2,1044,468,2,1043,2340,
29,5,5,4,100,0,0,2,1044,40,2,1043,200,2,1044,508,2,1043,2540,
30,6,5,0,0,0,10,2,1044,48,2,1043,240,2,1044,556,2,1043,2780,
31,6,5,1,0,100,0,2,1044,48,2,1043,240,2,1044,604,2,1043,3020,
32,6,5,2,100,0,0,2,1044,48,2,1043,240,2,1044,652,2,1043,3260,
33,6,5,3,0,100,0,2,1044,48,2,1043,240,2,1044,700,2,1043,3500,
34,6,5,4,100,0,0,2,1044,48,2,1043,240,2,1044,748,2,1043,3740,
35,7,5,0,0,0,10,2,1044,56,2,1043,280,2,1044,804,2,1043,4020,
36,7,5,1,0,100,0,2,1044,56,2,1043,280,2,1044,860,2,1043,4300,
37,7,5,2,100,0,0,2,1044,56,2,1043,280,2,1044,916,2,1043,4580,
38,7,5,3,0,100,0,2,1044,56,2,1043,280,2,1044,972,2,1043,4860,
39,7,5,4,100,0,0,2,1044,56,2,1043,280,2,1044,1028,2,1043,5140,
40,8,5,0,0,0,10,2,1044,64,2,1043,320,2,1044,1092,2,1043,5460,
41,8,5,1,0,100,0,2,1044,64,2,1043,320,2,1044,1156,2,1043,5780,
42,8,5,2,100,0,0,2,1044,64,2,1043,320,2,1044,1220,2,1043,6100,
43,8,5,3,0,100,0,2,1044,64,2,1043,320,2,1044,1284,2,1043,6420,
44,8,5,4,100,0,0,2,1044,64,2,1043,320,2,1044,1348,2,1043,6740,
45,9,5,0,0,0,10,2,1044,72,2,1043,360,2,1044,1420,2,1043,7100,
46,9,5,1,0,100,0,2,1044,72,2,1043,360,2,1044,1492,2,1043,7460,
47,9,5,2,100,0,0,2,1044,72,2,1043,360,2,1044,1564,2,1043,7820,
48,9,5,3,0,100,0,2,1044,72,2,1043,360,2,1044,1636,2,1043,8180,
49,9,5,4,100,0,0,2,1044,72,2,1043,360,2,1044,1708,2,1043,8540,
50,10,5,0,0,0,10,2,1044,80,2,1043,400,2,1044,1788,2,1043,8940,
51,10,5,1,0,100,0,2,1044,80,2,1043,400,2,1044,1868,2,1043,9340,
52,10,5,2,100,0,0,2,1044,80,2,1043,400,2,1044,1948,2,1043,9740,
53,10,5,3,0,100,0,2,1044,80,2,1043,400,2,1044,2028,2,1043,10140,
54,10,5,4,100,0,0,2,1044,80,2,1043,400,2,1044,2108,2,1043,10540,
55,11,5,0,0,0,10,2,1044,88,2,1043,440,2,1044,2196,2,1043,10980,
56,11,5,1,0,100,0,2,1044,88,2,1043,440,2,1044,2284,2,1043,11420,
57,11,5,2,100,0,0,2,1044,88,2,1043,440,2,1044,2372,2,1043,11860,
58,11,5,3,0,100,0,2,1044,88,2,1043,440,2,1044,2460,2,1043,12300,
59,11,5,4,100,0,0,2,1044,88,2,1043,440,2,1044,2548,2,1043,12740,
60,12,5,0,0,0,10,2,1044,96,2,1043,480,2,1044,2644,2,1043,13220,
61,12,5,1,0,100,0,2,1044,96,2,1043,480,2,1044,2740,2,1043,13700,
62,12,5,2,100,0,0,2,1044,96,2,1043,480,2,1044,2836,2,1043,14180,
63,12,5,3,0,100,0,2,1044,96,2,1043,480,2,1044,2932,2,1043,14660,
64,12,5,4,100,0,0,2,1044,96,2,1043,480,2,1044,3028,2,1043,15140,
65,13,5,0,0,0,10,2,1044,104,2,1043,520,2,1044,3132,2,1043,15660,
66,13,5,1,0,100,0,2,1044,104,2,1043,520,2,1044,3236,2,1043,16180,
67,13,5,2,100,0,0,2,1044,104,2,1043,520,2,1044,3340,2,1043,16700,
68,13,5,3,0,100,0,2,1044,104,2,1043,520,2,1044,3444,2,1043,17220,
69,13,5,4,100,0,0,2,1044,104,2,1043,520,2,1044,3548,2,1043,17740,
70,14,5,0,0,0,10,2,1044,112,2,1043,560,2,1044,3660,2,1043,18300,
71,14,5,1,0,100,0,2,1044,112,2,1043,560,2,1044,3772,2,1043,18860,
72,14,5,2,100,0,0,2,1044,112,2,1043,560,2,1044,3884,2,1043,19420,
73,14,5,3,0,100,0,2,1044,112,2,1043,560,2,1044,3996,2,1043,19980,
74,14,5,4,100,0,0,2,1044,112,2,1043,560,2,1044,4108,2,1043,20540,
75,15,5,0,0,0,10,2,1044,120,2,1043,600,2,1044,4228,2,1043,21140,
76,15,5,1,0,100,0,2,1044,120,2,1043,600,2,1044,4348,2,1043,21740,
77,15,5,2,100,0,0,2,1044,120,2,1043,600,2,1044,4468,2,1043,22340,
78,15,5,3,0,100,0,2,1044,120,2,1043,600,2,1044,4588,2,1043,22940,
79,15,5,4,100,0,0,2,1044,120,2,1043,600,2,1044,4708,2,1043,23540,
80,16,5,0,0,0,10,2,1044,128,2,1043,640,2,1044,4836,2,1043,24180,
