id,skillGroup,nextLvSkillID,preLvSkillID,descLV,property-type-1,property-way-1,property-value-1,warPowerPoint,cost-type-1,cost-id-1,cost-value-1,cost-back-1,cost-type-2,cost-id-2,cost-value-2,cost-back-2,cost-type-3,cost-id-3,cost-value-3,cost-back-3,reSet-type-1,reSet-id-1,reSet-value-1,
162,17,163,161,2,18,1,200,2,2,50171,3,4,2,1290,1000,1000,,,,,1,9,40,
163,17,164,162,3,18,1,300,3,2,50171,5,9,2,1290,2000,3000,,,,,1,9,60,
164,17,165,163,4,18,1,400,4,2,50171,8,17,2,1290,3000,6000,,,,,1,9,80,
165,17,,164,5,18,1,500,5,2,50171,12,29,2,1290,6000,12000,,,,,1,9,100,
171,18,172,,1,19,1,100,1,2,50172,1,1,,,,,,,,,1,9,20,
172,18,173,171,2,19,1,200,2,2,50172,3,4,2,1290,1000,1000,,,,,1,9,40,
173,18,174,172,3,19,1,300,3,2,50172,5,9,2,1290,2000,3000,,,,,1,9,60,
174,18,175,173,4,19,1,400,4,2,50172,8,17,2,1290,3000,6000,,,,,1,9,80,
175,18,,174,5,19,1,500,5,2,50172,12,29,2,1290,6000,12000,,,,,1,9,100,
181,19,182,,1,16,1,100,1,2,50173,1,1,,,,,,,,,1,9,20,
182,19,183,181,2,16,1,200,2,2,50173,3,4,2,1290,1000,1000,,,,,1,9,40,
183,19,184,182,3,16,1,300,3,2,50173,5,9,2,1290,2000,3000,,,,,1,9,60,
184,19,185,183,4,16,1,400,4,2,50173,8,17,2,1290,3000,6000,,,,,1,9,80,
185,19,,184,5,16,1,500,5,2,50173,12,29,2,1290,6000,12000,,,,,1,9,100,
191,20,192,,1,17,1,100,1,2,50174,1,1,,,,,,,,,1,9,20,
192,20,193,191,2,17,1,200,2,2,50174,3,4,2,1290,1000,1000,,,,,1,9,40,
193,20,194,192,3,17,1,300,3,2,50174,5,9,2,1290,2000,3000,,,,,1,9,60,
194,20,195,193,4,17,1,400,4,2,50174,8,17,2,1290,3000,6000,,,,,1,9,80,
195,20,,194,5,17,1,500,5,2,50174,12,29,2,1290,6000,12000,,,,,1,9,100,
201,21,202,,1,23,1,200,1,2,50175,1,1,,,,,,,,,1,9,20,
202,21,203,201,2,23,1,400,2,2,50175,3,4,2,1290,1000,1000,,,,,1,9,40,
203,21,204,202,3,23,1,600,3,2,50175,5,9,2,1290,2000,3000,,,,,1,9,60,
204,21,205,203,4,23,1,800,4,2,50175,8,17,2,1290,3000,6000,,,,,1,9,80,
205,21,,204,5,23,1,1000,5,2,50175,12,29,2,1290,6000,12000,,,,,1,9,100,
211,22,212,,1,24,1,100,1,2,50176,1,1,,,,,,,,,1,9,20,
212,22,213,211,2,24,1,200,2,2,50176,3,4,2,1290,1000,1000,,,,,1,9,40,
213,22,214,212,3,24,1,300,3,2,50176,5,9,2,1290,2000,3000,,,,,1,9,60,
214,22,215,213,4,24,1,400,4,2,50176,8,17,2,1290,3000,6000,,,,,1,9,80,
215,22,,214,5,24,1,500,5,2,50176,12,29,2,1290,6000,12000,,,,,1,9,100,
