id,activityId,pos%1,pos%2,pos%3,pos%4,pos%5,pos%6,pos%7,pos%8,pos%9,weight,maxTimes,
46,2002,15012,15012,15013,15014,15013,15014,15013,15014,15012,1,1,
47,2002,15012,15012,15014,15013,15013,15013,15014,15012,15014,1,1,
48,2002,15013,15013,15013,15014,15012,15014,15012,15014,15012,1,1,
49,2002,15014,15012,15014,15012,15014,15012,15013,15013,15013,1,1,
50,2002,15013,15014,15012,15013,15014,15012,15013,15012,15014,1,1,
51,2002,15012,15014,15013,15014,15012,15013,15014,15012,15013,1,1,
52,2002,15012,15013,15014,15013,15012,15014,15013,15014,15012,5,,
53,2002,15013,15012,15014,15013,15012,15014,15014,15012,15013,5,,
54,2002,15013,15013,15012,15014,15012,15014,15012,15014,15013,5,,
55,2002,15013,15013,15014,15012,15012,15012,15014,15013,15014,5,,
56,2002,15012,15012,15012,15014,15013,15014,15013,15014,15013,5,,
57,2002,15014,15013,15014,15013,15014,15013,15012,15012,15012,5,,
58,2002,15012,15014,15013,15012,15014,15013,15012,15013,15014,5,,
59,2002,15013,15014,15012,15014,15013,15012,15014,15013,15012,5,,
60,2002,15013,15012,15014,15013,15013,15014,15012,15014,15012,5,,
61,2002,15013,15013,15014,15012,15013,15014,15014,15012,15012,5,,
62,2002,15012,15013,15013,15014,15013,15014,15012,15014,15012,5,,
63,2002,15012,15012,15014,15013,15013,15012,15014,15013,15014,5,,
64,2002,15013,15013,15012,15014,15013,15014,15012,15014,15012,5,,
65,2002,15014,15012,15014,15012,15014,15013,15013,15013,15012,5,,
66,2002,15013,15014,15012,15013,15014,15012,15012,15013,15014,5,,
67,2002,15012,15014,15013,15014,15013,15013,15014,15012,15012,5,,
68,2002,15014,15012,15013,15012,15014,15013,15012,15013,15014,5,,
69,2002,15012,15014,15013,15012,15014,15013,15013,15014,15012,5,,
70,2002,15012,15012,15014,15013,15014,15013,15014,15013,15012,5,,
71,2002,15012,15012,15013,15014,15014,15014,15013,15012,15013,5,,
72,2002,15014,15014,15014,15013,15012,15013,15012,15013,15012,5,,
73,2002,15013,15012,15013,15012,15013,15012,15014,15014,15014,5,,
74,2002,15014,15013,15012,15014,15013,15012,15014,15012,15013,5,,
75,2002,15012,15013,15014,15013,15012,15014,15013,15012,15014,5,,
76,2002,15012,15012,15013,15012,15014,15013,15013,15014,15014,70,,
77,2002,15013,15012,15013,15012,15014,15013,15014,15014,15012,70,,
78,2002,15013,15012,15012,15013,15014,15014,15014,15013,15012,70,,
79,2002,15013,15012,15013,15012,15014,15014,15013,15012,15014,70,,
80,2002,15012,15014,15014,15014,15013,15013,15012,15013,15012,70,,
81,2002,15013,15013,15014,15012,15013,15012,15012,15014,15014,70,,
82,2002,15012,15013,15013,15014,15013,15012,15014,15012,15014,70,,
83,2002,15012,15013,15012,15014,15013,15014,15013,15012,15014,70,,
84,2002,15012,15014,15013,15012,15012,15013,15014,15013,15014,70,,
85,2002,15012,15012,15013,15014,15012,15013,15013,15014,15014,70,,
86,2002,15012,15014,15012,15013,15012,15013,15014,15013,15014,70,,
